/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 124 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.66 | 도달  892 | 차단  910
Ep 125 | 배송 39/50 | 재적재 6 | 도착  44 | 2홉+ 0.65 | 도달  916 | 차단 1075
Ep 126 | 배송 40/50 | 재적재 6 | 도착  43 | 2홉+ 0.64 | 도달  834 | 차단  798
Ep 127 | 배송 41/50 | 재적재 8 | 도착  47 | 2홉+ 0.64 | 도달  897 | 차단  769
Ep 128 | 배송 27/50 | 재적재 5 | 도착  30 | 2홉+ 0.62 | 도달  716 | 차단 1643
Ep 129 | 배송 38/50 | 재적재 7 | 도착  46 | 2홉+ 0.61 | 도달  851 | 차단  990
Ep 130 | 배송 37/50 | 재적재 5 | 도착  41 | 2홉+ 0.66 | 도달  830 | 차단  707
Ep 131 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.68 | 도달  818 | 차단  961
Ep 132 | 배송 42/50 | 재적재 7 | 도착  46 | 2홉+ 0.64 | 도달  862 | 차단  704
Ep 133 | 배송 40/50 | 재적재 6 | 도착  43 | 2홉+ 0.65 | 도달  858 | 차단  650
Ep 134 | 배송 40/50 | 재적재 7 | 도착  44 | 2홉+ 0.65 | 도달  869 | 차단  412
Ep 135 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.64 | 도달  870 | 차단 1199
Ep 136 | 배송 43/50 | 재적재 6 | 도착  48 | 2홉+ 0.65 | 도달  940 | 차단  698
Ep 137 | 배송 44/50 | 재적재 7 | 도착  49 | 2홉+ 0.64 | 도달  890 | 차단  590
Ep 138 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.63 | 도달  906 | 차단  856
Ep 139 | 배송 42/50 | 재적재 6 | 도착  48 | 2홉+ 0.64 | 도달  903 | 차단  939
Ep 140 | 배송 34/50 | 재적재 5 | 도착  38 | 2홉+ 0.63 | 도달  780 | 차단  819
Ep 141 | 배송 39/50 | 재적재 6 | 도착  46 | 2홉+ 0.65 | 도달  988 | 차단 1004
Ep 142 | 배송 41/50 | 재적재 7 | 도착  48 | 2홉+ 0.63 | 도달  867 | 차단  790
Ep 143 | 배송 25/50 | 재적재 3 | 도착  27 | 2홉+ 0.62 | 도달  700 | 차단 1479
Ep 144 | 배송 34/50 | 재적재 5 | 도착  38 | 2홉+ 0.65 | 도달  873 | 차단 1178
Ep 145 | 배송 36/50 | 재적재 5 | 도착  40 | 2홉+ 0.66 | 도달  836 | 차단 1009
Ep 146 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.66 | 도달  886 | 차단  762
Ep 147 | 배송 40/50 | 재적재 6 | 도착  45 | 2홉+ 0.63 | 도달  879 | 차단  980
Ep 148 | 배송 42/50 | 재적재 6 | 도착  49 | 2홉+ 0.65 | 도달  909 | 차단  870
Ep 149 | 배송 38/50 | 재적재 5 | 도착  42 | 2홉+ 0.64 | 도달  861 | 차단  674
Ep 150 | 배송 39/50 | 재적재 6 | 도착  44 | 2홉+ 0.62 | 도달  903 | 차단 1069
  [홀드아웃] 배송 19.7±5.9 재적재 1.3 2홉+ 0.61 | 최고 19.7@ep150 정체 0/15  ← 갱신
Ep 151 | 배송 38/50 | 재적재 7 | 도착  44 | 2홉+ 0.63 | 도달  814 | 차단  781
Ep 152 | 배송 35/50 | 재적재 7 | 도착  40 | 2홉+ 0.55 | 도달  849 | 차단  950
Ep 153 | 배송 36/50 | 재적재 5 | 도착  42 | 2홉+ 0.59 | 도달  796 | 차단  927
Ep 154 | 배송 43/50 | 재적재 7 | 도착  49 | 2홉+ 0.60 | 도달  939 | 차단  727
Ep 155 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.66 | 도달  852 | 차단  851
Ep 156 | 배송 38/50 | 재적재 5 | 도착  44 | 2홉+ 0.61 | 도달  911 | 차단  726
Ep 157 | 배송 40/50 | 재적재 6 | 도착  45 | 2홉+ 0.62 | 도달  890 | 차단  982
Ep 158 | 배송 43/50 | 재적재 8 | 도착  48 | 2홉+ 0.62 | 도달  913 | 차단  900
Ep 159 | 배송 40/50 | 재적재 7 | 도착  44 | 2홉+ 0.63 | 도달  993 | 차단  652
Ep 160 | 배송 41/50 | 재적재 6 | 도착  44 | 2홉+ 0.66 | 도달  912 | 차단  958
Ep 161 | 배송 42/50 | 재적재 7 | 도착  46 | 2홉+ 0.63 | 도달  966 | 차단  846
Ep 162 | 배송 42/50 | 재적재 7 | 도착  46 | 2홉+ 0.65 | 도달  925 | 차단  996
