/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
Ep 160 | 배송  6/50 | 재적재 0 | 도착 269 | 2홉+ 0.01 | 도달  390 | 차단    0
Ep 161 | 배송  6/50 | 재적재 0 | 도착 159 | 2홉+ 0.01 | 도달  344 | 차단   17
Ep 162 | 배송  5/50 | 재적재 0 | 도착 116 | 2홉+ 0.09 | 도달  484 | 차단    0
Ep 163 | 배송  7/50 | 재적재 0 | 도착 205 | 2홉+ 0.04 | 도달  419 | 차단    0
Ep 164 | 배송  6/50 | 재적재 0 | 도착 290 | 2홉+ 0.01 | 도달  340 | 차단    0
Ep 165 | 배송  7/50 | 재적재 0 | 도착 147 | 2홉+ 0.04 | 도달  372 | 차단    0
Ep 166 | 배송  5/50 | 재적재 0 | 도착 191 | 2홉+ 0.00 | 도달  265 | 차단    0
Ep 167 | 배송  7/50 | 재적재 0 | 도착 264 | 2홉+ 0.03 | 도달  469 | 차단    2
Ep 168 | 배송  5/50 | 재적재 0 | 도착 210 | 2홉+ 0.00 | 도달  311 | 차단    0
Ep 169 | 배송  6/50 | 재적재 0 | 도착 246 | 2홉+ 0.00 | 도달  332 | 차단    0
Ep 170 | 배송  5/50 | 재적재 0 | 도착 239 | 2홉+ 0.00 | 도달  269 | 차단    0
Ep 171 | 배송  6/50 | 재적재 0 | 도착 329 | 2홉+ 0.00 | 도달  293 | 차단    0
Ep 172 | 배송  7/50 | 재적재 0 | 도착 314 | 2홉+ 0.03 | 도달  427 | 차단    0
Ep 173 | 배송  5/50 | 재적재 0 | 도착 225 | 2홉+ 0.00 | 도달  301 | 차단    0
Ep 174 | 배송  6/50 | 재적재 0 | 도착 373 | 2홉+ 0.00 | 도달  285 | 차단    0
Ep 175 | 배송  6/50 | 재적재 0 | 도착  73 | 2홉+ 0.01 | 도달  368 | 차단    0
Ep 176 | 배송  7/50 | 재적재 0 | 도착 375 | 2홉+ 0.01 | 도달  324 | 차단    6
Ep 177 | 배송  5/50 | 재적재 0 | 도착  11 | 2홉+ 0.01 | 도달  365 | 차단    0
Ep 178 | 배송  6/50 | 재적재 0 | 도착 146 | 2홉+ 0.00 | 도달  302 | 차단    0
Ep 179 | 배송  7/50 | 재적재 0 | 도착  45 | 2홉+ 0.02 | 도달  379 | 차단    0
Ep 180 | 배송  6/50 | 재적재 0 | 도착 223 | 2홉+ 0.01 | 도달  350 | 차단    0
Ep 181 | 배송  5/50 | 재적재 0 | 도착 104 | 2홉+ 0.00 | 도달  298 | 차단    0
Ep 182 | 배송  5/50 | 재적재 0 | 도착 138 | 2홉+ 0.00 | 도달  275 | 차단    0
Ep 183 | 배송  7/50 | 재적재 0 | 도착 158 | 2홉+ 0.02 | 도달  378 | 차단    1
Ep 184 | 배송  5/50 | 재적재 0 | 도착  37 | 2홉+ 0.00 | 도달  263 | 차단    0
Ep 185 | 배송  4/50 | 재적재 0 | 도착   1 | 2홉+ 0.00 | 도달  280 | 차단    0
Ep 186 | 배송  4/50 | 재적재 0 | 도착   1 | 2홉+ 0.00 | 도달  288 | 차단    0
Ep 187 | 배송  5/50 | 재적재 0 | 도착 116 | 2홉+ 0.00 | 도달  307 | 차단    0
Ep 188 | 배송  5/50 | 재적재 0 | 도착 110 | 2홉+ 0.00 | 도달  254 | 차단    0
Ep 189 | 배송 11/50 | 재적재 1 | 도착 187 | 2홉+ 0.08 | 도달  659 | 차단   87
Ep 190 | 배송  5/50 | 재적재 0 | 도착 211 | 2홉+ 0.00 | 도달  251 | 차단    0
Ep 191 | 배송  5/50 | 재적재 0 | 도착 132 | 2홉+ 0.00 | 도달  285 | 차단    0
Ep 192 | 배송  5/50 | 재적재 0 | 도착 161 | 2홉+ 0.00 | 도달  247 | 차단    0
Ep 193 | 배송  5/50 | 재적재 0 | 도착 247 | 2홉+ 0.00 | 도달  232 | 차단    0
Ep 194 | 배송  5/50 | 재적재 0 | 도착 132 | 2홉+ 0.00 | 도달  228 | 차단    0
Ep 195 | 배송  6/50 | 재적재 0 | 도착 222 | 2홉+ 0.00 | 도달  293 | 차단    0
Ep 196 | 배송  5/50 | 재적재 0 | 도착 290 | 2홉+ 0.00 | 도달  256 | 차단    0
