episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
135,1000,440.0,3.37,33,,974,0,5,36,965,0.6048,836.7,,,0,135000,1015.6
136,1000,420.0,3.873,31,,956,0,5,37,859,0.54,897.8,,,0,136000,1022.6
137,1000,420.0,-7.395,34,,1000,0,4,37,1351,0.6372,908.6,,,0,137000,1029.7
138,1000,410.0,4.964,33,,986,0,4,37,742,0.531,841.0,,,0,138000,1036.7
139,1000,310.0,-40.26,26,,481,0,3,28,2372,0.6873,979.3,,,0,139000,1044.5
140,1000,340.0,-14.214,26,,543,0,4,30,1374,0.5503,832.6,,,0,140000,1051.6
141,1000,420.0,-0.344,31,,908,0,5,37,988,0.622,749.5,,,0,141000,1058.6
142,1000,470.0,1.588,36,,992,0,5,38,1100,0.6132,833.4,,,0,142000,1065.7
143,1000,530.0,10.236,36,,882,0,7,42,820,0.6418,805.4,,,0,143000,1073.0
144,1000,480.0,7.35,37,,995,0,5,43,946,0.5857,862.4,,,0,144000,1080.7
145,1000,540.0,12.678,40,,940,0,6,44,842,0.6112,883.9,,,0,145000,1087.8
146,1000,540.0,13.914,40,,995,0,6,46,763,0.5992,968.0,,,0,146000,1094.8
147,1000,570.0,25.179,40,,931,0,7,49,530,0.635,914.9,,,0,147000,1101.7
148,1000,520.0,8.357,38,,892,0,6,44,1001,0.5978,875.0,,,0,148000,1109.1
149,1000,500.0,8.52,39,,903,0,5,44,976,0.6145,803.7,,,0,149000,1116.0
150,1000,530.0,15.561,39,,980,0,6,47,584,0.6042,971.4,,,0,150000,1123.0
151,1000,480.0,1.476,37,,974,0,5,44,1026,0.6248,937.2,,,0,151000,1147.9
152,1000,450.0,8.784,34,,983,0,5,38,700,0.593,737.0,,,0,152000,1154.9
153,1000,460.0,-4.568,35,,999,0,5,39,1254,0.6328,860.6,,,0,153000,1162.1
154,1000,380.0,-5.16,30,,975,0,4,34,1156,0.536,772.6,,,0,154000,1169.3
155,1000,410.0,-10.007,33,,843,0,4,38,1374,0.6667,810.8,,,0,155000,1177.0
156,1000,540.0,15.968,40,,973,0,6,48,752,0.6168,863.2,,,0,156000,1184.0
157,1000,430.0,2.69,32,,901,0,5,37,865,0.6132,757.4,,,0,157000,1191.2
158,1000,370.0,-0.95,29,,992,0,4,34,995,0.6703,923.7,,,0,158000,1198.5
159,1000,270.0,-25.879,25,,876,0,2,27,1745,0.6955,889.6,,,0,159000,1205.7
160,1000,460.0,1.344,35,,990,0,5,38,1011,0.6388,782.7,,,0,160000,1213.2
161,1000,420.0,-6.012,34,,999,0,4,39,1251,0.6703,791.0,,,0,161000,1220.3
162,1000,360.0,-10.207,28,,892,0,4,34,1263,0.6045,762.2,,,0,162000,1227.6
163,1000,430.0,-6.265,32,,876,0,5,36,1279,0.5998,785.9,,,0,163000,1234.8
164,1000,420.0,3.309,34,,921,0,4,41,1064,0.653,781.7,,,0,164000,1242.5
