/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
Ep 542 | 배송 22/50 | 재적재 2 | 도착  23 | 2홉+ 0.59 | 도달  701 | 차단  224 | 정지 0.20 최장   2
Ep 543 | 배송 18/50 | 재적재 3 | 도착  23 | 2홉+ 0.66 | 도달  582 | 차단  387 | 정지 0.00 최장   2
Ep 544 | 배송 25/50 | 재적재 4 | 도착  27 | 2홉+ 0.56 | 도달  712 | 차단  260 | 정지 0.26 최장   3
Ep 545 | 배송 23/50 | 재적재 4 | 도착  30 | 2홉+ 0.55 | 도달  585 | 차단  289 | 정지 0.00 최장   4
Ep 546 | 배송 24/50 | 재적재 4 | 도착  29 | 2홉+ 0.55 | 도달  645 | 차단  264 | 정지 0.03 최장   1
Ep 547 | 배송 18/50 | 재적재 0 | 도착  18 | 2홉+ 0.70 | 도달  603 | 차단  275 | 정지 0.04 최장   1
Ep 548 | 배송 30/50 | 재적재 4 | 도착  38 | 2홉+ 0.63 | 도달  862 | 차단 1354 | 정지 0.84 최장  31
Ep 549 | 배송 24/50 | 재적재 3 | 도착  31 | 2홉+ 0.61 | 도달  791 | 차단  708 | 정지 0.28 최장   2
Ep 550 | 배송 15/50 | 재적재 0 | 도착  13 | 2홉+ 0.68 | 도달  595 | 차단  137 | 정지 0.00 최장   0
  [홀드아웃] 배송 14.7±8.3 재적재 0.8 2홉+ 0.48 | 최고 23.4@ep300 정체 5/15
Ep 551 | 배송 24/50 | 재적재 2 | 도착  27 | 2홉+ 0.58 | 도달  875 | 차단  898 | 정지 0.39 최장   6
Ep 552 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.57 | 도달  820 | 차단  530 | 정지 0.01 최장   6
Ep 553 | 배송 28/50 | 재적재 5 | 도착  31 | 2홉+ 0.52 | 도달  787 | 차단  680 | 정지 0.00 최장   3
Ep 554 | 배송 19/50 | 재적재 1 | 도착  21 | 2홉+ 0.51 | 도달  676 | 차단  821 | 정지 0.50 최장   1
Ep 555 | 배송 16/50 | 재적재 0 | 도착  16 | 2홉+ 0.67 | 도달  640 | 차단  136 | 정지 0.03 최장   1
Ep 556 | 배송 18/50 | 재적재 1 | 도착  19 | 2홉+ 0.64 | 도달  569 | 차단  737 | 정지 0.46 최장   4
Ep 557 | 배송 17/50 | 재적재 2 | 도착  18 | 2홉+ 0.64 | 도달  709 | 차단 2131 | 정지 0.86 최장  68
Ep 558 | 배송 27/50 | 재적재 4 | 도착  26 | 2홉+ 0.53 | 도달  958 | 차단 1130 | 정지 0.00 최장  68
Ep 559 | 배송 17/50 | 재적재 2 | 도착  21 | 2홉+ 0.47 | 도달  931 | 차단  989 | 정지 0.00 최장   3
Ep 560 | 배송 27/50 | 재적재 3 | 도착  34 | 2홉+ 0.62 | 도달  846 | 차단 1086 | 정지 0.61 최장  10
Ep 561 | 배송 27/50 | 재적재 3 | 도착  31 | 2홉+ 0.64 | 도달  737 | 차단  419 | 정지 0.30 최장   2
Ep 562 | 배송 18/50 | 재적재 1 | 도착  23 | 2홉+ 0.60 | 도달  791 | 차단  419 | 정지 0.15 최장   1
Ep 563 | 배송 17/50 | 재적재 2 | 도착  25 | 2홉+ 0.58 | 도달  741 | 차단  478 | 정지 0.42 최장   4
Ep 564 | 배송 22/50 | 재적재 3 | 도착  27 | 2홉+ 0.63 | 도달  756 | 차단 1183 | 정지 0.11 최장   9
Ep 565 | 배송 29/50 | 재적재 5 | 도착  36 | 2홉+ 0.58 | 도달  761 | 차단  283 | 정지 0.00 최장   2
Ep 566 | 배송 16/50 | 재적재 1 | 도착  12 | 2홉+ 0.67 | 도달  694 | 차단  384 | 정지 0.04 최장   1
Ep 567 | 배송 12/50 | 재적재 0 | 도착  15 | 2홉+ 0.66 | 도달  483 | 차단  455 | 정지 0.00 최장   4
Ep 568 | 배송 16/50 | 재적재 1 | 도착  18 | 2홉+ 0.53 | 도달  765 | 차단  447 | 정지 0.00 최장   2
Ep 569 | 배송 22/50 | 재적재 2 | 도착  25 | 2홉+ 0.51 | 도달  673 | 차단  791 | 정지 0.30 최장   3
Ep 570 | 배송 11/50 | 재적재 0 | 도착  14 | 2홉+ 0.70 | 도달  505 | 차단  483 | 정지 0.23 최장   1
Ep 571 | 배송 24/50 | 재적재 3 | 도착  26 | 2홉+ 0.56 | 도달  752 | 차단  766 | 정지 0.51 최장   6
Ep 572 | 배송 14/50 | 재적재 0 | 도착  16 | 2홉+ 0.43 | 도달  543 | 차단  361 | 정지 0.26 최장   3
Ep 573 | 배송 24/50 | 재적재 3 | 도착  30 | 2홉+ 0.64 | 도달  740 | 차단  871 | 정지 0.22 최장   3
Ep 574 | 배송 24/50 | 재적재 4 | 도착  31 | 2홉+ 0.54 | 도달  845 | 차단  873 | 정지 0.19 최장   3
Ep 575 | 배송 13/50 | 재적재 0 | 도착  15 | 2홉+ 0.69 | 도달  565 | 차단  525 | 정지 0.00 최장   5
Ep 576 | 배송 28/50 | 재적재 2 | 도착  34 | 2홉+ 0.58 | 도달  841 | 차단  747 | 정지 0.03 최장   3
Ep 577 | 배송 30/50 | 재적재 3 | 도착  27 | 2홉+ 0.60 | 도달  815 | 차단  521 | 정지 0.18 최장   3
Ep 578 | 배송 22/50 | 재적재 3 | 도착  30 | 2홉+ 0.58 | 도달  676 | 차단 1139 | 정지 0.32 최장   3
Ep 579 | 배송 27/50 | 재적재 4 | 도착  30 | 2홉+ 0.56 | 도달  762 | 차단  336 | 정지 0.00 최장   3
Ep 580 | 배송 25/50 | 재적재 4 | 도착  34 | 2홉+ 0.56 | 도달  728 | 차단  863 | 정지 0.04 최장   6
Ep 581 | 배송 18/50 | 재적재 0 | 도착  18 | 2홉+ 0.51 | 도달  641 | 차단 1514 | 정지 0.00 최장  41
Ep 582 | 배송 26/50 | 재적재 3 | 도착  29 | 2홉+ 0.57 | 도달  952 | 차단 1120 | 정지 0.87 최장   6
Ep 583 | 배송 24/50 | 재적재 2 | 도착  29 | 2홉+ 0.67 | 도달  843 | 차단  576 | 정지 0.21 최장   4
Ep 584 | 배송 28/50 | 재적재 5 | 도착  30 | 2홉+ 0.56 | 도달  953 | 차단  792 | 정지 0.23 최장   4
Ep 585 | 배송 10/50 | 재적재 0 | 도착  13 | 2홉+ 0.70 | 도달  466 | 차단  610 | 정지 0.28 최장   2
Ep 586 | 배송 26/50 | 재적재 3 | 도착  28 | 2홉+ 0.62 | 도달  791 | 차단  858 | 정지 0.14 최장   4
Ep 587 | 배송 10/50 | 재적재 0 | 도착  13 | 2홉+ 0.70 | 도달  467 | 차단  633 | 정지 0.24 최장   2
Ep 588 | 배송 10/50 | 재적재 0 | 도착  12 | 2홉+ 0.71 | 도달  460 | 차단  460 | 정지 0.14 최장   4
Ep 589 | 배송 23/50 | 재적재 2 | 도착  23 | 2홉+ 0.53 | 도달  755 | 차단  914 | 정지 0.24 최장   9
Ep 590 | 배송 10/50 | 재적재 0 | 도착  13 | 2홉+ 0.69 | 도달  445 | 차단  569 | 정지 0.15 최장   2
Ep 591 | 배송 24/50 | 재적재 2 | 도착  27 | 2홉+ 0.54 | 도달  863 | 차단 1118 | 정지 0.06 최장  26
Ep 592 | 배송 22/50 | 재적재 1 | 도착  22 | 2홉+ 0.59 | 도달  794 | 차단  715 | 정지 0.47 최장   4
Ep 593 | 배송 27/50 | 재적재 4 | 도착  27 | 2홉+ 0.58 | 도달  840 | 차단  644 | 정지 0.04 최장   5
Ep 594 | 배송 19/50 | 재적재 1 | 도착  20 | 2홉+ 0.65 | 도달  762 | 차단 1215 | 정지 0.00 최장   5
Ep 595 | 배송 24/50 | 재적재 3 | 도착  25 | 2홉+ 0.57 | 도달  851 | 차단 1010 | 정지 0.59 최장   6
Ep 596 | 배송 23/50 | 재적재 4 | 도착  28 | 2홉+ 0.53 | 도달  886 | 차단  825 | 정지 0.04 최장   9
Ep 597 | 배송 22/50 | 재적재 4 | 도착  26 | 2홉+ 0.53 | 도달  811 | 차단 1234 | 정지 0.34 최장   4
Ep 598 | 배송 15/50 | 재적재 1 | 도착  14 | 2홉+ 0.63 | 도달  602 | 차단 1433 | 정지 0.40 최장  14
Ep 599 | 배송 20/50 | 재적재 3 | 도착  23 | 2홉+ 0.37 | 도달  761 | 차단 1036 | 정지 0.65 최장   4
Ep 600 | 배송 17/50 | 재적재 1 | 도착  21 | 2홉+ 0.33 | 도달  674 | 차단  404 | 정지 0.12 최장   4
  [홀드아웃] 배송 8.6±3.7 재적재 0.2 2홉+ 0.57 | 최고 23.4@ep300 정체 6/15
Ep 601 | 배송 12/50 | 재적재 0 | 도착  15 | 2홉+ 0.17 | 도달  613 | 차단  286 | 정지 0.03 최장   4
Ep 602 | 배송 17/50 | 재적재 2 | 도착  21 | 2홉+ 0.37 | 도달  664 | 차단 1026 | 정지 0.03 최장  33
Ep 603 | 배송 24/50 | 재적재 4 | 도착  26 | 2홉+ 0.50 | 도달  709 | 차단  247 | 정지 0.00 최장   4
Ep 604 | 배송 11/50 | 재적재 0 | 도착  11 | 2홉+ 0.15 | 도달  621 | 차단  325 | 정지 0.66 최장   4
Ep 605 | 배송 17/50 | 재적재 1 | 도착  17 | 2홉+ 0.45 | 도달  670 | 차단  291 | 정지 0.06 최장   4
Ep 606 | 배송 25/50 | 재적재 4 | 도착  29 | 2홉+ 0.52 | 도달  797 | 차단  507 | 정지 0.55 최장   4
Ep 607 | 배송 29/50 | 재적재 3 | 도착  30 | 2홉+ 0.56 | 도달  887 | 차단  583 | 정지 0.32 최장   5
Ep 608 | 배송 18/50 | 재적재 3 | 도착  21 | 2홉+ 0.39 | 도달  792 | 차단  735 | 정지 0.04 최장   9
Ep 609 | 배송 23/50 | 재적재 3 | 도착  23 | 2홉+ 0.54 | 도달  859 | 차단  660 | 정지 0.01 최장   5
Ep 610 | 배송 14/50 | 재적재 1 | 도착  19 | 2홉+ 0.43 | 도달  550 | 차단  371 | 정지 0.04 최장   3
Ep 611 | 배송 22/50 | 재적재 3 | 도착  23 | 2홉+ 0.43 | 도달  894 | 차단 1169 | 정지 0.58 최장   6
Ep 612 | 배송 22/50 | 재적재 4 | 도착  26 | 2홉+ 0.39 | 도달  595 | 차단  182 | 정지 0.00 최장   4
Ep 613 | 배송 19/50 | 재적재 2 | 도착  26 | 2홉+ 0.45 | 도달  633 | 차단  840 | 정지 0.68 최장   5
Ep 614 | 배송 20/50 | 재적재 3 | 도착  23 | 2홉+ 0.43 | 도달  610 | 차단 1024 | 정지 0.38 최장   3
Ep 615 | 배송 16/50 | 재적재 0 | 도착  14 | 2홉+ 0.66 | 도달  764 | 차단 1827 | 정지 0.54 최장   5
Ep 616 | 배송 15/50 | 재적재 1 | 도착  18 | 2홉+ 0.48 | 도달  706 | 차단  407 | 정지 0.10 최장   4
Ep 617 | 배송 18/50 | 재적재 0 | 도착  18 | 2홉+ 0.51 | 도달  575 | 차단  301 | 정지 0.25 최장   3
Ep 618 | 배송 18/50 | 재적재 2 | 도착  20 | 2홉+ 0.37 | 도달  595 | 차단  557 | 정지 0.37 최장   3
Ep 619 | 배송  9/50 | 재적재 0 | 도착  12 | 2홉+ 0.36 | 도달  543 | 차단 1803 | 정지 0.57 최장   3
Ep 620 | 배송 27/50 | 재적재 3 | 도착  26 | 2홉+ 0.46 | 도달  715 | 차단  619 | 정지 0.20 최장   3
Ep 621 | 배송 18/50 | 재적재 3 | 도착  23 | 2홉+ 0.39 | 도달  785 | 차단  865 | 정지 0.39 최장   3
Ep 622 | 배송 17/50 | 재적재 1 | 도착  13 | 2홉+ 0.42 | 도달  683 | 차단  634 | 정지 0.26 최장   3
Ep 623 | 배송 18/50 | 재적재 3 | 도착  23 | 2홉+ 0.53 | 도달  857 | 차단 1053 | 정지 0.03 최장  12
Ep 624 | 배송 15/50 | 재적재 1 | 도착  14 | 2홉+ 0.39 | 도달  594 | 차단  407 | 정지 0.49 최장   2
Ep 625 | 배송 20/50 | 재적재 3 | 도착  22 | 2홉+ 0.48 | 도달  693 | 차단  651 | 정지 0.00 최장   6
Ep 626 | 배송 23/50 | 재적재 4 | 도착  26 | 2홉+ 0.55 | 도달  898 | 차단  745 | 정지 0.30 최장   5
Ep 627 | 배송 19/50 | 재적재 3 | 도착  23 | 2홉+ 0.55 | 도달  665 | 차단  272 | 정지 0.25 최장   2
Ep 628 | 배송 14/50 | 재적재 0 | 도착  14 | 2홉+ 0.39 | 도달  708 | 차단 1006 | 정지 0.55 최장   4
Ep 629 | 배송 17/50 | 재적재 2 | 도착  13 | 2홉+ 0.42 | 도달  586 | 차단  475 | 정지 0.05 최장   2
Ep 630 | 배송 17/50 | 재적재 1 | 도착  17 | 2홉+ 0.40 | 도달  625 | 차단  817 | 정지 0.74 최장   5
Ep 631 | 배송 19/50 | 재적재 3 | 도착  19 | 2홉+ 0.46 | 도달  595 | 차단 1013 | 정지 0.00 최장  18
Ep 632 | 배송 15/50 | 재적재 1 | 도착  15 | 2홉+ 0.49 | 도달  590 | 차단  800 | 정지 0.12 최장   2
Ep 633 | 배송 18/50 | 재적재 2 | 도착  18 | 2홉+ 0.48 | 도달  600 | 차단  471 | 정지 0.00 최장   4
Ep 634 | 배송  9/50 | 재적재 1 | 도착  10 | 2홉+ 0.30 | 도달  523 | 차단  447 | 정지 0.28 최장   1
Ep 635 | 배송 15/50 | 재적재 1 | 도착  14 | 2홉+ 0.36 | 도달  600 | 차단  545 | 정지 0.12 최장   3
Ep 636 | 배송 13/50 | 재적재 1 | 도착  12 | 2홉+ 0.44 | 도달  583 | 차단  758 | 정지 0.32 최장   2
Ep 637 | 배송 18/50 | 재적재 1 | 도착  18 | 2홉+ 0.31 | 도달  648 | 차단  538 | 정지 0.25 최장   2
Ep 638 | 배송 14/50 | 재적재 1 | 도착  15 | 2홉+ 0.34 | 도달  596 | 차단  246 | 정지 0.55 최장   2
Ep 639 | 배송 10/50 | 재적재 0 | 도착  12 | 2홉+ 0.28 | 도달  502 | 차단  833 | 정지 0.33 최장   4
Ep 640 | 배송 11/50 | 재적재 1 | 도착  12 | 2홉+ 0.49 | 도달  540 | 차단 1315 | 정지 0.00 최장   8
Ep 641 | 배송 12/50 | 재적재 0 | 도착  12 | 2홉+ 0.18 | 도달  547 | 차단   53 | 정지 0.20 최장   1
Ep 642 | 배송 14/50 | 재적재 2 | 도착  11 | 2홉+ 0.37 | 도달  597 | 차단  588 | 정지 0.27 최장   2
Ep 643 | 배송 19/50 | 재적재 3 | 도착  22 | 2홉+ 0.49 | 도달  711 | 차단 1098 | 정지 0.03 최장   2
Ep 644 | 배송 16/50 | 재적재 3 | 도착  16 | 2홉+ 0.44 | 도달  619 | 차단  680 | 정지 0.45 최장   1
Ep 645 | 배송 18/50 | 재적재 1 | 도착  16 | 2홉+ 0.48 | 도달  674 | 차단  481 | 정지 0.23 최장   2
Ep 646 | 배송 20/50 | 재적재 2 | 도착  22 | 2홉+ 0.54 | 도달  750 | 차단  323 | 정지 0.00 최장   2
Ep 647 | 배송 20/50 | 재적재 3 | 도착  28 | 2홉+ 0.56 | 도달  750 | 차단  898 | 정지 0.62 최장   9
Ep 648 | 배송 20/50 | 재적재 2 | 도착  21 | 2홉+ 0.50 | 도달  733 | 차단  595 | 정지 0.00 최장   4
Ep 649 | 배송 17/50 | 재적재 1 | 도착  18 | 2홉+ 0.52 | 도달  627 | 차단  272 | 정지 0.02 최장   3
Ep 650 | 배송 18/50 | 재적재 3 | 도착  19 | 2홉+ 0.45 | 도달  606 | 차단  341 | 정지 0.00 최장   5
  [홀드아웃] 배송 12.2±5.9 재적재 0.5 2홉+ 0.59 | 최고 23.4@ep300 정체 7/15
Ep 651 | 배송 11/50 | 재적재 1 | 도착  13 | 2홉+ 0.50 | 도달  555 | 차단  582 | 정지 0.00 최장   3
Ep 652 | 배송 20/50 | 재적재 2 | 도착  20 | 2홉+ 0.55 | 도달  658 | 차단  574 | 정지 0.20 최장   4
Ep 653 | 배송 20/50 | 재적재 2 | 도착  21 | 2홉+ 0.46 | 도달  662 | 차단  377 | 정지 0.14 최장   4
Ep 654 | 배송 12/50 | 재적재 0 | 도착  14 | 2홉+ 0.41 | 도달  643 | 차단 1236 | 정지 0.01 최장   5
Ep 655 | 배송 22/50 | 재적재 2 | 도착  26 | 2홉+ 0.57 | 도달  779 | 차단  550 | 정지 0.55 최장   2
Ep 656 | 배송 22/50 | 재적재 3 | 도착  24 | 2홉+ 0.46 | 도달  883 | 차단  611 | 정지 0.14 최장   3
Ep 657 | 배송 16/50 | 재적재 0 | 도착  17 | 2홉+ 0.56 | 도달  821 | 차단 1296 | 정지 0.37 최장   8
Ep 658 | 배송 16/50 | 재적재 1 | 도착  15 | 2홉+ 0.51 | 도달  650 | 차단 1566 | 정지 0.81 최장   4
Ep 659 | 배송 17/50 | 재적재 1 | 도착  17 | 2홉+ 0.56 | 도달  614 | 차단  940 | 정지 0.31 최장   2
Ep 660 | 배송 16/50 | 재적재 1 | 도착  16 | 2홉+ 0.38 | 도달  651 | 차단  372 | 정지 0.53 최장   3
Ep 661 | 배송 20/50 | 재적재 2 | 도착  23 | 2홉+ 0.59 | 도달  670 | 차단  851 | 정지 0.28 최장   9
Ep 662 | 배송 18/50 | 재적재 2 | 도착  21 | 2홉+ 0.54 | 도달  684 | 차단  504 | 정지 0.11 최장   4
Ep 663 | 배송 18/50 | 재적재 1 | 도착  23 | 2홉+ 0.48 | 도달  621 | 차단  451 | 정지 0.04 최장   3
Ep 664 | 배송 18/50 | 재적재 2 | 도착  22 | 2홉+ 0.41 | 도달  659 | 차단  239 | 정지 0.02 최장   4
Ep 665 | 배송 20/50 | 재적재 1 | 도착  22 | 2홉+ 0.63 | 도달  806 | 차단 1441 | 정지 0.19 최장   8
Ep 666 | 배송 17/50 | 재적재 1 | 도착  20 | 2홉+ 0.45 | 도달  783 | 차단  733 | 정지 0.01 최장   3
Ep 667 | 배송 15/50 | 재적재 1 | 도착  16 | 2홉+ 0.64 | 도달  681 | 차단 1372 | 정지 0.00 최장 103
Ep 668 | 배송 15/50 | 재적재 1 | 도착  16 | 2홉+ 0.36 | 도달  623 | 차단   97 | 정지 0.00 최장   2
Ep 669 | 배송 10/50 | 재적재 0 | 도착  12 | 2홉+ 0.62 | 도달  487 | 차단  365 | 정지 0.03 최장   0
Ep 670 | 배송 24/50 | 재적재 2 | 도착  27 | 2홉+ 0.46 | 도달  763 | 차단 1147 | 정지 0.26 최장   5
Ep 671 | 배송 17/50 | 재적재 2 | 도착  21 | 2홉+ 0.38 | 도달  720 | 차단 1199 | 정지 0.71 최장   4
Ep 672 | 배송 15/50 | 재적재 2 | 도착  20 | 2홉+ 0.50 | 도달  741 | 차단 1447 | 정지 0.75 최장  11
Ep 673 | 배송 15/50 | 재적재 2 | 도착  16 | 2홉+ 0.33 | 도달  582 | 차단 1216 | 정지 0.69 최장   3
Ep 674 | 배송 15/50 | 재적재 1 | 도착  21 | 2홉+ 0.49 | 도달  602 | 차단  227 | 정지 0.20 최장   3
Ep 675 | 배송 19/50 | 재적재 1 | 도착  18 | 2홉+ 0.41 | 도달  702 | 차단  572 | 정지 0.39 최장   3
Ep 676 | 배송 16/50 | 재적재 1 | 도착  17 | 2홉+ 0.46 | 도달  682 | 차단 1197 | 정지 0.16 최장   9
Ep 677 | 배송 20/50 | 재적재 0 | 도착  23 | 2홉+ 0.54 | 도달  692 | 차단  630 | 정지 0.04 최장   3
Ep 678 | 배송 18/50 | 재적재 3 | 도착  24 | 2홉+ 0.56 | 도달  693 | 차단  778 | 정지 0.30 최장   9
Ep 679 | 배송 19/50 | 재적재 3 | 도착  24 | 2홉+ 0.47 | 도달  605 | 차단  198 | 정지 0.20 최장   2
Ep 680 | 배송 17/50 | 재적재 2 | 도착  19 | 2홉+ 0.60 | 도달  635 | 차단 1388 | 정지 0.00 최장  13
Ep 681 | 배송 12/50 | 재적재 0 | 도착  14 | 2홉+ 0.27 | 도달  672 | 차단  526 | 정지 0.56 최장   4
Ep 682 | 배송 20/50 | 재적재 1 | 도착  22 | 2홉+ 0.58 | 도달  780 | 차단 1246 | 정지 0.06 최장   4
Ep 683 | 배송 18/50 | 재적재 0 | 도착  21 | 2홉+ 0.46 | 도달  932 | 차단  720 | 정지 0.41 최장   3
Ep 684 | 배송 20/50 | 재적재 2 | 도착  23 | 2홉+ 0.42 | 도달  703 | 차단  650 | 정지 0.00 최장   3
Ep 685 | 배송 15/50 | 재적재 0 | 도착  20 | 2홉+ 0.34 | 도달  927 | 차단  843 | 정지 0.96 최장  22
Ep 686 | 배송 14/50 | 재적재 0 | 도착  20 | 2홉+ 0.60 | 도달  779 | 차단 2122 | 정지 0.99 최장  25
Ep 687 | 배송 22/50 | 재적재 3 | 도착  25 | 2홉+ 0.41 | 도달  631 | 차단  446 | 정지 0.09 최장   3
Ep 688 | 배송 18/50 | 재적재 0 | 도착  21 | 2홉+ 0.62 | 도달  750 | 차단 2041 | 정지 0.79 최장  13
Ep 689 | 배송  4/50 | 재적재 0 | 도착   8 | 2홉+ 0.00 | 도달  277 | 차단    0 | 정지 0.00 최장   2
Ep 690 | 배송 11/50 | 재적재 0 | 도착  14 | 2홉+ 0.31 | 도달  486 | 차단  548 | 정지 0.02 최장   2
Ep 691 | 배송 14/50 | 재적재 0 | 도착  17 | 2홉+ 0.43 | 도달  623 | 차단 1405 | 정지 0.49 최장   4
Ep 692 | 배송 19/50 | 재적재 3 | 도착  23 | 2홉+ 0.44 | 도달  589 | 차단  590 | 정지 0.03 최장   4
Ep 693 | 배송  7/50 | 재적재 0 | 도착  10 | 2홉+ 0.03 | 도달  456 | 차단    9 | 정지 0.09 최장   2
Ep 694 | 배송  7/50 | 재적재 0 | 도착   7 | 2홉+ 0.09 | 도달  393 | 차단   13 | 정지 0.03 최장   0
Ep 695 | 배송  5/50 | 재적재 0 | 도착   9 | 2홉+ 0.01 | 도달  367 | 차단    1 | 정지 0.00 최장   0
Ep 696 | 배송 10/50 | 재적재 0 | 도착  10 | 2홉+ 0.12 | 도달  701 | 차단   89 | 정지 0.35 최장   1
Ep 697 | 배송  4/50 | 재적재 0 | 도착   7 | 2홉+ 0.00 | 도달  264 | 차단    0 | 정지 0.00 최장   0
Ep 698 | 배송  4/50 | 재적재 0 | 도착   8 | 2홉+ 0.00 | 도달  257 | 차단    0 | 정지 0.00 최장   0
Ep 699 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  250 | 차단    0 | 정지 0.00 최장   2
Ep 700 | 배송  4/50 | 재적재 0 | 도착   9 | 2홉+ 0.00 | 도달  247 | 차단    0 | 정지 0.00 최장   1
  [홀드아웃] 배송 8.2±4.1 재적재 0.1 2홉+ 0.53 | 최고 23.4@ep300 정체 8/15
Ep 701 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  270 | 차단    0 | 정지 0.00 최장   1
Ep 702 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  250 | 차단    0 | 정지 0.00 최장   1
Ep 703 | 배송  4/50 | 재적재 0 | 도착   8 | 2홉+ 0.00 | 도달  268 | 차단    0 | 정지 0.00 최장   0
Ep 704 | 배송  4/50 | 재적재 0 | 도착   7 | 2홉+ 0.00 | 도달  268 | 차단    0 | 정지 0.00 최장   0
Ep 705 | 배송  4/50 | 재적재 0 | 도착   4 | 2홉+ 0.00 | 도달  264 | 차단    0 | 정지 0.00 최장   0
Ep 706 | 배송  4/50 | 재적재 0 | 도착   7 | 2홉+ 0.00 | 도달  290 | 차단    0 | 정지 0.00 최장   0
Ep 707 | 배송  4/50 | 재적재 0 | 도착   7 | 2홉+ 0.00 | 도달  275 | 차단    0 | 정지 0.00 최장   1
Ep 708 | 배송  4/50 | 재적재 0 | 도착   9 | 2홉+ 0.00 | 도달  289 | 차단    0 | 정지 0.00 최장   0
Ep 709 | 배송  4/50 | 재적재 0 | 도착   8 | 2홉+ 0.00 | 도달  283 | 차단    0 | 정지 0.00 최장   0
Ep 710 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  271 | 차단    0 | 정지 0.00 최장   0
Ep 711 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  283 | 차단    0 | 정지 0.00 최장   0
Ep 712 | 배송  4/50 | 재적재 0 | 도착   5 | 2홉+ 0.00 | 도달  287 | 차단    0 | 정지 0.00 최장   0
Ep 713 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  288 | 차단    0 | 정지 0.00 최장   0
Ep 714 | 배송  4/50 | 재적재 0 | 도착   4 | 2홉+ 0.00 | 도달  293 | 차단    0 | 정지 0.00 최장   0
Ep 715 | 배송 17/50 | 재적재 2 | 도착  17 | 2홉+ 0.34 | 도달  596 | 차단  358 | 정지 0.01 최장   9
Ep 716 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  292 | 차단    0 | 정지 0.00 최장   0
Ep 717 | 배송  4/50 | 재적재 0 | 도착   5 | 2홉+ 0.00 | 도달  255 | 차단    0 | 정지 0.00 최장   0
Ep 718 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  285 | 차단    0 | 정지 0.00 최장   0
Ep 719 | 배송  4/50 | 재적재 0 | 도착   7 | 2홉+ 0.00 | 도달  246 | 차단    0 | 정지 0.00 최장   0
Ep 720 | 배송  4/50 | 재적재 0 | 도착   4 | 2홉+ 0.00 | 도달  282 | 차단    0 | 정지 0.00 최장   0
Ep 721 | 배송  4/50 | 재적재 0 | 도착   5 | 2홉+ 0.00 | 도달  290 | 차단    0 | 정지 0.00 최장   0
Ep 722 | 배송  4/50 | 재적재 0 | 도착   7 | 2홉+ 0.00 | 도달  272 | 차단    0 | 정지 0.00 최장   0
Ep 723 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  291 | 차단    0 | 정지 0.00 최장   0
Ep 724 | 배송 18/50 | 재적재 2 | 도착  19 | 2홉+ 0.37 | 도달  651 | 차단  706 | 정지 0.86 최장   5
Ep 725 | 배송  5/50 | 재적재 0 | 도착   8 | 2홉+ 0.00 | 도달  312 | 차단    0 | 정지 0.00 최장   0
Ep 726 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  296 | 차단    0 | 정지 0.00 최장   0
Ep 727 | 배송  4/50 | 재적재 0 | 도착   7 | 2홉+ 0.00 | 도달  268 | 차단    0 | 정지 0.00 최장   0
Ep 728 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  281 | 차단    0 | 정지 0.00 최장   0
Ep 729 | 배송  4/50 | 재적재 0 | 도착   4 | 2홉+ 0.00 | 도달  260 | 차단    0 | 정지 0.00 최장   0
Ep 730 | 배송  4/50 | 재적재 0 | 도착   5 | 2홉+ 0.00 | 도달  253 | 차단    0 | 정지 0.00 최장   0
Ep 731 | 배송  4/50 | 재적재 0 | 도착   6 | 2홉+ 0.00 | 도달  284 | 차단    0 | 정지 0.00 최장   0
