/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
Ep 73 | 배송 29/50 | 재적재 3 | 도착  32 | 2홉+ 0.62 | 도달  814 | 차단 2037 | 정지 0.92 최장  16
Ep 74 | 배송 19/50 | 재적재 2 | 도착  23 | 2홉+ 0.49 | 도달  653 | 차단 2043 | 정지 0.57 최장  12
Ep 75 | 배송 22/50 | 재적재 3 | 도착  23 | 2홉+ 0.60 | 도달  687 | 차단 1630 | 정지 0.12 최장   8
Ep 76 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.62 | 도달  843 | 차단 1164 | 정지 0.58 최장   5
Ep 77 | 배송 20/50 | 재적재 1 | 도착  21 | 2홉+ 0.41 | 도달  677 | 차단  918 | 정지 0.05 최장   3
Ep 78 | 배송 23/50 | 재적재 3 | 도착  26 | 2홉+ 0.57 | 도달  744 | 차단 2461 | 정지 0.85 최장  17
Ep 79 | 배송 37/50 | 재적재 7 | 도착  43 | 2홉+ 0.63 | 도달  804 | 차단  793 | 정지 0.13 최장  10
Ep 80 | 배송 29/50 | 재적재 3 | 도착  30 | 2홉+ 0.67 | 도달  758 | 차단 1210 | 정지 0.44 최장   6
Ep 81 | 배송 27/50 | 재적재 3 | 도착  29 | 2홉+ 0.55 | 도달  758 | 차단  553 | 정지 0.48 최장   3
Ep 82 | 배송 28/50 | 재적재 3 | 도착  29 | 2홉+ 0.68 | 도달  729 | 차단 1937 | 정지 0.56 최장   9
Ep 83 | 배송 31/50 | 재적재 4 | 도착  37 | 2홉+ 0.62 | 도달  759 | 차단 1490 | 정지 0.41 최장   9
Ep 84 | 배송 28/50 | 재적재 3 | 도착  31 | 2홉+ 0.63 | 도달  860 | 차단 1382 | 정지 0.70 최장  12
Ep 85 | 배송 25/50 | 재적재 5 | 도착  34 | 2홉+ 0.56 | 도달  674 | 차단 1797 | 정지 0.41 최장   7
Ep 86 | 배송 27/50 | 재적재 4 | 도착  33 | 2홉+ 0.66 | 도달  730 | 차단 1665 | 정지 0.61 최장   4
Ep 87 | 배송 37/50 | 재적재 7 | 도착  47 | 2홉+ 0.64 | 도달  949 | 차단  839 | 정지 0.28 최장   3
Ep 88 | 배송 25/50 | 재적재 3 | 도착  29 | 2홉+ 0.48 | 도달  714 | 차단 1168 | 정지 0.25 최장   6
Ep 89 | 배송 30/50 | 재적재 4 | 도착  31 | 2홉+ 0.60 | 도달  944 | 차단  667 | 정지 0.04 최장   3
Ep 90 | 배송 32/50 | 재적재 4 | 도착  37 | 2홉+ 0.57 | 도달  802 | 차단  965 | 정지 0.06 최장   3
Ep 91 | 배송 31/50 | 재적재 3 | 도착  36 | 2홉+ 0.66 | 도달  870 | 차단  934 | 정지 0.13 최장   6
Ep 92 | 배송 26/50 | 재적재 3 | 도착  30 | 2홉+ 0.65 | 도달  753 | 차단 2386 | 정지 0.61 최장 153
Ep 93 | 배송 37/50 | 재적재 5 | 도착  44 | 2홉+ 0.58 | 도달  803 | 차단  763 | 정지 0.25 최장   6
Ep 94 | 배송 28/50 | 재적재 3 | 도착  31 | 2홉+ 0.61 | 도달  716 | 차단 1735 | 정지 0.88 최장   7
Ep 95 | 배송 24/50 | 재적재 3 | 도착  28 | 2홉+ 0.62 | 도달  860 | 차단 1922 | 정지 0.95 최장  43
Ep 96 | 배송 26/50 | 재적재 3 | 도착  29 | 2홉+ 0.65 | 도달  730 | 차단 1883 | 정지 0.31 최장   4
Ep 97 | 배송 38/50 | 재적재 4 | 도착  42 | 2홉+ 0.63 | 도달  866 | 차단 1150 | 정지 0.40 최장   4
Ep 98 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.60 | 도달  828 | 차단  877 | 정지 0.40 최장   2
Ep 99 | 배송 23/50 | 재적재 4 | 도착  30 | 2홉+ 0.62 | 도달  656 | 차단 1832 | 정지 0.81 최장   8
Ep 100 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.61 | 도달  760 | 차단 1114 | 정지 0.23 최장   6
  [홀드아웃] 배송 22.3±8.1 재적재 2.3 2홉+ 0.55 | 최고 22.3@ep100 정체 0/15  ← 갱신
Ep 101 | 배송 37/50 | 재적재 6 | 도착  44 | 2홉+ 0.62 | 도달  867 | 차단  901 | 정지 0.97 최장  32
Ep 102 | 배송 27/50 | 재적재 3 | 도착  28 | 2홉+ 0.68 | 도달  770 | 차단 2051 | 정지 0.91 최장  60
Ep 103 | 배송 27/50 | 재적재 3 | 도착  29 | 2홉+ 0.54 | 도달  719 | 차단 1269 | 정지 0.58 최장   4
Ep 104 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.62 | 도달  852 | 차단  682 | 정지 0.44 최장   2
Ep 105 | 배송 34/50 | 재적재 6 | 도착  41 | 2홉+ 0.59 | 도달  836 | 차단 1152 | 정지 0.68 최장  20
