/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.15 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 66 | 드론3 목적지61 |  897스텝 | 배송 61/61 | 재적재 11 | 중계율 0.15 | alpha 1.797 | complete
Ep 67 | 드론3 목적지53 | 1000스텝 | 배송 43/53 | 재적재  7 | 중계율 0.23 | alpha 1.883 | step_limit
Ep 68 | 드론3 목적지44 |  801스텝 | 배송 44/44 | 재적재  8 | 중계율 0.18 | alpha 1.951 | complete
Ep 69 | 드론4 목적지34 |  516스텝 | 배송 34/34 | 재적재  5 | 중계율 0.18 | alpha 2.000 | complete
Ep 70 | 드론4 목적지31 |  541스텝 | 배송 31/31 | 재적재  5 | 중계율 0.33 | alpha 2.055 | complete
Ep 71 | 드론5 목적지71 |  735스텝 | 배송 71/71 | 재적재 13 | 중계율 0.13 | alpha 2.131 | complete
Ep 72 | 드론3 목적지53 | 1000스텝 | 배송 41/53 | 재적재  6 | 중계율 0.23 | alpha 2.241 | step_limit
Ep 73 | 드론4 목적지21 |  779스텝 | 배송 21/21 | 재적재  3 | 중계율 0.36 | alpha 2.327 | complete
Ep 74 | 드론5 목적지45 |  443스텝 | 배송 45/45 | 재적재  7 | 중계율 0.15 | alpha 2.375 | complete
Ep 75 | 드론5 목적지40 |  545스텝 | 배송 40/40 | 재적재  6 | 중계율 0.17 | alpha 2.428 | complete
Ep 76 | 드론4 목적지75 | 1000스텝 | 배송 60/75 | 재적재 10 | 중계율 0.28 | alpha 2.524 | step_limit
Ep 77 | 드론5 목적지24 |  315스텝 | 배송 24/24 | 재적재  1 | 중계율 0.16 | alpha 2.552 | complete
Ep 78 | 드론4 목적지64 | 1000스텝 | 배송 63/64 | 재적재 11 | 중계율 0.20 | alpha 2.643 | step_limit
Ep 79 | 드론3 목적지41 | 1000스텝 | 배송 37/41 | 재적재  6 | 중계율 0.29 | alpha 2.733 | step_limit
