/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=0.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 99 | 드론4 목적지35 |  894스텝 | 배송 35/35 | 재적재  6 | 중계율 0.16 | alpha 2.653 | complete
Ep 100 | 드론3 목적지40 |  748스텝 | 배송 40/40 | 재적재  6 | 중계율 0.15 | alpha 2.653 | complete
  [홀드아웃] 배송 49.6±1.3 완주 0.91 스텝 1495 점수 111.3 재적재 8.4 2홉+ 0.66 | 최고 111.3@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지23 |  611스텝 | 배송 23/23 | 재적재  3 | 중계율 0.11 | alpha 2.665 | complete
Ep 102 | 드론3 목적지21 |  878스텝 | 배송 21/21 | 재적재  4 | 중계율 0.16 | alpha 2.646 | complete
Ep 103 | 드론4 목적지72 | 1000스텝 | 배송 68/72 | 재적재 12 | 중계율 0.11 | alpha 2.646 | step_limit
Ep 104 | 드론3 목적지27 | 1000스텝 | 배송 22/27 | 재적재  4 | 중계율 0.17 | alpha 2.633 | step_limit
Ep 105 | 드론3 목적지63 | 1000스텝 | 배송 53/63 | 재적재 10 | 중계율 0.14 | alpha 2.589 | step_limit
Ep 106 | 드론4 목적지58 | 1000스텝 | 배송 52/58 | 재적재 10 | 중계율 0.13 | alpha 2.569 | step_limit
Ep 107 | 드론4 목적지75 | 1000스텝 | 배송 50/75 | 재적재  7 | 중계율 0.21 | alpha 2.570 | step_limit
Ep 108 | 드론3 목적지55 | 1000스텝 | 배송 45/55 | 재적재  7 | 중계율 0.17 | alpha 2.589 | step_limit
Ep 109 | 드론4 목적지64 | 1000스텝 | 배송 57/64 | 재적재 10 | 중계율 0.19 | alpha 2.551 | step_limit
Ep 110 | 드론3 목적지55 | 1000스텝 | 배송 41/55 | 재적재  7 | 중계율 0.11 | alpha 2.521 | step_limit
Ep 111 | 드론4 목적지67 | 1000스텝 | 배송 60/67 | 재적재 11 | 중계율 0.14 | alpha 2.519 | step_limit
Ep 112 | 드론3 목적지46 | 1000스텝 | 배송 44/46 | 재적재  7 | 중계율 0.15 | alpha 2.487 | step_limit
Ep 113 | 드론4 목적지43 |  937스텝 | 배송 43/43 | 재적재  7 | 중계율 0.10 | alpha 2.499 | complete
Ep 114 | 드론3 목적지80 | 1000스텝 | 배송 48/80 | 재적재  8 | 중계율 0.13 | alpha 2.478 | step_limit
Ep 115 | 드론4 목적지78 | 1000스텝 | 배송 75/78 | 재적재 14 | 중계율 0.10 | alpha 2.499 | step_limit
Ep 116 | 드론4 목적지72 | 1000스텝 | 배송 67/72 | 재적재 12 | 중계율 0.15 | alpha 2.498 | step_limit
Ep 117 | 드론3 목적지54 | 1000스텝 | 배송 46/54 | 재적재  8 | 중계율 0.19 | alpha 2.507 | step_limit
Ep 118 | 드론3 목적지63 | 1000스텝 | 배송 55/63 | 재적재  9 | 중계율 0.16 | alpha 2.494 | step_limit
Ep 119 | 드론4 목적지66 | 1000스텝 | 배송 62/66 | 재적재 11 | 중계율 0.15 | alpha 2.513 | step_limit
Ep 120 | 드론4 목적지70 | 1000스텝 | 배송 56/70 | 재적재 10 | 중계율 0.09 | alpha 2.515 | step_limit
Ep 121 | 드론4 목적지45 |  967스텝 | 배송 45/45 | 재적재  8 | 중계율 0.16 | alpha 2.542 | complete
Ep 122 | 드론4 목적지26 | 1000스텝 | 배송 25/26 | 재적재  4 | 중계율 0.16 | alpha 2.537 | step_limit
Ep 123 | 드론4 목적지30 | 1000스텝 | 배송 28/30 | 재적재  4 | 중계율 0.17 | alpha 2.510 | step_limit
Ep 124 | 드론3 목적지80 | 1000스텝 | 배송 60/80 | 재적재 10 | 중계율 0.17 | alpha 2.500 | step_limit
Ep 125 | 드론4 목적지41 |  770스텝 | 배송 41/41 | 재적재  7 | 중계율 0.09 | alpha 2.497 | complete
Ep 126 | 드론3 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.15 | alpha 2.509 | step_limit
Ep 127 | 드론3 목적지37 |  976스텝 | 배송 37/37 | 재적재  6 | 중계율 0.16 | alpha 2.508 | complete
Ep 128 | 드론3 목적지42 | 1000스텝 | 배송 40/42 | 재적재  7 | 중계율 0.16 | alpha 2.488 | step_limit
Ep 129 | 드론4 목적지52 | 1000스텝 | 배송 50/52 | 재적재  8 | 중계율 0.09 | alpha 2.487 | step_limit
Ep 130 | 드론3 목적지40 | 1000스텝 | 배송 34/40 | 재적재  6 | 중계율 0.20 | alpha 2.479 | step_limit
Ep 131 | 드론3 목적지39 |  941스텝 | 배송 39/39 | 재적재  7 | 중계율 0.13 | alpha 2.462 | complete
Ep 132 | 드론4 목적지63 | 1000스텝 | 배송 54/63 | 재적재  9 | 중계율 0.09 | alpha 2.426 | step_limit
Ep 133 | 드론3 목적지61 | 1000스텝 | 배송 46/61 | 재적재  8 | 중계율 0.05 | alpha 2.419 | step_limit
Ep 134 | 드론4 목적지22 |  308스텝 | 배송 22/22 | 재적재  4 | 중계율 0.11 | alpha 2.414 | complete
Ep 135 | 드론3 목적지20 |  580스텝 | 배송 20/20 | 재적재  2 | 중계율 0.12 | alpha 2.405 | complete
Ep 136 | 드론4 목적지57 | 1000스텝 | 배송 51/57 | 재적재  9 | 중계율 0.22 | alpha 2.414 | step_limit
Ep 137 | 드론3 목적지24 |  772스텝 | 배송 24/24 | 재적재  3 | 중계율 0.18 | alpha 2.432 | complete
Ep 138 | 드론4 목적지35 | 1000스텝 | 배송 31/35 | 재적재  6 | 중계율 0.10 | alpha 2.425 | step_limit
Ep 139 | 드론3 목적지29 | 1000스텝 | 배송 28/29 | 재적재  4 | 중계율 0.21 | alpha 2.442 | step_limit
Ep 140 | 드론3 목적지32 | 1000스텝 | 배송 30/32 | 재적재  4 | 중계율 0.15 | alpha 2.410 | step_limit
Ep 141 | 드론3 목적지54 | 1000스텝 | 배송 51/54 | 재적재  9 | 중계율 0.10 | alpha 2.394 | step_limit
Ep 142 | 드론3 목적지42 |  980스텝 | 배송 42/42 | 재적재  7 | 중계율 0.10 | alpha 2.383 | complete
Ep 143 | 드론3 목적지23 |  897스텝 | 배송 23/23 | 재적재  3 | 중계율 0.18 | alpha 2.402 | complete
Ep 144 | 드론3 목적지61 | 1000스텝 | 배송 52/61 | 재적재  9 | 중계율 0.12 | alpha 2.405 | step_limit
Ep 145 | 드론3 목적지64 | 1000스텝 | 배송 55/64 | 재적재 10 | 중계율 0.08 | alpha 2.411 | step_limit
Ep 146 | 드론3 목적지71 |  964스텝 | 배송 36/71 | 재적재  7 | 중계율 0.12 | alpha 2.424 | no_progress
Ep 147 | 드론3 목적지48 | 1000스텝 | 배송 46/48 | 재적재  8 | 중계율 0.13 | alpha 2.407 | step_limit
Ep 148 | 드론4 목적지36 | 1000스텝 | 배송 35/36 | 재적재  5 | 중계율 0.15 | alpha 2.399 | step_limit
Ep 149 | 드론4 목적지40 |  701스텝 | 배송 40/40 | 재적재  6 | 중계율 0.14 | alpha 2.396 | complete
Ep 150 | 드론3 목적지26 |  810스텝 | 배송 26/26 | 재적재  4 | 중계율 0.16 | alpha 2.406 | complete
  [홀드아웃] 배송 49.9±0.5 완주 0.97 스텝 1374 점수 119.2 재적재 8.4 2홉+ 0.60 | 최고 119.2@ep150 정체 0/15  ← 갱신
Ep 151 | 드론4 목적지70 | 1000스텝 | 배송 61/70 | 재적재 11 | 중계율 0.12 | alpha 2.393 | step_limit
Ep 152 | 드론4 목적지48 |  900스텝 | 배송 48/48 | 재적재  8 | 중계율 0.15 | alpha 2.388 | complete
Ep 153 | 드론4 목적지57 | 1000스텝 | 배송 56/57 | 재적재 10 | 중계율 0.21 | alpha 2.365 | step_limit
Ep 154 | 드론4 목적지34 |  661스텝 | 배송 34/34 | 재적재  6 | 중계율 0.16 | alpha 2.357 | complete
Ep 155 | 드론4 목적지80 | 1000스텝 | 배송 66/80 | 재적재 11 | 중계율 0.24 | alpha 2.358 | step_limit
Ep 156 | 드론4 목적지59 | 1000스텝 | 배송 56/59 | 재적재  9 | 중계율 0.21 | alpha 2.363 | step_limit
Ep 157 | 드론3 목적지42 | 1000스텝 | 배송 38/42 | 재적재  6 | 중계율 0.13 | alpha 2.359 | step_limit
