/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4][3.0, 1.0] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 85 | 드론3 목적지45 | 1000스텝 | 배송 44/45 | 재적재  7 | 중계율 0.20 | alpha 2.653 | step_limit
Ep 86 | 드론3 목적지70 | 1000스텝 | 배송 60/70 | 재적재 10 | 중계율 0.29 | alpha 2.682 | step_limit
Ep 87 | 드론3 목적지72 | 1000스텝 | 배송 55/72 | 재적재  9 | 중계율 0.21 | alpha 2.712 | step_limit
Ep 88 | 드론3 목적지23 |  650스텝 | 배송 23/23 | 재적재  3 | 중계율 0.29 | alpha 2.720 | complete
Ep 89 | 드론3 목적지69 | 1000스텝 | 배송 60/69 | 재적재 10 | 중계율 0.22 | alpha 2.698 | step_limit
Ep 90 | 드론3 목적지70 | 1000스텝 | 배송 63/70 | 재적재 11 | 중계율 0.26 | alpha 2.669 | step_limit
Ep 91 | 드론3 목적지28 |  804스텝 | 배송 28/28 | 재적재  5 | 중계율 0.26 | alpha 2.603 | complete
Ep 92 | 드론3 목적지77 | 1000스텝 | 배송 63/77 | 재적재 10 | 중계율 0.23 | alpha 2.567 | step_limit
Ep 93 | 드론3 목적지80 | 1000스텝 | 배송 45/80 | 재적재  7 | 중계율 0.20 | alpha 2.573 | step_limit
Ep 94 | 드론3 목적지54 | 1000스텝 | 배송 52/54 | 재적재 10 | 중계율 0.25 | alpha 2.586 | step_limit
Ep 95 | 드론3 목적지47 | 1000스텝 | 배송 45/47 | 재적재  8 | 중계율 0.30 | alpha 2.604 | step_limit
Ep 96 | 드론3 목적지42 | 1000스텝 | 배송 41/42 | 재적재  6 | 중계율 0.30 | alpha 2.607 | step_limit
Ep 97 | 드론3 목적지59 | 1000스텝 | 배송 40/59 | 재적재  8 | 중계율 0.30 | alpha 2.607 | step_limit
Ep 98 | 드론3 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.28 | alpha 2.604 | step_limit
Ep 99 | 드론4 목적지63 |  838스텝 | 배송 63/63 | 재적재 11 | 중계율 0.18 | alpha 2.586 | complete
Ep 100 | 드론3 목적지49 | 1000스텝 | 배송 47/49 | 재적재  9 | 중계율 0.23 | alpha 2.539 | step_limit
  [홀드아웃] 배송 49.6±2.4 완주 0.95 스텝 1114 점수 120.1 재적재 8.0 2홉+ 0.63 | 최고 124.4@ep50 정체 1/15
Ep 101 | 드론4 목적지25 | 1000스텝 | 배송 24/25 | 재적재  4 | 중계율 0.43 | alpha 2.510 | step_limit
Ep 102 | 드론4 목적지57 |  869스텝 | 배송 57/57 | 재적재 10 | 중계율 0.24 | alpha 2.513 | complete
Ep 103 | 드론3 목적지38 |  881스텝 | 배송 38/38 | 재적재  6 | 중계율 0.21 | alpha 2.514 | complete
Ep 104 | 드론3 목적지43 | 1000스텝 | 배송 41/43 | 재적재  7 | 중계율 0.24 | alpha 2.529 | step_limit
Ep 105 | 드론3 목적지32 |  979스텝 | 배송 32/32 | 재적재  5 | 중계율 0.33 | alpha 2.510 | complete
Ep 106 | 드론3 목적지66 | 1000스텝 | 배송 48/66 | 재적재  8 | 중계율 0.30 | alpha 2.485 | step_limit
Ep 107 | 드론3 목적지30 |  744스텝 | 배송 30/30 | 재적재  5 | 중계율 0.18 | alpha 2.507 | complete
Ep 108 | 드론3 목적지61 | 1000스텝 | 배송 58/61 | 재적재 11 | 중계율 0.27 | alpha 2.509 | step_limit
Ep 109 | 드론3 목적지36 | 1000스텝 | 배송 32/36 | 재적재  6 | 중계율 0.25 | alpha 2.459 | step_limit
Ep 110 | 드론3 목적지34 |  735스텝 | 배송 34/34 | 재적재  5 | 중계율 0.23 | alpha 2.454 | complete
Ep 111 | 드론3 목적지36 |  915스텝 | 배송 36/36 | 재적재  6 | 중계율 0.27 | alpha 2.443 | complete
Ep 112 | 드론3 목적지49 |  916스텝 | 배송 49/49 | 재적재  8 | 중계율 0.20 | alpha 2.444 | complete
Ep 113 | 드론3 목적지54 | 1000스텝 | 배송 51/54 | 재적재  9 | 중계율 0.18 | alpha 2.438 | step_limit
Ep 114 | 드론4 목적지48 |  719스텝 | 배송 48/48 | 재적재  7 | 중계율 0.25 | alpha 2.455 | complete
Ep 115 | 드론3 목적지78 | 1000스텝 | 배송 70/78 | 재적재 13 | 중계율 0.19 | alpha 2.435 | step_limit
Ep 116 | 드론4 목적지72 | 1000스텝 | 배송 60/72 | 재적재  9 | 중계율 0.29 | alpha 2.436 | step_limit
Ep 117 | 드론4 목적지59 | 1000스텝 | 배송 52/59 | 재적재  8 | 중계율 0.26 | alpha 2.442 | step_limit
Ep 118 | 드론3 목적지51 | 1000스텝 | 배송 47/51 | 재적재  8 | 중계율 0.25 | alpha 2.396 | step_limit
Ep 119 | 드론3 목적지77 | 1000스텝 | 배송 68/77 | 재적재 12 | 중계율 0.18 | alpha 2.393 | step_limit
Ep 120 | 드론3 목적지62 | 1000스텝 | 배송 55/62 | 재적재 10 | 중계율 0.24 | alpha 2.371 | step_limit
Ep 121 | 드론3 목적지74 | 1000스텝 | 배송 65/74 | 재적재 11 | 중계율 0.21 | alpha 2.320 | step_limit
Ep 122 | 드론3 목적지61 | 1000스텝 | 배송 55/61 | 재적재  8 | 중계율 0.29 | alpha 2.300 | step_limit
Ep 123 | 드론4 목적지79 | 1000스텝 | 배송 73/79 | 재적재 14 | 중계율 0.28 | alpha 2.283 | step_limit
Ep 124 | 드론3 목적지34 |  637스텝 | 배송 34/34 | 재적재  5 | 중계율 0.22 | alpha 2.262 | complete
Ep 125 | 드론3 목적지51 | 1000스텝 | 배송 45/51 | 재적재  7 | 중계율 0.26 | alpha 2.283 | step_limit
Ep 126 | 드론4 목적지29 |  549스텝 | 배송 29/29 | 재적재  4 | 중계율 0.34 | alpha 2.294 | complete
Ep 127 | 드론3 목적지38 | 1000스텝 | 배송 36/38 | 재적재  6 | 중계율 0.31 | alpha 2.316 | step_limit
Ep 128 | 드론3 목적지60 | 1000스텝 | 배송 53/60 | 재적재  9 | 중계율 0.33 | alpha 2.341 | step_limit
Ep 129 | 드론3 목적지43 | 1000스텝 | 배송 40/43 | 재적재  6 | 중계율 0.23 | alpha 2.359 | step_limit
Ep 130 | 드론3 목적지53 | 1000스텝 | 배송 50/53 | 재적재  9 | 중계율 0.20 | alpha 2.368 | step_limit
Ep 131 | 드론3 목적지76 | 1000스텝 | 배송 64/76 | 재적재 11 | 중계율 0.24 | alpha 2.349 | step_limit
Ep 132 | 드론4 목적지29 | 1000스텝 | 배송 27/29 | 재적재  3 | 중계율 0.33 | alpha 2.358 | step_limit
Ep 133 | 드론3 목적지40 | 1000스텝 | 배송 39/40 | 재적재  6 | 중계율 0.23 | alpha 2.302 | step_limit
Ep 134 | 드론3 목적지79 | 1000스텝 | 배송 59/79 | 재적재 11 | 중계율 0.24 | alpha 2.277 | step_limit
Ep 135 | 드론4 목적지22 |  353스텝 | 배송 22/22 | 재적재  3 | 중계율 0.21 | alpha 2.273 | complete
Ep 136 | 드론4 목적지59 | 1000스텝 | 배송 51/59 | 재적재  8 | 중계율 0.34 | alpha 2.223 | step_limit
Ep 137 | 드론3 목적지67 | 1000스텝 | 배송 59/67 | 재적재 10 | 중계율 0.18 | alpha 2.219 | step_limit
Ep 138 | 드론3 목적지77 | 1000스텝 | 배송 65/77 | 재적재 11 | 중계율 0.25 | alpha 2.199 | step_limit
Ep 139 | 드론4 목적지28 |  388스텝 | 배송 28/28 | 재적재  3 | 중계율 0.17 | alpha 2.202 | complete
Ep 140 | 드론3 목적지25 |  640스텝 | 배송 25/25 | 재적재  4 | 중계율 0.14 | alpha 2.208 | complete
Ep 141 | 드론3 목적지80 |  932스텝 | 배송 34/80 | 재적재  5 | 중계율 0.33 | alpha 2.206 | no_progress
Ep 142 | 드론3 목적지46 |  933스텝 | 배송 46/46 | 재적재  8 | 중계율 0.27 | alpha 2.196 | complete
Ep 143 | 드론3 목적지22 |  377스텝 | 배송 22/22 | 재적재  3 | 중계율 0.19 | alpha 2.192 | complete
Ep 144 | 드론4 목적지74 | 1000스텝 | 배송 72/74 | 재적재 12 | 중계율 0.23 | alpha 2.183 | step_limit
Ep 145 | 드론3 목적지39 |  776스텝 | 배송 39/39 | 재적재  6 | 중계율 0.29 | alpha 2.166 | complete
Ep 146 | 드론4 목적지60 |  942스텝 | 배송 60/60 | 재적재 10 | 중계율 0.19 | alpha 2.149 | complete
Ep 147 | 드론3 목적지47 |  890스텝 | 배송 47/47 | 재적재  8 | 중계율 0.20 | alpha 2.119 | complete
Ep 148 | 드론3 목적지79 | 1000스텝 | 배송 60/79 | 재적재 11 | 중계율 0.25 | alpha 2.120 | step_limit
Ep 149 | 드론3 목적지32 |  759스텝 | 배송 32/32 | 재적재  6 | 중계율 0.28 | alpha 2.108 | complete
Ep 150 | 드론4 목적지64 | 1000스텝 | 배송 61/64 | 재적재 11 | 중계율 0.27 | alpha 2.112 | step_limit
  [홀드아웃] 배송 49.8±1.7 완주 0.95 스텝 1149 점수 119.7 재적재 7.9 2홉+ 0.61 | 최고 124.4@ep50 정체 2/15
Ep 151 | 드론3 목적지54 |  886스텝 | 배송 54/54 | 재적재  9 | 중계율 0.16 | alpha 2.090 | complete
Ep 152 | 드론4 목적지43 | 1000스텝 | 배송 40/43 | 재적재  8 | 중계율 0.29 | alpha 2.076 | step_limit
Ep 153 | 드론3 목적지38 |  838스텝 | 배송 38/38 | 재적재  7 | 중계율 0.19 | alpha 2.067 | complete
Ep 154 | 드론3 목적지57 |  980스텝 | 배송 57/57 | 재적재 11 | 중계율 0.27 | alpha 2.051 | complete
Ep 155 | 드론4 목적지44 |  819스텝 | 배송 44/44 | 재적재  7 | 중계율 0.31 | alpha 2.064 | complete
Ep 156 | 드론3 목적지60 | 1000스텝 | 배송 53/60 | 재적재  9 | 중계율 0.29 | alpha 2.067 | step_limit
Ep 157 | 드론4 목적지59 |  982스텝 | 배송 59/59 | 재적재 11 | 중계율 0.23 | alpha 2.074 | complete
Ep 158 | 드론4 목적지33 |  493스텝 | 배송 33/33 | 재적재  5 | 중계율 0.19 | alpha 2.075 | complete
Ep 159 | 드론3 목적지62 | 1000스텝 | 배송 60/62 | 재적재 11 | 중계율 0.22 | alpha 2.066 | step_limit
Ep 160 | 드론4 목적지49 |  837스텝 | 배송 49/49 | 재적재  8 | 중계율 0.30 | alpha 2.062 | complete
Ep 161 | 드론3 목적지28 |  767스텝 | 배송 28/28 | 재적재  5 | 중계율 0.27 | alpha 2.052 | complete
Ep 162 | 드론4 목적지29 |  695스텝 | 배송 29/29 | 재적재  5 | 중계율 0.34 | alpha 2.022 | complete
Ep 163 | 드론3 목적지27 |  720스텝 | 배송 27/27 | 재적재  4 | 중계율 0.23 | alpha 1.997 | complete
Ep 164 | 드론3 목적지32 |  564스텝 | 배송 32/32 | 재적재  5 | 중계율 0.24 | alpha 2.000 | complete
Ep 165 | 드론4 목적지73 |  989스텝 | 배송 73/73 | 재적재 13 | 중계율 0.22 | alpha 2.007 | complete
Ep 166 | 드론3 목적지58 | 1000스텝 | 배송 53/58 | 재적재  9 | 중계율 0.22 | alpha 1.965 | step_limit
Ep 167 | 드론4 목적지38 |  823스텝 | 배송 38/38 | 재적재  5 | 중계율 0.28 | alpha 1.945 | complete
Ep 168 | 드론3 목적지76 | 1000스텝 | 배송 52/76 | 재적재  9 | 중계율 0.29 | alpha 1.949 | step_limit
Ep 169 | 드론4 목적지41 | 1000스텝 | 배송 39/41 | 재적재  5 | 중계율 0.40 | alpha 1.926 | step_limit
Ep 170 | 드론3 목적지76 | 1000스텝 | 배송 63/76 | 재적재 11 | 중계율 0.18 | alpha 1.904 | step_limit
Ep 171 | 드론3 목적지24 |  452스텝 | 배송 24/24 | 재적재  4 | 중계율 0.19 | alpha 1.891 | complete
