/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 62 | 드론7 목적지55 |  682스텝 | 배송 55/55 | 재적재  8 | 중계율 0.22 | alpha 0.921 | complete
Ep 63 | 드론7 목적지68 |  849스텝 | 배송 68/68 | 재적재 10 | 중계율 0.18 | alpha 0.906 | complete
Ep 64 | 드론3 목적지41 |  750스텝 | 배송 17/41 | 재적재  2 | 중계율 0.27 | alpha 0.900 | no_progress
Ep 65 | 드론6 목적지68 |  546스텝 | 배송 68/68 | 재적재 12 | 중계율 0.09 | alpha 0.899 | complete
Ep 66 | 드론3 목적지61 | 1000스텝 | 배송 50/61 | 재적재  9 | 중계율 0.11 | alpha 0.895 | step_limit
Ep 67 | 드론3 목적지53 | 1000스텝 | 배송 40/53 | 재적재  6 | 중계율 0.18 | alpha 0.896 | step_limit
Ep 68 | 드론4 목적지44 |  479스텝 | 배송 44/44 | 재적재  7 | 중계율 0.13 | alpha 0.892 | complete
Ep 69 | 드론5 목적지34 |  587스텝 | 배송 34/34 | 재적재  4 | 중계율 0.15 | alpha 0.881 | complete
Ep 70 | 드론5 목적지31 |  643스텝 | 배송 31/31 | 재적재  3 | 중계율 0.13 | alpha 0.870 | complete
Ep 71 | 드론7 목적지71 |  487스텝 | 배송 71/71 | 재적재 10 | 중계율 0.09 | alpha 0.862 | complete
Ep 72 | 드론3 목적지53 | 1000스텝 | 배송 33/53 | 재적재  5 | 중계율 0.21 | alpha 0.831 | step_limit
Ep 73 | 드론4 목적지21 | 1000스텝 | 배송 17/21 | 재적재  2 | 중계율 0.22 | alpha 0.810 | step_limit
Ep 74 | 드론7 목적지45 |  427스텝 | 배송 45/45 | 재적재  7 | 중계율 0.10 | alpha 0.808 | complete
Ep 75 | 드론6 목적지40 |  628스텝 | 배송 40/40 | 재적재  5 | 중계율 0.13 | alpha 0.820 | complete
Ep 76 | 드론5 목적지75 | 1000스텝 | 배송 71/75 | 재적재 12 | 중계율 0.17 | alpha 0.849 | step_limit
Ep 77 | 드론6 목적지24 |  223스텝 | 배송 24/24 | 재적재  0 | 중계율 0.07 | alpha 0.855 | complete
Ep 78 | 드론5 목적지64 | 1000스텝 | 배송 55/64 | 재적재  9 | 중계율 0.15 | alpha 0.872 | step_limit
Ep 79 | 드론3 목적지41 | 1000스텝 | 배송 39/41 | 재적재  7 | 중계율 0.15 | alpha 0.869 | step_limit
Ep 80 | 드론3 목적지69 | 1000스텝 | 배송 61/69 | 재적재 12 | 중계율 0.10 | alpha 0.870 | step_limit
Ep 81 | 드론7 목적지47 |  393스텝 | 배송 47/47 | 재적재  5 | 중계율 0.12 | alpha 0.865 | complete
Ep 82 | 드론8 목적지69 |  497스텝 | 배송 69/69 | 재적재 10 | 중계율 0.09 | alpha 0.869 | complete
Ep 83 | 드론6 목적지31 |  355스텝 | 배송 31/31 | 재적재  3 | 중계율 0.12 | alpha 0.875 | complete
Ep 84 | 드론4 목적지33 |  626스텝 | 배송 33/33 | 재적재  4 | 중계율 0.13 | alpha 0.886 | complete
Ep 85 | 드론5 목적지38 |  551스텝 | 배송 38/38 | 재적재  6 | 중계율 0.05 | alpha 0.906 | complete
Ep 86 | 드론8 목적지24 |  232스텝 | 배송 24/24 | 재적재  1 | 중계율 0.03 | alpha 0.915 | complete
Ep 87 | 드론3 목적지30 |  908스텝 | 배송 30/30 | 재적재  5 | 중계율 0.12 | alpha 0.969 | complete
Ep 88 | 드론5 목적지38 |  793스텝 | 배송 38/38 | 재적재  5 | 중계율 0.10 | alpha 0.999 | complete
Ep 89 | 드론4 목적지57 | 1000스텝 | 배송 50/57 | 재적재  8 | 중계율 0.11 | alpha 1.032 | step_limit
Ep 90 | 드론7 목적지21 |  217스텝 | 배송 21/21 | 재적재  0 | 중계율 0.02 | alpha 1.043 | complete
Ep 91 | 드론8 목적지77 |  476스텝 | 배송 77/77 | 재적재 15 | 중계율 0.05 | alpha 1.070 | complete
Ep 92 | 드론5 목적지69 | 1000스텝 | 배송 64/69 | 재적재 11 | 중계율 0.11 | alpha 1.131 | step_limit
Ep 93 | 드론8 목적지60 |  576스텝 | 배송 60/60 | 재적재 10 | 중계율 0.03 | alpha 1.154 | complete
Ep 94 | 드론7 목적지45 |  422스텝 | 배송 45/45 | 재적재  7 | 중계율 0.04 | alpha 1.174 | complete
Ep 95 | 드론5 목적지71 |  959스텝 | 배송 71/71 | 재적재 13 | 중계율 0.05 | alpha 1.206 | complete
Ep 96 | 드론3 목적지74 | 1000스텝 | 배송 56/74 | 재적재 10 | 중계율 0.11 | alpha 1.209 | step_limit
Ep 97 | 드론8 목적지47 |  262스텝 | 배송 47/47 | 재적재  7 | 중계율 0.03 | alpha 1.220 | complete
Ep 98 | 드론8 목적지50 |  589스텝 | 배송 50/50 | 재적재  7 | 중계율 0.06 | alpha 1.228 | complete
Ep 99 | 드론7 목적지35 |  403스텝 | 배송 35/35 | 재적재  3 | 중계율 0.07 | alpha 1.236 | complete
Ep 100 | 드론4 목적지40 |  563스텝 | 배송 40/40 | 재적재  6 | 중계율 0.04 | alpha 1.238 | complete
  [홀드아웃] 배송 42.8±7.4 완주 0.08 재적재 6.8 2홉+ 0.63 | 최고 43.2@ep50 정체 1/15
Ep 101 | 드론3 목적지23 | 1000스텝 | 배송 21/23 | 재적재  3 | 중계율 0.03 | alpha 1.270 | step_limit
Ep 102 | 드론3 목적지21 |  724스텝 | 배송 21/21 | 재적재  3 | 중계율 0.10 | alpha 1.277 | complete
