/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 3] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 63 | 드론3 목적지24 |  593스텝 | 배송 24/24 | 재적재  3 | 중계율 0.40 | alpha 2.952 | complete
Ep 64 | 드론3 목적지48 | 1000스텝 | 배송 47/48 | 재적재  7 | 중계율 0.27 | alpha 3.045 | step_limit
Ep 65 | 드론3 목적지27 |  709스텝 | 배송 27/27 | 재적재  3 | 중계율 0.26 | alpha 3.103 | complete
Ep 66 | 드론3 목적지72 | 1000스텝 | 배송 60/72 | 재적재 12 | 중계율 0.12 | alpha 3.182 | step_limit
Ep 67 | 드론3 목적지38 |  931스텝 | 배송 38/38 | 재적재  6 | 중계율 0.29 | alpha 3.251 | complete
Ep 68 | 드론3 목적지55 | 1000스텝 | 배송 46/55 | 재적재  8 | 중계율 0.21 | alpha 3.301 | step_limit
Ep 69 | 드론3 목적지72 | 1000스텝 | 배송 68/72 | 재적재 12 | 중계율 0.15 | alpha 3.335 | step_limit
Ep 70 | 드론3 목적지44 |  753스텝 | 배송 44/44 | 재적재  8 | 중계율 0.19 | alpha 3.356 | complete
Ep 71 | 드론3 목적지53 | 1000스텝 | 배송 50/53 | 재적재  8 | 중계율 0.21 | alpha 3.360 | step_limit
Ep 72 | 드론3 목적지56 | 1000스텝 | 배송 51/56 | 재적재  9 | 중계율 0.20 | alpha 3.353 | step_limit
Ep 73 | 드론3 목적지74 | 1000스텝 | 배송 60/74 | 재적재 10 | 중계율 0.21 | alpha 3.335 | step_limit
Ep 74 | 드론3 목적지32 |  760스텝 | 배송 32/32 | 재적재  5 | 중계율 0.19 | alpha 3.332 | complete
Ep 75 | 드론3 목적지40 | 1000스텝 | 배송 38/40 | 재적재  7 | 중계율 0.29 | alpha 3.320 | step_limit
Ep 76 | 드론3 목적지74 | 1000스텝 | 배송 51/74 | 재적재 10 | 중계율 0.17 | alpha 3.341 | step_limit
Ep 77 | 드론3 목적지35 |  926스텝 | 배송 35/35 | 재적재  6 | 중계율 0.18 | alpha 3.345 | complete
Ep 78 | 드론3 목적지42 | 1000스텝 | 배송 37/42 | 재적재  7 | 중계율 0.19 | alpha 3.331 | step_limit
Ep 79 | 드론3 목적지73 | 1000스텝 | 배송 69/73 | 재적재 13 | 중계율 0.15 | alpha 3.305 | step_limit
Ep 80 | 드론3 목적지67 | 1000스텝 | 배송 50/67 | 재적재  8 | 중계율 0.22 | alpha 3.275 | step_limit
Ep 81 | 드론3 목적지49 | 1000스텝 | 배송 48/49 | 재적재  9 | 중계율 0.19 | alpha 3.272 | step_limit
Ep 82 | 드론3 목적지46 |  975스텝 | 배송 46/46 | 재적재  8 | 중계율 0.22 | alpha 3.256 | complete
Ep 83 | 드론3 목적지56 | 1000스텝 | 배송 47/56 | 재적재  7 | 중계율 0.27 | alpha 3.218 | step_limit
Ep 84 | 드론3 목적지61 | 1000스텝 | 배송 50/61 | 재적재  9 | 중계율 0.18 | alpha 3.165 | step_limit
Ep 85 | 드론3 목적지21 |  667스텝 | 배송 21/21 | 재적재  3 | 중계율 0.23 | alpha 3.136 | complete
Ep 86 | 드론3 목적지68 | 1000스텝 | 배송 50/68 | 재적재  9 | 중계율 0.17 | alpha 3.069 | step_limit
Ep 87 | 드론3 목적지57 | 1000스텝 | 배송 50/57 | 재적재  8 | 중계율 0.21 | alpha 3.066 | step_limit
Ep 88 | 드론3 목적지26 |  444스텝 | 배송 26/26 | 재적재  4 | 중계율 0.17 | alpha 3.084 | complete
Ep 89 | 드론3 목적지29 |  704스텝 | 배송 29/29 | 재적재  5 | 중계율 0.23 | alpha 3.082 | complete
Ep 90 | 드론3 목적지21 |  795스텝 | 배송 21/21 | 재적재  2 | 중계율 0.33 | alpha 3.039 | complete
Ep 91 | 드론3 목적지60 | 1000스텝 | 배송 56/60 | 재적재 11 | 중계율 0.18 | alpha 3.054 | step_limit
Ep 92 | 드론3 목적지70 | 1000스텝 | 배송 49/70 | 재적재  8 | 중계율 0.18 | alpha 3.083 | step_limit
Ep 93 | 드론3 목적지55 | 1000스텝 | 배송 52/55 | 재적재  9 | 중계율 0.29 | alpha 3.074 | step_limit
Ep 94 | 드론3 목적지68 | 1000스텝 | 배송 58/68 | 재적재  9 | 중계율 0.16 | alpha 3.045 | step_limit
Ep 95 | 드론3 목적지31 |  633스텝 | 배송 31/31 | 재적재  6 | 중계율 0.31 | alpha 3.032 | complete
Ep 96 | 드론3 목적지41 |  927스텝 | 배송 41/41 | 재적재  6 | 중계율 0.25 | alpha 3.020 | complete
Ep 97 | 드론3 목적지58 | 1000스텝 | 배송 51/58 | 재적재 10 | 중계율 0.23 | alpha 3.030 | step_limit
