/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=off 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 196 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.52 교착최장 273 | step_limit
Ep 197 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.41 교착최장  29 | step_limit
Ep 198 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.56 교착최장 254 | step_limit
Ep 199 |  1000스텝 | 배송 45/50 | 재적재  6 | 정지 0.37 교착최장  38 | step_limit
Ep 200 |  1000스텝 | 배송 40/50 | 재적재  5 | 정지 0.37 교착최장  34 | step_limit
  [홀드아웃] 배송 35.8±9.2 재적재 5.1 2홉+ 0.60 | 최고 40.8@ep100 정체 2/15
Ep 201 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.42 교착최장 130 | step_limit
Ep 202 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.50 교착최장  98 | step_limit
Ep 203 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.51 교착최장 110 | step_limit
Ep 204 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.46 교착최장 157 | step_limit
Ep 205 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.33 교착최장  25 | step_limit
Ep 206 |   742스텝 | 배송 17/50 | 재적재  1 | 정지 0.76 교착최장 462 | no_progress
