/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.2@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 119 | 드론4 목적지66 |  865스텝 | 배송 66/66 | 재적재 12 | 중계율 0.20 | alpha 2.177 | complete
Ep 120 | 드론4 목적지70 | 1000스텝 | 배송 66/70 | 재적재 11 | 중계율 0.20 | alpha 2.146 | step_limit
Ep 121 | 드론4 목적지45 |  627스텝 | 배송 45/45 | 재적재  6 | 중계율 0.17 | alpha 2.134 | complete
Ep 122 | 드론4 목적지26 |  739스텝 | 배송 26/26 | 재적재  4 | 중계율 0.34 | alpha 2.134 | complete
Ep 123 | 드론4 목적지30 |  670스텝 | 배송 30/30 | 재적재  4 | 중계율 0.26 | alpha 2.113 | complete
Ep 124 | 드론3 목적지80 | 1000스텝 | 배송 65/80 | 재적재 12 | 중계율 0.23 | alpha 2.109 | step_limit
Ep 125 | 드론4 목적지41 |  841스텝 | 배송 41/41 | 재적재  7 | 중계율 0.22 | alpha 2.114 | complete
Ep 126 | 드론3 목적지50 | 1000스텝 | 배송 43/50 | 재적재  6 | 중계율 0.29 | alpha 2.123 | step_limit
Ep 127 | 드론3 목적지37 |  852스텝 | 배송 37/37 | 재적재  6 | 중계율 0.29 | alpha 2.097 | complete
Ep 128 | 드론3 목적지42 |  860스텝 | 배송 42/42 | 재적재  7 | 중계율 0.24 | alpha 2.089 | complete
Ep 129 | 드론4 목적지52 |  852스텝 | 배송 52/52 | 재적재  8 | 중계율 0.26 | alpha 2.074 | complete
Ep 130 | 드론3 목적지40 |  973스텝 | 배송 40/40 | 재적재  7 | 중계율 0.26 | alpha 2.043 | complete
Ep 131 | 드론3 목적지39 |  800스텝 | 배송 39/39 | 재적재  7 | 중계율 0.17 | alpha 2.032 | complete
Ep 132 | 드론4 목적지63 |  838스텝 | 배송 63/63 | 재적재 11 | 중계율 0.17 | alpha 1.977 | complete
Ep 133 | 드론3 목적지61 | 1000스텝 | 배송 60/61 | 재적재 11 | 중계율 0.17 | alpha 1.971 | step_limit
Ep 134 | 드론4 목적지22 |  328스텝 | 배송 22/22 | 재적재  2 | 중계율 0.17 | alpha 1.963 | complete
Ep 135 | 드론3 목적지20 |  509스텝 | 배송 20/20 | 재적재  3 | 중계율 0.30 | alpha 1.956 | complete
Ep 136 | 드론4 목적지57 | 1000스텝 | 배송 51/57 | 재적재  9 | 중계율 0.33 | alpha 1.941 | step_limit
Ep 137 | 드론3 목적지24 |  706스텝 | 배송 24/24 | 재적재  3 | 중계율 0.27 | alpha 1.937 | complete
Ep 138 | 드론4 목적지35 |  715스텝 | 배송 35/35 | 재적재  6 | 중계율 0.19 | alpha 1.920 | complete
Ep 139 | 드론3 목적지29 |  700스텝 | 배송 29/29 | 재적재  5 | 중계율 0.21 | alpha 1.907 | complete
Ep 140 | 드론3 목적지32 |  885스텝 | 배송 32/32 | 재적재  5 | 중계율 0.25 | alpha 1.900 | complete
Ep 141 | 드론3 목적지54 | 1000스텝 | 배송 53/54 | 재적재  9 | 중계율 0.19 | alpha 1.871 | step_limit
Ep 142 | 드론3 목적지42 |  785스텝 | 배송 42/42 | 재적재  7 | 중계율 0.22 | alpha 1.883 | complete
Ep 143 | 드론3 목적지23 |  563스텝 | 배송 23/23 | 재적재  3 | 중계율 0.24 | alpha 1.866 | complete
Ep 144 | 드론3 목적지61 | 1000스텝 | 배송 56/61 | 재적재 10 | 중계율 0.21 | alpha 1.838 | step_limit
Ep 145 | 드론3 목적지64 | 1000스텝 | 배송 52/64 | 재적재  9 | 중계율 0.21 | alpha 1.832 | step_limit
Ep 146 | 드론3 목적지71 | 1000스텝 | 배송 56/71 | 재적재 10 | 중계율 0.20 | alpha 1.800 | step_limit
Ep 147 | 드론3 목적지48 |  788스텝 | 배송 48/48 | 재적재  8 | 중계율 0.16 | alpha 1.770 | complete
Ep 148 | 드론4 목적지36 |  819스텝 | 배송 36/36 | 재적재  5 | 중계율 0.32 | alpha 1.753 | complete
Ep 149 | 드론4 목적지40 |  460스텝 | 배송 40/40 | 재적재  5 | 중계율 0.21 | alpha 1.744 | complete
Ep 150 | 드론3 목적지26 |  641스텝 | 배송 26/26 | 재적재  4 | 중계율 0.22 | alpha 1.745 | complete
  [홀드아웃] 배송 49.6±3.8 완주 0.97 스텝 1089 점수 103.9 재적재 7.8 2홉+ 0.60 | 최고 106.4@ep100 정체 1/15
Ep 151 | 드론4 목적지70 | 1000스텝 | 배송 67/70 | 재적재 12 | 중계율 0.22 | alpha 1.740 | step_limit
Ep 152 | 드론4 목적지48 |  740스텝 | 배송 48/48 | 재적재  8 | 중계율 0.22 | alpha 1.755 | complete
Ep 153 | 드론4 목적지57 |  961스텝 | 배송 57/57 | 재적재  9 | 중계율 0.25 | alpha 1.759 | complete
Ep 154 | 드론4 목적지34 |  431스텝 | 배송 34/34 | 재적재  6 | 중계율 0.16 | alpha 1.765 | complete
Ep 155 | 드론4 목적지80 | 1000스텝 | 배송 66/80 | 재적재 11 | 중계율 0.31 | alpha 1.767 | step_limit
Ep 156 | 드론4 목적지59 | 1000스텝 | 배송 57/59 | 재적재  9 | 중계율 0.30 | alpha 1.782 | step_limit
Ep 157 | 드론3 목적지42 |  913스텝 | 배송 42/42 | 재적재  7 | 중계율 0.26 | alpha 1.776 | complete
Ep 158 | 드론4 목적지76 | 1000스텝 | 배송 73/76 | 재적재 12 | 중계율 0.15 | alpha 1.762 | step_limit
Ep 159 | 드론4 목적지47 |  771스텝 | 배송 47/47 | 재적재  9 | 중계율 0.23 | alpha 1.728 | complete
Ep 160 | 드론3 목적지62 | 1000스텝 | 배송 55/62 | 재적재 10 | 중계율 0.24 | alpha 1.710 | step_limit
Ep 161 | 드론3 목적지31 |  581스텝 | 배송 31/31 | 재적재  4 | 중계율 0.21 | alpha 1.711 | complete
