/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 119 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.83 교착최장 500 | step_limit
Ep 120 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.74 교착최장 173 | step_limit
Ep 121 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.75 교착최장 184 | step_limit
Ep 122 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.75 교착최장 139 | step_limit
Ep 123 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.77 교착최장 255 | step_limit
Ep 124 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.74 교착최장 272 | step_limit
Ep 125 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.82 교착최장 185 | step_limit
Ep 126 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.76 교착최장 239 | step_limit
Ep 127 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.79 교착최장 310 | step_limit
Ep 128 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.84 교착최장 308 | step_limit
Ep 129 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.86 교착최장 627 | step_limit
Ep 130 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.76 교착최장 524 | step_limit
Ep 131 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.74 교착최장 337 | step_limit
Ep 132 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.83 교착최장 328 | step_limit
Ep 133 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.78 교착최장 297 | step_limit
Ep 134 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.81 교착최장 308 | step_limit
Ep 135 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.87 교착최장 702 | step_limit
Ep 136 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.77 교착최장 299 | step_limit
Ep 137 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.74 교착최장 215 | step_limit
Ep 138 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.79 교착최장 373 | step_limit
Ep 139 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.78 교착최장 436 | step_limit
Ep 140 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.82 교착최장 572 | step_limit
Ep 141 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.76 교착최장 116 | step_limit
Ep 142 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.72 교착최장 155 | step_limit
Ep 143 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.83 교착최장 532 | step_limit
Ep 144 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.81 교착최장 276 | step_limit
Ep 145 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.75 교착최장 274 | step_limit
Ep 146 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.77 교착최장 151 | step_limit
Ep 147 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.83 교착최장 366 | step_limit
Ep 148 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.82 교착최장 370 | step_limit
Ep 149 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.79 교착최장 219 | step_limit
Ep 150 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.84 교착최장 313 | step_limit
  [홀드아웃] 배송 33.0±5.9 재적재 4.7 2홉+ 0.65 | 최고 34.6@ep100 정체 1/15
Ep 151 |  1000스텝 | 배송 38/50 | 재적재  7 | 정지 0.63 교착최장 211 | step_limit
Ep 152 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.67 교착최장 117 | step_limit
Ep 153 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.54 교착최장  99 | step_limit
Ep 154 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.64 교착최장 103 | step_limit
Ep 155 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.72 교착최장 381 | step_limit
Ep 156 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.82 교착최장 428 | step_limit
Ep 157 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.80 교착최장 258 | step_limit
