/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.15->-1.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 63 | 드론6 목적지68 |  533스텝 | 배송 68/68 | 재적재  9 | 중계율 0.20 | alpha 0.021 | complete
Ep 64 | 드론3 목적지41 |  910스텝 | 배송 41/41 | 재적재  6 | 중계율 0.26 | alpha 0.020 | complete
Ep 65 | 드론5 목적지68 |  471스텝 | 배송 68/68 | 재적재 12 | 중계율 0.11 | alpha 0.019 | complete
Ep 66 | 드론3 목적지61 |  958스텝 | 배송 61/61 | 재적재 10 | 중계율 0.19 | alpha 0.018 | complete
Ep 67 | 드론3 목적지53 | 1000스텝 | 배송 50/53 | 재적재  8 | 중계율 0.29 | alpha 0.016 | step_limit
Ep 68 | 드론3 목적지44 | 1000스텝 | 배송 43/44 | 재적재  8 | 중계율 0.20 | alpha 0.015 | step_limit
Ep 69 | 드론4 목적지34 |  479스텝 | 배송 34/34 | 재적재  4 | 중계율 0.15 | alpha 0.015 | complete
Ep 70 | 드론4 목적지31 | 1000스텝 | 배송 28/31 | 재적재  4 | 중계율 0.30 | alpha 0.014 | step_limit
Ep 71 | 드론5 목적지71 |  614스텝 | 배송 71/71 | 재적재 11 | 중계율 0.13 | alpha 0.013 | complete
Ep 72 | 드론3 목적지53 |  977스텝 | 배송 53/53 | 재적재  9 | 중계율 0.29 | alpha 0.012 | complete
Ep 73 | 드론4 목적지21 |  514스텝 | 배송 21/21 | 재적재  3 | 중계율 0.25 | alpha 0.012 | complete
Ep 74 | 드론5 목적지45 |  574스텝 | 배송 45/45 | 재적재  7 | 중계율 0.16 | alpha 0.012 | complete
Ep 75 | 드론5 목적지40 |  406스텝 | 배송 40/40 | 재적재  5 | 중계율 0.13 | alpha 0.011 | complete
Ep 76 | 드론4 목적지75 | 1000스텝 | 배송 60/75 | 재적재 12 | 중계율 0.34 | alpha 0.011 | step_limit
Ep 77 | 드론5 목적지24 |  270스텝 | 배송 24/24 | 재적재  2 | 중계율 0.19 | alpha 0.011 | complete
Ep 78 | 드론4 목적지64 |  943스텝 | 배송 64/64 | 재적재 11 | 중계율 0.25 | alpha 0.010 | complete
Ep 79 | 드론3 목적지41 |  670스텝 | 배송 41/41 | 재적재  7 | 중계율 0.24 | alpha 0.010 | complete
Ep 80 | 드론3 목적지69 | 1000스텝 | 배송 67/69 | 재적재 11 | 중계율 0.19 | alpha 0.009 | step_limit
Ep 81 | 드론6 목적지47 |  378스텝 | 배송 47/47 | 재적재  7 | 중계율 0.15 | alpha 0.009 | complete
Ep 82 | 드론6 목적지69 |  641스텝 | 배송 69/69 | 재적재  9 | 중계율 0.24 | alpha 0.009 | complete
Ep 83 | 드론5 목적지31 |  515스텝 | 배송 31/31 | 재적재  4 | 중계율 0.21 | alpha 0.009 | complete
Ep 84 | 드론3 목적지33 |  701스텝 | 배송 33/33 | 재적재  5 | 중계율 0.25 | alpha 0.008 | complete
Ep 85 | 드론4 목적지38 |  563스텝 | 배송 38/38 | 재적재  6 | 중계율 0.15 | alpha 0.008 | complete
Ep 86 | 드론6 목적지24 |  219스텝 | 배송 24/24 | 재적재  0 | 중계율 0.15 | alpha 0.008 | complete
Ep 87 | 드론3 목적지30 |  861스텝 | 배송 30/30 | 재적재  4 | 중계율 0.31 | alpha 0.007 | complete
