/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:311: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 131 | 드론6 목적지57 |  724스텝 | 배송 57/57 | 재적재  9 | 중계율 0.10 | alpha 1.467 | complete
Ep 132 | 드론4 목적지51 | 1000스텝 | 배송 41/51 | 재적재  6 | 중계율 0.21 | alpha 1.449 | step_limit
Ep 133 | 드론6 목적지36 |  418스텝 | 배송 36/36 | 재적재  6 | 중계율 0.05 | alpha 1.455 | complete
Ep 134 | 드론5 목적지49 |  805스텝 | 배송 49/49 | 재적재  8 | 중계율 0.15 | alpha 1.457 | complete
Ep 135 | 드론4 목적지56 | 1000스텝 | 배송 51/56 | 재적재 10 | 중계율 0.14 | alpha 1.440 | step_limit
Ep 136 | 드론3 목적지38 | 1000스텝 | 배송 32/38 | 재적재  5 | 중계율 0.18 | alpha 1.421 | step_limit
Ep 137 | 드론6 목적지37 |  464스텝 | 배송 37/37 | 재적재  5 | 중계율 0.12 | alpha 1.428 | complete
Ep 138 | 드론5 목적지68 |  972스텝 | 배송 68/68 | 재적재 13 | 중계율 0.13 | alpha 1.427 | complete
Ep 139 | 드론3 목적지63 | 1000스텝 | 배송 56/63 | 재적재 10 | 중계율 0.10 | alpha 1.418 | step_limit
Ep 140 | 드론6 목적지64 |  544스텝 | 배송 64/64 | 재적재 11 | 중계율 0.06 | alpha 1.405 | complete
Ep 141 | 드론4 목적지48 |  824스텝 | 배송 48/48 | 재적재  9 | 중계율 0.09 | alpha 1.400 | complete
Ep 142 | 드론5 목적지69 |  816스텝 | 배송 69/69 | 재적재 13 | 중계율 0.05 | alpha 1.397 | complete
Ep 143 | 드론3 목적지58 | 1000스텝 | 배송 41/58 | 재적재  7 | 중계율 0.10 | alpha 1.397 | step_limit
Ep 144 | 드론6 목적지55 |  779스텝 | 배송 55/55 | 재적재  9 | 중계율 0.09 | alpha 1.417 | complete
Ep 145 | 드론3 목적지39 | 1000스텝 | 배송 36/39 | 재적재  6 | 중계율 0.13 | alpha 1.445 | step_limit
Ep 146 | 드론3 목적지60 | 1000스텝 | 배송 57/60 | 재적재 11 | 중계율 0.07 | alpha 1.473 | step_limit
Ep 147 | 드론4 목적지44 |  606스텝 | 배송 44/44 | 재적재  8 | 중계율 0.07 | alpha 1.465 | complete
Ep 148 | 드론6 목적지50 |  404스텝 | 배송 50/50 | 재적재  6 | 중계율 0.07 | alpha 1.455 | complete
Ep 149 | 드론3 목적지36 |  922스텝 | 배송 36/36 | 재적재  6 | 중계율 0.07 | alpha 1.426 | complete
Ep 150 | 드론5 목적지78 |  728스텝 | 배송 78/78 | 재적재 14 | 중계율 0.06 | alpha 1.439 | complete
  [홀드아웃] 배송 50.0±0.0 완주 1.00 스텝 1339 점수 105.5 재적재 8.5 2홉+ 0.65 | 최고 105.5@ep150 정체 0/15  ← 갱신
Ep 151 | 드론4 목적지64 | 1000스텝 | 배송 61/64 | 재적재 11 | 중계율 0.06 | alpha 1.428 | step_limit
Ep 152 | 드론6 목적지21 |  205스텝 | 배송 21/21 | 재적재  1 | 중계율 0.03 | alpha 1.437 | complete
Ep 153 | 드론5 목적지76 | 1000스텝 | 배송 70/76 | 재적재 12 | 중계율 0.14 | alpha 1.440 | step_limit
Ep 154 | 드론3 목적지40 | 1000스텝 | 배송 35/40 | 재적재  6 | 중계율 0.10 | alpha 1.456 | step_limit
Ep 155 | 드론4 목적지64 |  888스텝 | 배송 64/64 | 재적재 11 | 중계율 0.05 | alpha 1.482 | complete
Ep 156 | 드론5 목적지50 |  688스텝 | 배송 50/50 | 재적재  8 | 중계율 0.06 | alpha 1.484 | complete
Ep 157 | 드론3 목적지56 | 1000스텝 | 배송 44/56 | 재적재  8 | 중계율 0.07 | alpha 1.498 | step_limit
Ep 158 | 드론6 목적지67 |  504스텝 | 배송 67/67 | 재적재 11 | 중계율 0.04 | alpha 1.486 | complete
Ep 159 | 드론5 목적지78 | 1000스텝 | 배송 75/78 | 재적재 13 | 중계율 0.04 | alpha 1.473 | step_limit
Ep 160 | 드론5 목적지23 |  423스텝 | 배송 23/23 | 재적재  2 | 중계율 0.07 | alpha 1.491 | complete
Ep 161 | 드론6 목적지73 |  626스텝 | 배송 73/73 | 재적재 13 | 중계율 0.05 | alpha 1.510 | complete
Ep 162 | 드론4 목적지49 |  610스텝 | 배송 49/49 | 재적재  8 | 중계율 0.08 | alpha 1.517 | complete
Ep 163 | 드론5 목적지36 |  437스텝 | 배송 36/36 | 재적재  6 | 중계율 0.08 | alpha 1.526 | complete
Ep 164 | 드론5 목적지54 |  646스텝 | 배송 54/54 | 재적재  9 | 중계율 0.09 | alpha 1.549 | complete
Ep 165 | 드론6 목적지47 |  574스텝 | 배송 47/47 | 재적재  7 | 중계율 0.06 | alpha 1.540 | complete
