/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.05
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 44 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.50 교착최장  43 | step_limit
Ep 45 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.53 교착최장  78 | step_limit
Ep 46 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.69 교착최장 117 | step_limit
Ep 47 |  1000스텝 | 배송 47/50 | 재적재  7 | 정지 0.46 교착최장  60 | step_limit
Ep 48 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.71 교착최장 199 | step_limit
Ep 49 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.55 교착최장  56 | step_limit
Ep 50 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.55 교착최장 138 | step_limit
  [홀드아웃] 배송 39.8±6.2 재적재 5.9 2홉+ 0.63 | 최고 39.8@ep50 정체 0/15  ← 갱신
Ep 51 |  1000스텝 | 배송 39/50 | 재적재  7 | 정지 0.41 교착최장  34 | step_limit
Ep 52 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.59 교착최장 134 | step_limit
Ep 53 |  1000스텝 | 배송 36/50 | 재적재  4 | 정지 0.46 교착최장  25 | step_limit
Ep 54 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.52 교착최장  99 | step_limit
Ep 55 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.68 교착최장 179 | step_limit
Ep 56 |  1000스텝 | 배송 35/50 | 재적재  6 | 정지 0.44 교착최장  56 | step_limit
Ep 57 |  1000스텝 | 배송 40/50 | 재적재  5 | 정지 0.40 교착최장  48 | step_limit
Ep 58 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.38 교착최장  71 | step_limit
Ep 59 |  1000스텝 | 배송 40/50 | 재적재  7 | 정지 0.50 교착최장  38 | step_limit
Ep 60 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.41 교착최장  31 | step_limit
Ep 61 |  1000스텝 | 배송 35/50 | 재적재  6 | 정지 0.51 교착최장  75 | step_limit
Ep 62 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.44 교착최장  68 | step_limit
Ep 63 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.59 교착최장  98 | step_limit
Ep 64 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.50 교착최장  73 | step_limit
Ep 65 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.62 교착최장 137 | step_limit
Ep 66 |  1000스텝 | 배송 38/50 | 재적재  7 | 정지 0.45 교착최장  64 | step_limit
Ep 67 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.57 교착최장  81 | step_limit
Ep 68 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.37 교착최장  30 | step_limit
Ep 69 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.34 교착최장  38 | step_limit
Ep 70 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.40 교착최장  37 | step_limit
Ep 71 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.45 교착최장  38 | step_limit
Ep 72 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.45 교착최장  54 | step_limit
Ep 73 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.32 교착최장  38 | step_limit
Ep 74 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.45 교착최장  24 | step_limit
Ep 75 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.47 교착최장 133 | step_limit
Ep 76 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.37 교착최장  32 | step_limit
Ep 77 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.41 교착최장  57 | step_limit
Ep 78 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.39 교착최장  69 | step_limit
Ep 79 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.36 교착최장  30 | step_limit
Ep 80 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.37 교착최장  43 | step_limit
Ep 81 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.45 교착최장  58 | step_limit
Ep 82 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.42 교착최장  34 | step_limit
Ep 83 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.25 교착최장  21 | step_limit
Ep 84 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.46 교착최장  18 | step_limit
Ep 85 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.35 교착최장  43 | step_limit
Ep 86 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.31 교착최장  17 | step_limit
Ep 87 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.35 교착최장  76 | step_limit
Ep 88 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.46 교착최장 179 | step_limit
Ep 89 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.43 교착최장  29 | step_limit
Ep 90 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.29 교착최장  22 | step_limit
Ep 91 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.28 교착최장  32 | step_limit
Ep 92 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.31 교착최장  20 | step_limit
Ep 93 |  1000스텝 | 배송 34/50 | 재적재  6 | 정지 0.19 교착최장  54 | step_limit
Ep 94 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.34 교착최장  37 | step_limit
Ep 95 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.31 교착최장  29 | step_limit
Ep 96 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.39 교착최장  26 | step_limit
Ep 97 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.29 교착최장  16 | step_limit
Ep 98 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.30 교착최장  36 | step_limit
Ep 99 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.29 교착최장  20 | step_limit
Ep 100 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.32 교착최장  29 | step_limit
  [홀드아웃] 배송 35.8±3.7 재적재 5.3 2홉+ 0.54 | 최고 39.8@ep50 정체 1/15
Ep 101 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.36 교착최장  35 | step_limit
Ep 102 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.41 교착최장  37 | step_limit
Ep 103 |  1000스텝 | 배송 32/50 | 재적재  3 | 정지 0.33 교착최장  70 | step_limit
Ep 104 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.40 교착최장  62 | step_limit
