/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 84 | 배송 29/50 | 재적재 3 | 도착  14 | 2홉+ 0.63 | 도달  811 | 차단  511
Ep 85 | 배송 30/50 | 재적재 5 | 도착  16 | 2홉+ 0.59 | 도달  799 | 차단  395
Ep 86 | 배송 30/50 | 재적재 4 | 도착  13 | 2홉+ 0.62 | 도달  870 | 차단  459
Ep 87 | 배송 27/50 | 재적재 3 | 도착  14 | 2홉+ 0.65 | 도달  980 | 차단  913
Ep 88 | 배송 28/50 | 재적재 3 | 도착  16 | 2홉+ 0.61 | 도달  802 | 차단  513
Ep 89 | 배송 27/50 | 재적재 3 | 도착  16 | 2홉+ 0.65 | 도달  824 | 차단  479
Ep 90 | 배송 30/50 | 재적재 5 | 도착  12 | 2홉+ 0.61 | 도달  825 | 차단  325
Ep 91 | 배송 33/50 | 재적재 4 | 도착  20 | 2홉+ 0.62 | 도달  821 | 차단  305
Ep 92 | 배송 35/50 | 재적재 5 | 도착  20 | 2홉+ 0.61 | 도달  957 | 차단  705
Ep 93 | 배송 26/50 | 재적재 3 | 도착  16 | 2홉+ 0.59 | 도달  801 | 차단  331
Ep 94 | 배송 28/50 | 재적재 5 | 도착  16 | 2홉+ 0.60 | 도달  904 | 차단  521
Ep 95 | 배송 34/50 | 재적재 5 | 도착  15 | 2홉+ 0.63 | 도달  862 | 차단  780
Ep 96 | 배송 29/50 | 재적재 2 | 도착  15 | 2홉+ 0.62 | 도달  987 | 차단  724
Ep 97 | 배송 32/50 | 재적재 5 | 도착  21 | 2홉+ 0.61 | 도달  730 | 차단  360
