/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 132 |  5077스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장   9 | no_progress
Ep 133 |  4508스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  11 | no_progress
Ep 134 |  4417스텝 | 배송 40/50 | 재적재  7 | 정지 0.14 교착최장  16 | no_progress
Ep 135 |  4116스텝 | 배송 38/50 | 재적재  6 | 정지 0.10 교착최장  16 | no_progress
Ep 136 |  5226스텝 | 배송 47/50 | 재적재  8 | 정지 0.18 교착최장  23 | no_progress
Ep 137 |  4330스텝 | 배송 42/50 | 재적재  5 | 정지 0.15 교착최장  10 | no_progress
Ep 138 |  4451스텝 | 배송 39/50 | 재적재  7 | 정지 0.12 교착최장   6 | no_progress
Ep 139 |  4567스텝 | 배송 39/50 | 재적재  7 | 정지 0.21 교착최장  30 | no_progress
Ep 140 |  3614스텝 | 배송 33/50 | 재적재  4 | 정지 0.09 교착최장  10 | no_progress
Ep 141 |  2748스텝 | 배송 35/50 | 재적재  4 | 정지 0.17 교착최장  11 | no_progress
Ep 142 |  5338스텝 | 배송 38/50 | 재적재  6 | 정지 0.15 교착최장  17 | no_progress
Ep 143 |  5557스텝 | 배송 42/50 | 재적재  7 | 정지 0.16 교착최장  25 | no_progress
Ep 144 |  3135스텝 | 배송 37/50 | 재적재  6 | 정지 0.12 교착최장  12 | no_progress
Ep 145 |  2596스텝 | 배송 35/50 | 재적재  5 | 정지 0.10 교착최장  16 | no_progress
Ep 146 |  4633스텝 | 배송 42/50 | 재적재  7 | 정지 0.20 교착최장  16 | no_progress
Ep 147 |  4476스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  10 | no_progress
Ep 148 |  4655스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장   8 | no_progress
Ep 149 |  3832스텝 | 배송 37/50 | 재적재  5 | 정지 0.13 교착최장  11 | no_progress
Ep 150 |  4114스텝 | 배송 44/50 | 재적재  7 | 정지 0.26 교착최장  65 | no_progress
  [홀드아웃] 배송 15.4±7.0 재적재 0.8 2홉+ 0.46 | 최고 16.8@ep50 정체 2/15
Ep 151 |  4719스텝 | 배송 44/50 | 재적재  7 | 정지 0.20 교착최장  30 | no_progress
Ep 152 |  2892스텝 | 배송 41/50 | 재적재  7 | 정지 0.15 교착최장  11 | no_progress
Ep 153 |  6459스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  10 | no_progress
Ep 154 |  4137스텝 | 배송 40/50 | 재적재  5 | 정지 0.16 교착최장  29 | no_progress
Ep 155 |  3436스텝 | 배송 37/50 | 재적재  6 | 정지 0.10 교착최장   7 | no_progress
Ep 156 |  3749스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장  11 | no_progress
Ep 157 |  4826스텝 | 배송 43/50 | 재적재  8 | 정지 0.13 교착최장   9 | no_progress
Ep 158 |  3888스텝 | 배송 33/50 | 재적재  6 | 정지 0.12 교착최장  10 | no_progress
