/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 121 | Step 1000 | R   151.39 | 배송 18/50 | 미활동 0 | 2홉+ 0.61 | 도달  844 | 차단  798
Ep 122 | Step 1000 | R   209.36 | 배송 21/50 | 미활동 0 | 2홉+ 0.63 | 도달  904 | 차단 1665
Ep 123 | Step 1000 | R   225.91 | 배송 21/50 | 미활동 0 | 2홉+ 0.66 | 도달  783 | 차단 1120
Ep 124 | Step 1000 | R   230.08 | 배송 18/50 | 미활동 0 | 2홉+ 0.53 | 도달  900 | 차단  840
Ep 125 | Step 1000 | R   243.99 | 배송 21/50 | 미활동 0 | 2홉+ 0.66 | 도달  868 | 차단 1783
Ep 126 | Step 1000 | R   243.92 | 배송 21/50 | 미활동 0 | 2홉+ 0.67 | 도달  826 | 차단 1808
Ep 127 | Step 1000 | R    40.47 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  985 | 차단 3100
Ep 128 | Step 1000 | R   275.03 | 배송 24/50 | 미활동 0 | 2홉+ 0.64 | 도달  918 | 차단 1969
Ep 129 | Step 1000 | R    79.11 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1040 | 차단 1776
Ep 130 | Step 1000 | R    68.86 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1073 | 차단 2305
Ep 131 | Step 1000 | R   330.78 | 배송 23/50 | 미활동 0 | 2홉+ 0.49 | 도달  941 | 차단 1735
Ep 132 | Step 1000 | R   157.88 | 배송 19/50 | 미활동 0 | 2홉+ 0.52 | 도달  717 | 차단 1966
Ep 133 | Step 1000 | R   286.37 | 배송 24/50 | 미활동 0 | 2홉+ 0.49 | 도달  749 | 차단  928
Ep 134 | Step 1000 | R    88.20 | 배송 15/50 | 미활동 0 | 2홉+ 0.73 | 도달 1074 | 차단 2640
Ep 135 | Step 1000 | R   326.46 | 배송 25/50 | 미활동 0 | 2홉+ 0.51 | 도달  779 | 차단 1234
Ep 136 | Step 1000 | R   262.49 | 배송 25/50 | 미활동 0 | 2홉+ 0.66 | 도달  774 | 차단 1541
Ep 137 | Step 1000 | R    64.81 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  970 | 차단 2639
Ep 138 | Step 1000 | R   324.51 | 배송 26/50 | 미활동 0 | 2홉+ 0.57 | 도달  999 | 차단 1434
Ep 139 | Step 1000 | R    24.29 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  949 | 차단 3379
Ep 140 | Step 1000 | R   337.83 | 배송 27/50 | 미활동 0 | 2홉+ 0.59 | 도달  887 | 차단 1413
Ep 141 | Step 1000 | R   104.63 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1067 | 차단 2778
Ep 142 | Step 1000 | R   359.27 | 배송 28/50 | 미활동 0 | 2홉+ 0.62 | 도달  784 | 차단 1109
Ep 143 | Step 1000 | R   148.72 | 배송 19/50 | 미활동 0 | 2홉+ 0.52 | 도달  709 | 차단 1938
