/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 113 | 배송 32/50 | 재적재 5 | 도착  19 | 2홉+ 0.57 | 도달  908 | 차단  533 | 정지 0.01 최장   3
Ep 114 | 배송 30/50 | 재적재 4 | 도착  24 | 2홉+ 0.62 | 도달  812 | 차단  265 | 정지 0.12 최장   1
Ep 115 | 배송 31/50 | 재적재 3 | 도착  16 | 2홉+ 0.62 | 도달  868 | 차단  514 | 정지 0.01 최장   5
Ep 116 | 배송 27/50 | 재적재 3 | 도착  14 | 2홉+ 0.62 | 도달  871 | 차단  502 | 정지 0.02 최장   3
Ep 117 | 배송 31/50 | 재적재 3 | 도착  18 | 2홉+ 0.60 | 도달  797 | 차단  716 | 정지 0.34 최장   3
Ep 118 | 배송 27/50 | 재적재 3 | 도착  16 | 2홉+ 0.64 | 도달  844 | 차단  930 | 정지 0.60 최장   3
Ep 119 | 배송 35/50 | 재적재 5 | 도착  17 | 2홉+ 0.58 | 도달  957 | 차단  600 | 정지 0.29 최장   3
Ep 120 | 배송 27/50 | 재적재 2 | 도착  18 | 2홉+ 0.59 | 도달  790 | 차단  508 | 정지 0.00 최장   3
Ep 121 | 배송 33/50 | 재적재 3 | 도착  20 | 2홉+ 0.65 | 도달  901 | 차단  650 | 정지 0.23 최장   3
Ep 122 | 배송 27/50 | 재적재 3 | 도착  15 | 2홉+ 0.60 | 도달  903 | 차단  460 | 정지 0.27 최장   4
Ep 123 | 배송 28/50 | 재적재 3 | 도착  18 | 2홉+ 0.62 | 도달  972 | 차단  606 | 정지 0.05 최장  10
Ep 124 | 배송 33/50 | 재적재 5 | 도착  20 | 2홉+ 0.63 | 도달  922 | 차단  677 | 정지 0.03 최장   3
Ep 125 | 배송 27/50 | 재적재 3 | 도착  13 | 2홉+ 0.65 | 도달  770 | 차단  834 | 정지 0.42 최장   4
Ep 126 | 배송 33/50 | 재적재 6 | 도착  24 | 2홉+ 0.54 | 도달  872 | 차단  427 | 정지 0.01 최장   3
Ep 127 | 배송 28/50 | 재적재 4 | 도착  17 | 2홉+ 0.64 | 도달  913 | 차단  819 | 정지 0.23 최장   4
Ep 128 | 배송 30/50 | 재적재 3 | 도착  19 | 2홉+ 0.65 | 도달  894 | 차단  623 | 정지 0.13 최장   3
Ep 129 | 배송 31/50 | 재적재 5 | 도착  18 | 2홉+ 0.63 | 도달  862 | 차단  388 | 정지 0.21 최장   3
Ep 130 | 배송 32/50 | 재적재 4 | 도착  15 | 2홉+ 0.63 | 도달  952 | 차단  694 | 정지 0.07 최장   1
Ep 131 | 배송 32/50 | 재적재 4 | 도착  22 | 2홉+ 0.62 | 도달  810 | 차단  510 | 정지 0.56 최장   2
Ep 132 | 배송 25/50 | 재적재 3 | 도착  17 | 2홉+ 0.59 | 도달  722 | 차단  966 | 정지 0.63 최장  10
Ep 133 | 배송 29/50 | 재적재 3 | 도착  23 | 2홉+ 0.66 | 도달  840 | 차단  603 | 정지 0.23 최장   2
Ep 134 | 배송 29/50 | 재적재 4 | 도착  17 | 2홉+ 0.64 | 도달  801 | 차단  385 | 정지 0.07 최장   3
Ep 135 | 배송 31/50 | 재적재 3 | 도착  19 | 2홉+ 0.65 | 도달  879 | 차단  588 | 정지 0.08 최장   5
Ep 136 | 배송 33/50 | 재적재 4 | 도착  21 | 2홉+ 0.63 | 도달  921 | 차단  469 | 정지 0.22 최장   1
Ep 137 | 배송 30/50 | 재적재 4 | 도착  20 | 2홉+ 0.62 | 도달  780 | 차단  616 | 정지 0.10 최장   2
Ep 138 | 배송 27/50 | 재적재 3 | 도착  17 | 2홉+ 0.64 | 도달  800 | 차단  642 | 정지 0.01 최장   2
Ep 139 | 배송 28/50 | 재적재 5 | 도착  21 | 2홉+ 0.59 | 도달  832 | 차단  541 | 정지 0.02 최장   2
