episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
135,1000,360.0,8.165,31,,910,0,3,19,588,0.6538,879.4,,,0,135000,1635.7
136,1000,410.0,7.057,33,,925,0,4,21,469,0.6338,920.8,,,0,136000,1649.1
137,1000,380.0,4.84,30,,996,0,4,20,616,0.6195,779.6,,,0,137000,1660.9
138,1000,320.0,-1.095,27,,898,0,3,17,642,0.636,800.1,,,0,138000,1672.5
139,1000,390.0,2.8,28,,814,0,5,21,541,0.5865,831.9,,,0,139000,1685.6
140,1000,410.0,4.758,33,,932,0,4,21,527,0.61,891.0,,,0,140000,1697.0
141,1000,340.0,0.087,29,,955,0,3,14,681,0.6095,831.0,,,0,141000,1708.8
142,1000,470.0,5.896,36,,994,0,5,21,700,0.6475,975.3,,,0,142000,1722.3
143,1000,420.0,14.271,31,,971,0,5,26,467,0.6088,803.0,,,0,143000,1734.2
144,1000,360.0,7.382,28,,816,0,4,18,514,0.6155,785.3,,,0,144000,1745.7
145,1000,340.0,2.022,29,,954,0,3,16,545,0.5978,849.8,,,0,145000,1759.0
146,1000,400.0,11.291,32,,896,0,4,23,439,0.6418,756.3,,,0,146000,1770.6
147,1000,410.0,-0.703,33,,979,0,4,18,795,0.6535,1027.8,,,0,147000,1783.4
148,1000,380.0,16.089,30,,984,0,4,23,354,0.5823,875.4,,,0,148000,1795.1
149,1000,390.0,11.768,31,,999,0,4,26,481,0.5847,819.4,,,0,149000,1807.4
150,1000,360.0,7.96,31,,993,0,3,12,356,0.6388,830.0,,,0,150000,1821.2
151,1000,390.0,7.786,31,,940,0,4,22,565,0.652,919.4,,,0,151000,1864.1
152,1000,410.0,4.355,30,,930,0,5,19,711,0.6505,815.7,,,0,152000,1877.0
153,1000,380.0,12.475,30,,982,0,4,18,351,0.6208,761.3,,,0,153000,1891.6
154,1000,340.0,4.168,29,,968,0,3,18,569,0.6292,861.3,,,0,154000,1904.8
155,1000,250.0,2.195,23,,956,0,2,14,499,0.6605,747.6,,,0,155000,1918.9
156,1000,350.0,16.038,27,,991,0,4,24,283,0.5962,781.1,,,0,156000,1932.6
157,1000,350.0,9.312,30,,791,0,3,22,541,0.6015,825.2,,,0,157000,1945.2
158,1000,340.0,4.17,26,,877,0,4,17,610,0.5942,790.2,,,0,158000,1959.8
159,1000,360.0,4.688,31,,907,0,3,21,454,0.6435,853.2,,,0,159000,1972.8
160,1000,480.0,16.038,37,,993,0,5,30,443,0.5877,882.4,,,0,160000,1988.1
161,1000,300.0,2.222,28,,984,0,2,13,401,0.6645,782.3,,,0,161000,2001.4
162,1000,330.0,1.146,28,,998,0,3,18,701,0.6538,953.4,,,0,162000,2014.0
163,1000,310.0,-5.502,26,,902,0,3,14,833,0.5827,733.3,,,0,163000,2028.7
164,1000,320.0,2.243,27,,976,0,3,22,598,0.6567,761.8,,,0,164000,2042.5
165,1000,410.0,16.233,33,,963,0,4,22,296,0.6178,817.7,,,0,165000,2056.5
