/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 117 |  1000스텝 | 배송 24/50 | 재적재  4 | 정지 0.04 교착최장   3 | step_limit
Ep 118 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.11 교착최장   7 | step_limit
Ep 119 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.11 교착최장   6 | step_limit
Ep 120 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.09 교착최장   4 | step_limit
Ep 121 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.09 교착최장   7 | step_limit
Ep 122 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.07 교착최장   5 | step_limit
Ep 123 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.07 교착최장   6 | step_limit
Ep 124 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.08 교착최장   6 | step_limit
Ep 125 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.09 교착최장  11 | step_limit
Ep 126 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.10 교착최장   6 | step_limit
Ep 127 |  1000스텝 | 배송 26/50 | 재적재  5 | 정지 0.07 교착최장   6 | step_limit
Ep 128 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.07 교착최장   3 | step_limit
Ep 129 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.10 교착최장  10 | step_limit
Ep 130 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.15 교착최장   5 | step_limit
Ep 131 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.07 교착최장   5 | step_limit
Ep 132 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.05 교착최장   7 | step_limit
Ep 133 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.06 교착최장   8 | step_limit
Ep 134 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.08 교착최장   5 | step_limit
Ep 135 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.09 교착최장  14 | step_limit
Ep 136 |  1000스텝 | 배송 26/50 | 재적재  2 | 정지 0.10 교착최장   4 | step_limit
Ep 137 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.06 교착최장   5 | step_limit
Ep 138 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.06 교착최장   4 | step_limit
Ep 139 |  1000스텝 | 배송 19/50 | 재적재  1 | 정지 0.14 교착최장   8 | step_limit
Ep 140 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.12 교착최장  10 | step_limit
Ep 141 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.08 교착최장  10 | step_limit
Ep 142 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.08 교착최장   9 | step_limit
Ep 143 |  1000스텝 | 배송 20/50 | 재적재  1 | 정지 0.06 교착최장   4 | step_limit
Ep 144 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.09 교착최장  10 | step_limit
Ep 145 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.05 교착최장   4 | step_limit
Ep 146 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.13 교착최장  11 | step_limit
Ep 147 |  1000스텝 | 배송 23/50 | 재적재  4 | 정지 0.09 교착최장   7 | step_limit
Ep 148 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.15 교착최장  25 | step_limit
Ep 149 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.07 교착최장   7 | step_limit
Ep 150 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.04 교착최장   4 | step_limit
  [홀드아웃] 배송 9.7±10.3 재적재 0.8 2홉+ 0.24 | 최고 19.2@ep50 정체 2/15
Ep 151 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.06 교착최장   6 | step_limit
Ep 152 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.14 교착최장  14 | step_limit
Ep 153 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.06 교착최장   5 | step_limit
Ep 154 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.10 교착최장   3 | step_limit
Ep 155 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.12 교착최장   8 | step_limit
Ep 156 |  1000스텝 | 배송 20/50 | 재적재  1 | 정지 0.11 교착최장   5 | step_limit
Ep 157 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.07 교착최장   6 | step_limit
Ep 158 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.11 교착최장  16 | step_limit
Ep 159 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.05 교착최장   4 | step_limit
Ep 160 |  1000스텝 | 배송 18/50 | 재적재  1 | 정지 0.13 교착최장   9 | step_limit
Ep 161 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.07 교착최장   4 | step_limit
Ep 162 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.07 교착최장   8 | step_limit
Ep 163 |  1000스텝 | 배송 22/50 | 재적재  4 | 정지 0.08 교착최장  16 | step_limit
Ep 164 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.08 교착최장   8 | step_limit
