/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v1_26_08_25_04  relay_w=2.0
obs_dim=19, state_dim=66, total_act_dim=8
Ep 86 | Step 1000 | R   105.33 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1074 | 차단  857
Ep 87 | Step 1000 | R   155.14 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  919 | 차단 1345
Ep 88 | Step 1000 | R   175.68 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달 1049 | 차단  546
Ep 89 | Step 1000 | R   133.85 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달 1074 | 차단 1087
Ep 90 | Step 1000 | R   120.27 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달 1021 | 차단 1074
Ep 91 | Step 1000 | R   139.51 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달 1074 | 차단 1025
Ep 92 | Step 1000 | R   142.46 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1011 | 차단  946
Ep 93 | Step 1000 | R   179.07 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1074 | 차단  664
Ep 94 | Step 1000 | R   124.20 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1074 | 차단  296
Ep 95 | Step 1000 | R    99.53 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1046 | 차단  853
Ep 96 | Step 1000 | R   149.17 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1050 | 차단  603
Ep 97 | Step 1000 | R   131.56 | 배송 15/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.67 | 도달 1074 | 차단  296
Ep 98 | Step 1000 | R   158.97 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달 1074 | 차단  428
Ep 99 | Step 1000 | R   135.60 | 배송 15/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.68 | 도달 1065 | 차단  439
Ep 100 | Step 1000 | R   143.96 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1074 | 차단  729
Ep 101 | Step 1000 | R   123.44 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달 1025 | 차단  716
Ep 102 | Step 1000 | R   119.45 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1074 | 차단  679
Ep 103 | Step 1000 | R   159.06 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1074 | 차단  982
Ep 104 | Step 1000 | R   170.25 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1074 | 차단  524
Ep 105 | Step 1000 | R   147.56 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1074 | 차단  372
Ep 106 | Step 1000 | R    83.02 | 배송 11/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달  957 | 차단  453
Ep 107 | Step 1000 | R   152.93 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달  990 | 차단  338
Ep 108 | Step 1000 | R   180.19 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1015 | 차단  403
Ep 109 | Step 1000 | R   149.43 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달 1074 | 차단  634
Ep 110 | Step 1000 | R   168.52 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.61 | 도달 1074 | 차단  473
Ep 111 | Step 1000 | R   151.49 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1073 | 차단  604
Ep 112 | Step 1000 | R   156.91 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.46 | 도달 1055 | 차단  345
