episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
116,1000,176.8338,20,0.4,,0,5,5,0.0,0,531,0.6713,994.8,888,0,0.029234,1.567302,-27.042339,116000,944.6
117,1000,138.6191,17,0.34,,0,2,5,1.299,0,891,0.6913,988.0,916,0,0.029091,1.016485,-26.465858,117000,952.7
118,1000,182.4795,20,0.4,,0,5,5,0.0,0,166,0.6617,981.2,310,0,0.028486,1.02246,-26.493046,118000,961.1
119,1000,164.2542,19,0.38,,0,4,5,0.433,0,262,0.6835,1026.8,490,0,0.02825,1.136141,-25.88064,119000,970.0
120,1000,84.9704,12,0.24,,1,0,5,2.1213,0,1158,0.501,1009.1,341,0,0.028164,0.994353,-26.457066,120000,979.1
121,1000,177.3295,19,0.38,,0,4,5,0.433,0,618,0.6488,997.2,982,0,0.027762,1.142704,-25.099373,121000,988.0
122,1000,179.8948,20,0.4,,0,5,5,0.0,0,392,0.6707,1033.9,803,0,0.027301,1.267326,-24.402861,122000,996.6
123,1000,177.1361,20,0.4,,0,5,5,0.0,0,260,0.6837,980.0,809,0,0.027377,1.252566,-24.462355,123000,1004.7
124,1000,103.6589,14,0.28,,0,2,5,1.5,0,1039,0.6747,1073.5,494,0,0.026744,1.105855,-25.753382,124000,1013.1
125,1000,175.3899,19,0.38,,0,4,5,0.433,0,280,0.6815,995.4,974,0,0.02664,1.30063,-24.777515,125000,1021.3
126,1000,171.7524,20,0.4,,0,5,5,0.0,0,256,0.493,934.3,811,0,0.026251,0.948709,-24.346003,126000,1029.3
127,1000,152.8572,17,0.34,,0,2,5,1.299,0,663,0.6665,1035.7,722,0,0.026181,1.31461,-24.771267,127000,1037.6
128,1000,172.9495,19,0.38,,0,4,5,0.433,0,488,0.6498,1010.2,828,0,0.025989,1.057429,-25.115082,128000,1046.2
129,1000,158.0948,18,0.36,,0,3,5,0.866,0,620,0.5978,1034.8,531,0,0.025189,0.949803,-24.650185,129000,1054.9
130,1000,135.4796,16,0.32,,0,2,5,1.2247,0,743,0.6747,1069.7,708,0,0.025208,1.005703,-24.775337,130000,1063.0
131,1000,159.6046,18,0.36,,0,4,5,0.5,0,407,0.6955,1073.5,665,0,0.024747,1.043192,-24.251541,131000,1071.2
132,1000,185.6081,20,0.4,,0,5,5,0.0,0,198,0.555,964.9,702,0,0.024395,1.406939,-24.587234,132000,1079.5
133,1000,145.2751,16,0.32,,0,2,5,1.2247,0,82,0.5807,1073.5,574,0,0.023784,0.956912,-23.244514,133000,1087.5
134,1000,170.8159,20,0.4,,0,5,5,0.0,0,695,0.6743,991.4,550,0,0.023556,1.285803,-23.6416,134000,1095.7
135,1000,170.2304,18,0.36,,0,4,5,0.5,0,385,0.619,1008.7,654,0,0.023484,1.376453,-22.570362,135000,1104.0
136,1000,139.1438,17,0.34,,0,3,5,0.8292,0,1074,0.4848,1035.8,814,0,0.023093,1.231271,-23.524801,136000,1112.6
137,1000,158.8194,17,0.34,,0,3,5,0.8292,0,340,0.6777,1073.5,887,0,0.022721,1.053072,-23.267879,137000,1120.8
138,1000,166.118,20,0.4,,0,5,5,0.0,0,190,0.6565,1073.5,985,0,0.023079,0.768522,-22.074001,138000,1129.4
139,1000,160.7178,18,0.36,,0,3,5,0.866,0,280,0.6905,1008.6,635,0,0.02299,0.843861,-21.987873,139000,1137.6
140,1000,165.5808,18,0.36,,0,4,5,0.5,0,207,0.6208,971.4,924,0,0.022704,1.2483,-21.652315,140000,1145.8
141,1000,207.075,19,0.38,,0,4,5,0.433,1,661,0.5513,959.2,539,0,0.022962,1.347823,-22.365429,141000,1154.2
142,1000,179.7321,20,0.4,,0,5,5,0.0,0,345,0.54,956.7,545,0,0.022335,1.181331,-22.222717,142000,1162.2
143,1000,189.3205,20,0.4,,0,5,5,0.0,0,318,0.695,1073.5,305,0,0.021987,1.080124,-21.329647,143000,1170.2
144,1000,163.8962,19,0.38,,0,4,5,0.433,0,664,0.6655,950.7,860,0,0.022127,1.684158,-21.937759,144000,1178.2
145,1000,185.0739,20,0.4,,0,5,5,0.0,0,185,0.654,951.9,726,0,0.022784,1.513096,-21.146738,145000,1186.3
146,1000,167.2141,19,0.38,,0,4,5,0.433,0,1031,0.657,967.4,836,0,0.022407,1.544537,-22.765741,146000,1194.5
147,1000,159.5648,18,0.36,,0,3,5,0.866,0,446,0.5745,1073.5,708,0,0.022326,0.954687,-21.48243,147000,1202.7
148,1000,182.2724,20,0.4,,0,5,5,0.0,0,200,0.5833,903.9,651,0,0.022059,0.984827,-21.872849,148000,1210.8
149,1000,189.5325,20,0.4,,0,5,5,0.0,0,641,0.5577,955.3,721,0,0.021989,1.543994,-21.711647,149000,1219.1
150,1000,154.0156,18,0.36,,0,4,5,0.5,0,1035,0.686,1022.2,446,0,0.02168,1.278109,-18.746452,150000,1227.7
151,1000,138.064,16,0.32,,0,2,5,1.2247,0,749,0.6633,1042.1,896,0,0.021372,1.01009,-22.220249,151000,1236.5
152,1000,159.9366,17,0.34,,0,2,5,1.299,0,264,0.6925,967.7,627,0,0.021115,1.178206,-20.91316,152000,1245.0
153,1000,156.2934,18,0.36,,0,3,5,0.866,0,665,0.6785,1073.5,999,0,0.020943,1.013879,-21.266232,153000,1253.2
154,1000,173.2501,19,0.38,,0,4,5,0.433,0,286,0.3658,948.4,953,0,0.020875,0.97055,-20.168076,154000,1261.9
155,1000,119.2577,15,0.3,,0,1,5,1.6394,0,820,0.501,947.2,462,0,0.02108,1.323191,-21.281372,155000,1271.2
156,1000,186.3857,20,0.4,,0,5,5,0.0,0,256,0.6545,964.2,733,0,0.021365,0.88737,-21.432646,156000,1279.2
157,1000,171.846,19,0.38,,0,4,5,0.433,0,340,0.6783,1008.7,659,0,0.021185,0.98376,-19.994843,157000,1287.4
158,1000,158.5389,18,0.36,,0,3,5,0.866,0,455,0.652,983.2,556,0,0.02076,0.984786,-20.266102,158000,1295.8
159,1000,171.3859,20,0.4,,0,5,5,0.0,0,964,0.6055,992.4,667,0,0.020549,1.384996,-19.381947,159000,1304.0
160,1000,124.5932,14,0.28,,0,2,5,1.118,0,466,0.6085,808.5,411,0,0.020326,1.376627,-20.359486,160000,1312.5
161,1000,141.0145,16,0.32,,0,1,5,1.7321,0,465,0.6325,1073.5,706,0,0.020865,0.945542,-21.372698,161000,1321.1
162,1000,183.1979,20,0.4,,0,5,5,0.0,0,525,0.5615,982.3,912,0,0.020897,0.893046,-19.809502,162000,1329.0
163,1000,141.253,17,0.34,,0,3,5,0.8292,0,425,0.508,1011.5,689,0,0.020624,1.101041,-19.901636,163000,1337.0
164,1000,184.3968,20,0.4,,0,5,5,0.0,0,217,0.5853,915.1,897,0,0.020584,1.948,-19.02681,164000,1345.0
165,1000,175.6217,19,0.38,,0,4,5,0.433,0,447,0.5627,948.4,807,0,0.020774,1.061946,-20.221519,165000,1353.2
166,1000,121.6778,15,0.3,,1,0,5,2.1651,0,228,0.5985,1068.2,674,0,0.020669,0.841595,-20.22443,166000,1361.5
167,1000,193.1686,20,0.4,,0,5,5,0.0,0,267,0.6275,1020.2,943,0,0.020619,1.287517,-19.559458,167000,1370.0
168,1000,115.7473,14,0.28,,0,3,4,0.5,0,782,0.5373,880.0,659,0,0.020384,1.06263,-19.252193,168000,1378.6
169,1000,236.3406,23,0.46,,0,5,8,1.299,1,421,0.5393,945.3,1000,0,0.019909,1.003242,-20.411934,169000,1387.2
170,1000,139.4933,16,0.32,,0,3,5,1.0,0,484,0.606,911.7,286,0,0.019766,0.950181,-19.954216,170000,1395.9
171,1000,180.6288,20,0.4,,0,5,5,0.0,0,181,0.641,961.4,408,0,0.020095,1.249984,-19.317966,171000,1405.0
172,1000,155.4904,17,0.34,,0,2,5,1.299,0,171,0.6082,1002.0,692,0,0.020106,1.129249,-20.135334,172000,1413.1
173,1000,161.8733,17,0.34,,0,2,5,1.299,0,26,0.2655,782.2,696,0,0.020115,1.01461,-19.726311,173000,1421.0
174,1000,153.8401,17,0.34,,0,2,5,1.299,0,113,0.5753,955.6,668,0,0.020312,1.071074,-19.598484,174000,1429.3
175,1000,184.6019,20,0.4,,0,5,5,0.0,0,378,0.683,885.6,863,0,0.020533,1.018307,-19.654091,175000,1437.6
176,1000,154.6428,17,0.34,,0,3,5,0.8292,0,182,0.6753,956.6,867,0,0.020905,1.833987,-19.51059,176000,1446.2
177,1000,134.3017,15,0.3,,0,2,5,1.0897,0,212,0.404,964.6,877,0,0.02101,1.178399,-19.349661,177000,1454.3
178,1000,150.0716,16,0.32,,0,3,5,1.0,0,17,0.3857,820.5,991,0,0.021077,1.160824,-19.120205,178000,1462.3
179,1000,153.2159,16,0.32,,0,1,5,1.7321,0,172,0.4397,875.1,940,0,0.021226,0.925344,-19.200527,179000,1470.6
180,1000,161.7193,17,0.34,,0,2,5,1.299,0,81,0.391,954.6,875,0,0.021226,0.819837,-20.482645,180000,1478.6
181,1000,135.1344,15,0.3,,0,2,5,1.299,0,217,0.5557,905.6,541,0,0.02098,0.959791,-19.251469,181000,1486.5
182,1000,175.9595,19,0.38,,0,4,5,0.433,0,146,0.432,864.8,859,0,0.020948,1.22275,-20.733585,182000,1494.8
183,1000,192.6682,20,0.4,,0,5,5,0.0,0,252,0.4883,1032.0,825,0,0.020801,1.075386,-20.118214,183000,1503.2
184,1000,167.2649,19,0.38,,0,4,5,0.433,0,120,0.5795,956.8,436,0,0.020864,1.857875,-20.023661,184000,1511.2
185,1000,167.5946,18,0.36,,0,4,5,0.5,0,560,0.4405,832.3,478,0,0.021042,0.998981,-19.337799,185000,1519.7
186,1000,175.1232,19,0.38,,0,4,5,0.433,0,545,0.473,820.9,872,0,0.021088,1.259253,-19.3083,186000,1528.3
187,1000,182.1009,20,0.4,,0,5,5,0.0,0,19,0.5048,947.6,432,0,0.021166,1.152476,-19.319485,187000,1536.5
188,1000,192.9585,20,0.4,,0,5,5,0.0,0,43,0.3725,741.9,722,0,0.021094,1.234857,-19.345184,188000,1544.8
189,1000,171.7363,18,0.36,,0,4,5,0.5,0,91,0.444,836.2,551,0,0.021326,1.378635,-18.939217,189000,1553.1
190,1000,181.0014,20,0.4,,0,5,5,0.0,0,123,0.6565,909.5,488,0,0.02126,1.36325,-18.14064,190000,1561.3
191,1000,206.4756,18,0.36,,0,3,6,1.118,1,180,0.5343,979.0,986,0,0.021441,1.38528,-19.061016,191000,1570.1
192,1000,152.9553,19,0.38,,0,4,5,0.433,0,1089,0.5115,951.1,729,0,0.021249,1.244692,-19.035046,192000,1578.3
193,1000,121.1574,14,0.28,,0,1,5,1.5,0,942,0.63,956.4,872,0,0.021408,1.023755,-18.799519,193000,1586.5
194,1000,190.3345,19,0.38,,0,4,5,0.433,0,40,0.6432,778.6,851,0,0.021377,1.231987,-17.963161,194000,1594.5
195,1000,212.3754,20,0.4,,0,5,5,0.0,1,171,0.2868,785.9,532,0,0.021261,1.16786,-19.256664,195000,1603.6
196,1000,179.5179,20,0.4,,0,5,5,0.0,0,18,0.3895,889.9,723,0,0.021197,1.151181,-19.245445,196000,1612.5
197,1000,163.7118,18,0.36,,0,3,5,0.866,0,378,0.6028,876.0,410,0,0.021401,1.018158,-17.753654,197000,1620.6
198,1000,182.848,20,0.4,,0,5,5,0.0,0,77,0.6035,955.6,785,0,0.021496,1.230119,-17.633322,198000,1628.9
199,1000,218.5113,20,0.4,,0,5,5,0.0,1,91,0.5288,1026.3,627,0,0.021402,1.330315,-16.844189,199000,1637.3
