/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=2000 (초반 300ep까지 2000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 93 |  5916스텝 | 배송 44/50 | 재적재  7 | 정지 0.13 교착최장  21 | no_progress
Ep 94 |  6552스텝 | 배송 45/50 | 재적재  7 | 정지 0.16 교착최장  27 | no_progress
Ep 95 |  9951스텝 | 배송 46/50 | 재적재  8 | 정지 0.21 교착최장 100 | deadlock
Ep 96 |  6558스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장  15 | no_progress
Ep 97 |  6261스텝 | 배송 48/50 | 재적재  8 | 정지 0.15 교착최장  22 | no_progress
Ep 98 |  6408스텝 | 배송 43/50 | 재적재  5 | 정지 0.15 교착최장  15 | no_progress
Ep 99 |  7287스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  17 | no_progress
Ep 100 | 10000스텝 | 배송 42/50 | 재적재  8 | 정지 0.15 교착최장  11 | step_limit
  [홀드아웃] 배송 19.9±6.3 재적재 1.8 2홉+ 0.48 | 최고 19.9@ep100 정체 0/15  ← 갱신
Ep 101 |  7957스텝 | 배송 46/50 | 재적재  7 | 정지 0.18 교착최장  17 | no_progress
Ep 102 |  5869스텝 | 배송 38/50 | 재적재  6 | 정지 0.22 교착최장  38 | no_progress
Ep 103 |  6757스텝 | 배송 42/50 | 재적재  8 | 정지 0.17 교착최장  28 | no_progress
Ep 104 |  7868스텝 | 배송 45/50 | 재적재  7 | 정지 0.16 교착최장  15 | no_progress
Ep 105 |  7287스텝 | 배송 49/50 | 재적재  8 | 정지 0.14 교착최장  13 | no_progress
Ep 106 |  7294스텝 | 배송 44/50 | 재적재  7 | 정지 0.15 교착최장  15 | no_progress
Ep 107 |  6808스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장  16 | no_progress
Ep 108 |  6368스텝 | 배송 44/50 | 재적재  7 | 정지 0.10 교착최장  17 | no_progress
Ep 109 |  9808스텝 | 배송 44/50 | 재적재  8 | 정지 0.10 교착최장  11 | no_progress
