episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
259,1000,290.0,-2.082,27,,899,0,2,11,438,0.61,950.3,0,259000,5275.4
260,1000,290.0,-5.243,24,,978,0,3,11,788,0.5873,979.6,0,260000,5295.5
261,1000,160.0,-23.114,20,,916,0,0,6,1174,0.6843,898.3,0,261000,5316.1
262,1000,280.0,7.425,23,,1000,0,3,10,295,0.5383,772.8,0,262000,5336.1
263,1000,340.0,-5.614,29,,971,0,3,13,783,0.626,1054.7,0,263000,5356.5
264,1000,360.0,3.993,31,,957,0,3,14,537,0.605,802.6,0,264000,5376.1
265,1000,410.0,4.266,30,,974,0,5,17,569,0.5887,868.6,0,265000,5396.4
266,1000,270.0,8.325,22,,986,0,3,10,218,0.6312,706.2,0,266000,5416.0
267,1000,330.0,-0.034,25,,951,0,4,10,645,0.5755,968.5,0,267000,5435.4
268,1000,370.0,2.278,32,,944,0,3,16,610,0.5995,853.7,0,268000,5454.5
269,1000,300.0,2.354,25,,943,0,3,10,529,0.602,744.8,0,269000,5474.2
270,1000,390.0,-2.521,31,,964,0,4,12,781,0.63,803.2,0,270000,5494.5
271,1000,110.0,-51.487,15,,448,0,0,5,2151,0.6993,989.7,0,271000,5516.7
272,1000,310.0,4.022,26,,933,0,3,12,361,0.6025,737.3,0,272000,5536.2
273,1000,260.0,3.774,21,,933,0,3,11,574,0.571,737.9,0,273000,5556.1
274,1000,330.0,14.334,28,,984,0,3,18,370,0.6258,783.9,0,274000,5575.8
275,1000,390.0,9.838,31,,974,0,4,18,390,0.5805,864.0,0,275000,5595.4
276,1000,330.0,1.798,28,,940,0,3,14,433,0.6125,917.6,0,276000,5615.1
277,1000,380.0,5.875,30,,994,0,4,13,475,0.613,802.8,0,277000,5635.0
278,1000,260.0,16.3,24,,986,0,2,11,109,0.589,792.2,0,278000,5654.6
279,1000,420.0,16.345,34,,972,0,4,18,466,0.5827,954.3,0,279000,5674.5
280,1000,140.0,-41.985,18,,353,0,0,9,1847,0.6877,1016.8,0,280000,5696.1
281,1000,270.0,4.322,22,,735,0,3,10,347,0.5962,695.8,0,281000,5715.1
282,1000,310.0,5.71,26,,934,0,3,17,453,0.6215,693.7,0,282000,5734.3
283,1000,310.0,16.109,26,,993,0,3,16,353,0.5988,804.1,0,283000,5754.6
284,1000,390.0,14.329,28,,937,0,5,18,392,0.5935,864.5,0,284000,5773.7
285,1000,220.0,-8.426,23,,821,0,1,12,793,0.632,966.7,0,285000,5794.8
286,1000,300.0,11.477,25,,914,0,3,12,341,0.5695,730.6,0,286000,5814.5
287,1000,310.0,1.653,26,,683,0,3,11,613,0.6082,744.9,0,287000,5834.1
288,1000,370.0,3.824,29,,853,0,4,13,597,0.6388,845.8,0,288000,5853.9
