/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e2_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 164 | Step 1000 | R    52.56 | 배송  7/50 | 미활동 2 | 2홉+ 0.32 | 도달  664 | 차단  496
Ep 165 | Step 1000 | R   110.88 | 배송 13/50 | 미활동 1 | 2홉+ 0.30 | 도달  935 | 차단  348
Ep 166 | Step 1000 | R   103.56 | 배송 13/50 | 미활동 1 | 2홉+ 0.42 | 도달  976 | 차단  280
Ep 167 | Step 1000 | R    76.43 | 배송 11/50 | 미활동 0 | 2홉+ 0.42 | 도달  911 | 차단 1098
Ep 168 | Step 1000 | R   217.99 | 배송 19/50 | 미활동 1 | 2홉+ 0.18 | 도달  867 | 차단  119
Ep 169 | Step 1000 | R   104.55 | 배송 12/50 | 미활동 0 | 2홉+ 0.31 | 도달  730 | 차단  236
Ep 170 | Step 1000 | R   108.60 | 배송 12/50 | 미활동 0 | 2홉+ 0.28 | 도달  850 | 차단  134
Ep 171 | Step 1000 | R    59.87 | 배송  9/50 | 미활동 1 | 2홉+ 0.07 | 도달  725 | 차단    5
Ep 172 | Step 1000 | R    57.20 | 배송  9/50 | 미활동 2 | 2홉+ 0.30 | 도달  862 | 차단  317
Ep 173 | Step 1000 | R    85.06 | 배송 11/50 | 미활동 1 | 2홉+ 0.19 | 도달  900 | 차단   22
Ep 174 | Step 1000 | R    94.09 | 배송 12/50 | 미활동 1 | 2홉+ 0.46 | 도달 1074 | 차단  387
Ep 175 | Step 1000 | R   124.49 | 배송 14/50 | 미활동 1 | 2홉+ 0.33 | 도달  875 | 차단   85
Ep 176 | Step 1000 | R    74.84 | 배송 11/50 | 미활동 1 | 2홉+ 0.28 | 도달  884 | 차단  369
Ep 177 | Step 1000 | R    82.45 | 배송 10/50 | 미활동 1 | 2홉+ 0.36 | 도달  793 | 차단  180
Ep 178 | Step 1000 | R    92.04 | 배송 12/50 | 미활동 1 | 2홉+ 0.33 | 도달 1055 | 차단  355
Ep 179 | Step 1000 | R    78.01 | 배송 11/50 | 미활동 1 | 2홉+ 0.18 | 도달  686 | 차단    4
Ep 180 | Step 1000 | R   132.92 | 배송 15/50 | 미활동 0 | 2홉+ 0.22 | 도달  699 | 차단   67
Ep 181 | Step 1000 | R   110.80 | 배송 13/50 | 미활동 0 | 2홉+ 0.23 | 도달  793 | 차단  217
Ep 182 | Step 1000 | R    86.78 | 배송 10/50 | 미활동 2 | 2홉+ 0.23 | 도달  796 | 차단   40
Ep 183 | Step 1000 | R    84.15 | 배송 11/50 | 미활동 0 | 2홉+ 0.24 | 도달  809 | 차단  171
Ep 184 | Step 1000 | R   133.27 | 배송 15/50 | 미활동 1 | 2홉+ 0.34 | 도달  885 | 차단  164
Ep 185 | Step 1000 | R    97.35 | 배송 12/50 | 미활동 1 | 2홉+ 0.27 | 도달  983 | 차단  311
Ep 186 | Step 1000 | R   130.08 | 배송 12/50 | 미활동 1 | 2홉+ 0.31 | 도달  786 | 차단  378
Ep 187 | Step 1000 | R    76.89 | 배송 10/50 | 미활동 0 | 2홉+ 0.17 | 도달  797 | 차단  433
Ep 188 | Step 1000 | R   130.42 | 배송 15/50 | 미활동 1 | 2홉+ 0.37 | 도달  896 | 차단  615
Ep 189 | Step 1000 | R    67.18 | 배송  8/50 | 미활동 2 | 2홉+ 0.35 | 도달  772 | 차단    0
Ep 190 | Step 1000 | R    86.67 | 배송 11/50 | 미활동 1 | 2홉+ 0.41 | 도달  904 | 차단  350
