/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 102 | Step 1000 | R   137.56 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1050 | 차단  764
Ep 103 | Step 1000 | R    96.86 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  984 | 차단 1911
Ep 104 | Step 1000 | R   133.22 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1326
Ep 105 | Step 1000 | R   177.38 | 배송 20/50 | 미활동 0 | 2홉+ 0.72 | 도달  732 | 차단  895
Ep 106 | Step 1000 | R   104.84 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  831 | 차단 1713
Ep 107 | Step 1000 | R   160.43 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  969 | 차단 1095
Ep 108 | Step 1000 | R   151.63 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  885 | 차단 1060
Ep 109 | Step 1000 | R   114.57 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달 1018 | 차단 1542
Ep 110 | Step 1000 | R   144.48 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1057 | 차단 1103
Ep 111 | Step 1000 | R   143.77 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  803 | 차단 1252
Ep 112 | Step 1000 | R   142.51 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  872 | 차단 1420
Ep 113 | Step 1000 | R   111.54 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  925 | 차단 1108
Ep 114 | Step 1000 | R   113.14 | 배송 15/50 | 미활동 1 | 2홉+ 0.72 | 도달  853 | 차단 1582
Ep 115 | Step 1000 | R   119.56 | 배송 15/50 | 미활동 0 | 2홉+ 0.67 | 도달  896 | 차단 1345
Ep 116 | Step 1000 | R   160.50 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  934 | 차단  942
Ep 117 | Step 1000 | R   141.22 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  972 | 차단  925
Ep 118 | Step 1000 | R    93.63 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  854 | 차단 1369
Ep 119 | Step 1000 | R    99.28 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  967 | 차단 1757
Ep 120 | Step 1000 | R   118.71 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  917 | 차단 1550
Ep 121 | Step 1000 | R   141.46 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달  985 | 차단 1169
Ep 122 | Step 1000 | R   165.68 | 배송 19/50 | 미활동 0 | 2홉+ 0.73 | 도달 1016 | 차단  601
Ep 123 | Step 1000 | R   125.41 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  979 | 차단 1125
Ep 124 | Step 1000 | R   124.26 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  908 | 차단 1260
Ep 125 | Step 1000 | R   141.75 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  738 | 차단  227
Ep 126 | Step 1000 | R    66.17 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  767 | 차단 2018
Ep 127 | Step 1000 | R   114.88 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  850 | 차단 1995
Ep 128 | Step 1000 | R    89.20 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  687 | 차단 2724
Ep 129 | Step 1000 | R   115.05 | 배송 15/50 | 미활동 0 | 2홉+ 0.58 | 도달  852 | 차단 1443
