/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
  [홀드아웃] 배송 14.5±4.3 미활동 0.17 2홉+ 0.47 도달 893 | 최고 14.5@ep100 | 정체 0/15  ← 최고 갱신
Ep 101 | Step 1000 | R   137.14 | 배송 17/50 | 미활동 0 | 2홉+ 0.58 | 도달 1074 | 차단  743
Ep 102 | Step 1000 | R   177.34 | 배송 20/50 | 미활동 0 | 2홉+ 0.60 | 도달 1030 | 차단  176
Ep 103 | Step 1000 | R   125.45 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달 1049 | 차단  541
Ep 104 | Step 1000 | R   118.52 | 배송 15/50 | 미활동 1 | 2홉+ 0.59 | 도달 1074 | 차단  385
Ep 105 | Step 1000 | R   122.18 | 배송 14/50 | 미활동 0 | 2홉+ 0.61 | 도달 1007 | 차단  343
Ep 106 | Step 1000 | R   170.95 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달 1072 | 차단  532
Ep 107 | Step 1000 | R   121.33 | 배송 15/50 | 미활동 1 | 2홉+ 0.30 | 도달 1069 | 차단  350
Ep 108 | Step 1000 | R   122.78 | 배송 15/50 | 미활동 1 | 2홉+ 0.64 | 도달 1056 | 차단  586
Ep 109 | Step 1000 | R   143.65 | 배송 17/50 | 미활동 0 | 2홉+ 0.56 | 도달 1046 | 차단  477
Ep 110 | Step 1000 | R   144.49 | 배송 17/50 | 미활동 0 | 2홉+ 0.63 | 도달 1073 | 차단  489
Ep 111 | Step 1000 | R   143.71 | 배송 17/50 | 미활동 0 | 2홉+ 0.61 | 도달 1074 | 차단  509
Ep 112 | Step 1000 | R   133.35 | 배송 16/50 | 미활동 0 | 2홉+ 0.51 | 도달 1043 | 차단  582
Ep 113 | Step 1000 | R    59.73 | 배송 10/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단   76
Ep 114 | Step 1000 | R   122.29 | 배송 14/50 | 미활동 0 | 2홉+ 0.63 | 도달 1074 | 차단  279
Ep 115 | Step 1000 | R   117.91 | 배송 15/50 | 미활동 0 | 2홉+ 0.62 | 도달  970 | 차단 1129
Ep 116 | Step 1000 | R   175.13 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  390
Ep 117 | Step 1000 | R   172.90 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  333
Ep 118 | Step 1000 | R   161.27 | 배송 19/50 | 미활동 0 | 2홉+ 0.63 | 도달 1074 | 차단  408
Ep 119 | Step 1000 | R   150.59 | 배송 18/50 | 미활동 0 | 2홉+ 0.59 | 도달 1074 | 차단  597
Ep 120 | Step 1000 | R   165.61 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달 1070 | 차단  652
Ep 121 | Step 1000 | R   136.93 | 배송 18/50 | 미활동 0 | 2홉+ 0.56 | 도달 1064 | 차단 1146
Ep 122 | Step 1000 | R   180.32 | 배송 20/50 | 미활동 0 | 2홉+ 0.63 | 도달 1074 | 차단  330
Ep 123 | Step 1000 | R   120.38 | 배송 15/50 | 미활동 0 | 2홉+ 0.51 | 도달 1029 | 차단  385
Ep 124 | Step 1000 | R   130.96 | 배송 16/50 | 미활동 0 | 2홉+ 0.46 | 도달 1074 | 차단  463
Ep 125 | Step 1000 | R   110.45 | 배송 15/50 | 미활동 0 | 2홉+ 0.36 | 도달 1074 | 차단  720
Ep 126 | Step 1000 | R    95.27 | 배송 13/50 | 미활동 0 | 2홉+ 0.41 | 도달 1034 | 차단  510
Ep 127 | Step 1000 | R   121.28 | 배송 15/50 | 미활동 1 | 2홉+ 0.55 | 도달 1028 | 차단  830
Ep 128 | Step 1000 | R   119.83 | 배송 15/50 | 미활동 0 | 2홉+ 0.54 | 도달  988 | 차단  581
Ep 129 | Step 1000 | R   139.75 | 배송 16/50 | 미활동 0 | 2홉+ 0.48 | 도달  997 | 차단  258
Ep 130 | Step 1000 | R   159.20 | 배송 18/50 | 미활동 0 | 2홉+ 0.49 | 도달 1074 | 차단  675
Ep 131 | Step 1000 | R   103.20 | 배송 14/50 | 미활동 0 | 2홉+ 0.56 | 도달 1043 | 차단  716
Ep 132 | Step 1000 | R   115.81 | 배송 15/50 | 미활동 0 | 2홉+ 0.57 | 도달 1074 | 차단  105
Ep 133 | Step 1000 | R   164.41 | 배송 19/50 | 미활동 0 | 2홉+ 0.54 | 도달 1041 | 차단  479
Ep 134 | Step 1000 | R   168.17 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달  993 | 차단  637
Ep 135 | Step 1000 | R    73.72 | 배송 11/50 | 미활동 1 | 2홉+ 0.42 | 도달  988 | 차단 1222
Ep 136 | Step 1000 | R   145.42 | 배송 16/50 | 미활동 0 | 2홉+ 0.62 | 도달 1011 | 차단    6
Ep 137 | Step 1000 | R   173.88 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달 1044 | 차단  637
Ep 138 | Step 1000 | R   185.68 | 배송 20/50 | 미활동 0 | 2홉+ 0.28 | 도달  762 | 차단  498
Ep 139 | Step 1000 | R    82.30 | 배송 11/50 | 미활동 1 | 2홉+ 0.55 | 도달  835 | 차단 1550
Ep 140 | Step 1000 | R   129.87 | 배송 16/50 | 미활동 0 | 2홉+ 0.45 | 도달  925 | 차단  748
Ep 141 | Step 1000 | R   161.06 | 배송 19/50 | 미활동 0 | 2홉+ 0.48 | 도달  962 | 차단  858
Ep 142 | Step 1000 | R   145.97 | 배송 17/50 | 미활동 0 | 2홉+ 0.48 | 도달  997 | 차단  830
Ep 143 | Step 1000 | R   174.38 | 배송 19/50 | 미활동 0 | 2홉+ 0.44 | 도달  972 | 차단  232
Ep 144 | Step 1000 | R   129.42 | 배송 16/50 | 미활동 0 | 2홉+ 0.55 | 도달 1033 | 차단  147
Ep 145 | Step 1000 | R   136.07 | 배송 15/50 | 미활동 0 | 2홉+ 0.57 | 도달 1038 | 차단  521
Ep 146 | Step 1000 | R   170.73 | 배송 17/50 | 미활동 0 | 2홉+ 0.48 | 도달 1024 | 차단  565
Ep 147 | Step 1000 | R   155.66 | 배송 18/50 | 미활동 0 | 2홉+ 0.50 | 도달 1074 | 차단  532
Ep 148 | Step 1000 | R   148.81 | 배송 17/50 | 미활동 0 | 2홉+ 0.55 | 도달 1074 | 차단  143
Ep 149 | Step 1000 | R   114.67 | 배송 14/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단  341
Ep 150 | Step 1000 | R   152.01 | 배송 18/50 | 미활동 0 | 2홉+ 0.48 | 도달  987 | 차단 1243
  [홀드아웃] 배송 14.2±4.8 미활동 0.33 2홉+ 0.51 도달 837 | 최고 14.5@ep100 | 정체 1/15
Ep 151 | Step 1000 | R   165.64 | 배송 19/50 | 미활동 0 | 2홉+ 0.58 | 도달 1074 | 차단  247
Ep 152 | Step 1000 | R   113.95 | 배송 15/50 | 미활동 0 | 2홉+ 0.57 | 도달  984 | 차단  937
Ep 153 | Step 1000 | R   151.56 | 배송 20/50 | 미활동 0 | 2홉+ 0.65 | 도달 1066 | 차단  581
Ep 154 | Step 1000 | R   129.47 | 배송 15/50 | 미활동 0 | 2홉+ 0.45 | 도달 1005 | 차단  436
Ep 155 | Step 1000 | R   150.97 | 배송 18/50 | 미활동 0 | 2홉+ 0.52 | 도달 1074 | 차단   92
Ep 156 | Step 1000 | R   119.91 | 배송 15/50 | 미활동 0 | 2홉+ 0.38 | 도달 1074 | 차단  481
Ep 157 | Step 1000 | R   136.72 | 배송 16/50 | 미활동 0 | 2홉+ 0.46 | 도달 1017 | 차단  995
Ep 158 | Step 1000 | R   139.78 | 배송 17/50 | 미활동 0 | 2홉+ 0.52 | 도달  998 | 차단  836
Ep 159 | Step 1000 | R    67.79 | 배송 10/50 | 미활동 1 | 2홉+ 0.58 | 도달 1015 | 차단 1020
Ep 160 | Step 1000 | R   136.93 | 배송 17/50 | 미활동 0 | 2홉+ 0.62 | 도달  984 | 차단 1110
Ep 161 | Step 1000 | R   175.55 | 배송 20/50 | 미활동 0 | 2홉+ 0.47 | 도달  981 | 차단   74
Ep 162 | Step 1000 | R   217.69 | 배송 20/50 | 미활동 0 | 2홉+ 0.56 | 도달  992 | 차단  470
Ep 163 | Step 1000 | R   159.81 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달 1017 | 차단  901
Ep 164 | Step 1000 | R     2.93 | 배송  8/50 | 미활동 0 | 2홉+ 0.47 | 도달  723 | 차단 2110
Ep 165 | Step 1000 | R   173.32 | 배송 17/50 | 미활동 0 | 2홉+ 0.47 | 도달 1066 | 차단 1112
Ep 166 | Step 1000 | R   171.75 | 배송 19/50 | 미활동 0 | 2홉+ 0.57 | 도달 1068 | 차단   80
Ep 167 | Step 1000 | R   129.45 | 배송 15/50 | 미활동 0 | 2홉+ 0.38 | 도달  960 | 차단  443
Ep 168 | Step 1000 | R   113.36 | 배송 14/50 | 미활동 0 | 2홉+ 0.58 | 도달 1023 | 차단  483
Ep 169 | Step 1000 | R   172.28 | 배송 20/50 | 미활동 0 | 2홉+ 0.59 | 도달 1071 | 차단  888
Ep 170 | Step 1000 | R   131.67 | 배송 16/50 | 미활동 0 | 2홉+ 0.45 | 도달  928 | 차단  722
Ep 171 | Step 1000 | R   119.97 | 배송 14/50 | 미활동 1 | 2홉+ 0.33 | 도달  936 | 차단  375
Ep 172 | Step 1000 | R   107.82 | 배송 13/50 | 미활동 0 | 2홉+ 0.58 | 도달 1037 | 차단  797
Ep 173 | Step 1000 | R   166.03 | 배송 19/50 | 미활동 0 | 2홉+ 0.45 | 도달  919 | 차단   11
Ep 174 | Step 1000 | R   137.12 | 배송 17/50 | 미활동 0 | 2홉+ 0.58 | 도달 1065 | 차단  510
Ep 175 | Step 1000 | R   138.05 | 배송 16/50 | 미활동 0 | 2홉+ 0.25 | 도달  799 | 차단  279
Ep 176 | Step 1000 | R    92.82 | 배송 13/50 | 미활동 0 | 2홉+ 0.47 | 도달  988 | 차단 1125
Ep 177 | Step 1000 | R   132.06 | 배송 15/50 | 미활동 1 | 2홉+ 0.46 | 도달  909 | 차단  356
Ep 178 | Step 1000 | R   107.93 | 배송 14/50 | 미활동 0 | 2홉+ 0.29 | 도달  759 | 차단    0
Ep 179 | Step 1000 | R   163.38 | 배송 19/50 | 미활동 0 | 2홉+ 0.34 | 도달  982 | 차단  630
Ep 180 | Step 1000 | R   131.97 | 배송 15/50 | 미활동 1 | 2홉+ 0.44 | 도달  764 | 차단  845
Ep 181 | Step 1000 | R    69.48 | 배송 10/50 | 미활동 0 | 2홉+ 0.28 | 도달  750 | 차단  217
Ep 182 | Step 1000 | R   125.38 | 배송 15/50 | 미활동 0 | 2홉+ 0.37 | 도달 1074 | 차단   50
Ep 183 | Step 1000 | R   162.87 | 배송 18/50 | 미활동 0 | 2홉+ 0.54 | 도달  991 | 차단  129
Ep 184 | Step 1000 | R   136.75 | 배송 17/50 | 미활동 0 | 2홉+ 0.42 | 도달 1074 | 차단  423
Ep 185 | Step 1000 | R   135.54 | 배송 16/50 | 미활동 0 | 2홉+ 0.62 | 도달 1028 | 차단  392
Ep 186 | Step 1000 | R   108.60 | 배송 14/50 | 미활동 0 | 2홉+ 0.41 | 도달 1063 | 차단  361
Ep 187 | Step 1000 | R   155.87 | 배송 18/50 | 미활동 0 | 2홉+ 0.35 | 도달  869 | 차단   28
Ep 188 | Step 1000 | R   113.71 | 배송 14/50 | 미활동 0 | 2홉+ 0.25 | 도달  831 | 차단  126
Ep 189 | Step 1000 | R   208.15 | 배송 20/50 | 미활동 0 | 2홉+ 0.44 | 도달 1074 | 차단  191
