/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 110 |  3520스텝 | 배송 36/50 | 재적재  6 | 정지 0.29 교착최장  56 | no_progress
Ep 111 |  4205스텝 | 배송 41/50 | 재적재  6 | 정지 0.22 교착최장  10 | no_progress
Ep 112 |  3087스텝 | 배송 44/50 | 재적재  6 | 정지 0.22 교착최장  10 | no_progress
Ep 113 |  3859스텝 | 배송 45/50 | 재적재  8 | 정지 0.26 교착최장  30 | no_progress
Ep 114 |  3620스텝 | 배송 42/50 | 재적재  7 | 정지 0.24 교착최장  20 | no_progress
Ep 115 |  3369스텝 | 배송 41/50 | 재적재  8 | 정지 0.22 교착최장  32 | no_progress
Ep 116 |  3356스텝 | 배송 40/50 | 재적재  6 | 정지 0.21 교착최장  18 | no_progress
Ep 117 |  3522스텝 | 배송 41/50 | 재적재  7 | 정지 0.19 교착최장  10 | no_progress
Ep 118 |  4778스텝 | 배송 43/50 | 재적재  7 | 정지 0.22 교착최장  32 | no_progress
Ep 119 |  3199스텝 | 배송 41/50 | 재적재  6 | 정지 0.23 교착최장  15 | no_progress
Ep 120 |  4640스텝 | 배송 44/50 | 재적재  6 | 정지 0.29 교착최장  33 | no_progress
Ep 121 |  3100스텝 | 배송 40/50 | 재적재  8 | 정지 0.22 교착최장  44 | no_progress
Ep 122 |  4518스텝 | 배송 40/50 | 재적재  7 | 정지 0.21 교착최장  24 | no_progress
Ep 123 |  3453스텝 | 배송 40/50 | 재적재  7 | 정지 0.19 교착최장  16 | no_progress
Ep 124 |  3596스텝 | 배송 44/50 | 재적재  6 | 정지 0.29 교착최장  19 | no_progress
Ep 125 |  3121스텝 | 배송 39/50 | 재적재  6 | 정지 0.23 교착최장  17 | no_progress
Ep 126 |  3666스텝 | 배송 37/50 | 재적재  6 | 정지 0.20 교착최장  10 | no_progress
Ep 127 |  3230스텝 | 배송 38/50 | 재적재  6 | 정지 0.20 교착최장  10 | no_progress
Ep 128 |  3314스텝 | 배송 41/50 | 재적재  7 | 정지 0.16 교착최장  21 | no_progress
Ep 129 |  4426스텝 | 배송 44/50 | 재적재  7 | 정지 0.30 교착최장  35 | no_progress
Ep 130 |  3961스텝 | 배송 39/50 | 재적재  6 | 정지 0.26 교착최장  37 | no_progress
Ep 131 |  2123스텝 | 배송 31/50 | 재적재  4 | 정지 0.07 교착최장   5 | no_progress
Ep 132 |  4585스텝 | 배송 42/50 | 재적재  6 | 정지 0.24 교착최장  15 | no_progress
Ep 133 |  2747스텝 | 배송 41/50 | 재적재  6 | 정지 0.20 교착최장  16 | no_progress
Ep 134 |  2377스텝 | 배송 36/50 | 재적재  5 | 정지 0.14 교착최장   6 | no_progress
Ep 135 |  3245스텝 | 배송 38/50 | 재적재  6 | 정지 0.20 교착최장  12 | no_progress
Ep 136 |  5678스텝 | 배송 44/50 | 재적재  8 | 정지 0.22 교착최장  19 | no_progress
Ep 137 |  3758스텝 | 배송 40/50 | 재적재  6 | 정지 0.20 교착최장  31 | no_progress
Ep 138 |  3598스텝 | 배송 42/50 | 재적재  6 | 정지 0.19 교착최장  23 | no_progress
Ep 139 |  3001스텝 | 배송 39/50 | 재적재  7 | 정지 0.17 교착최장  10 | no_progress
Ep 140 |  2904스텝 | 배송 39/50 | 재적재  6 | 정지 0.21 교착최장  25 | no_progress
Ep 141 |  3780스텝 | 배송 42/50 | 재적재  6 | 정지 0.22 교착최장  50 | no_progress
Ep 142 |  3904스텝 | 배송 45/50 | 재적재  7 | 정지 0.18 교착최장  11 | no_progress
Ep 143 |  3654스텝 | 배송 36/50 | 재적재  5 | 정지 0.25 교착최장  22 | no_progress
Ep 144 |  5065스텝 | 배송 45/50 | 재적재  8 | 정지 0.22 교착최장  40 | no_progress
Ep 145 |  2933스텝 | 배송 41/50 | 재적재  6 | 정지 0.22 교착최장  23 | no_progress
Ep 146 |  3925스텝 | 배송 40/50 | 재적재  6 | 정지 0.26 교착최장  25 | no_progress
Ep 147 |  3998스텝 | 배송 39/50 | 재적재  7 | 정지 0.23 교착최장  29 | no_progress
Ep 148 |  4102스텝 | 배송 40/50 | 재적재  5 | 정지 0.19 교착최장  14 | no_progress
Ep 149 |  2995스텝 | 배송 33/50 | 재적재  5 | 정지 0.23 교착최장  18 | no_progress
Ep 150 |  6173스텝 | 배송 45/50 | 재적재  7 | 정지 0.22 교착최장  20 | no_progress
  [홀드아웃] 배송 22.8±7.9 재적재 2.2 2홉+ 0.62 | 최고 25.2@ep50 정체 2/15
Ep 151 |  3843스텝 | 배송 39/50 | 재적재  7 | 정지 0.20 교착최장  14 | no_progress
Ep 152 |  4136스텝 | 배송 42/50 | 재적재  7 | 정지 0.31 교착최장  41 | no_progress
Ep 153 |  4087스텝 | 배송 40/50 | 재적재  6 | 정지 0.20 교착최장  19 | no_progress
Ep 154 |  3182스텝 | 배송 43/50 | 재적재  8 | 정지 0.26 교착최장 100 | deadlock
Ep 155 |  4396스텝 | 배송 43/50 | 재적재  7 | 정지 0.29 교착최장  37 | no_progress
Ep 156 |  3530스텝 | 배송 43/50 | 재적재  6 | 정지 0.18 교착최장  10 | no_progress
Ep 157 |  3080스텝 | 배송 41/50 | 재적재  6 | 정지 0.21 교착최장  21 | no_progress
Ep 158 |  3416스텝 | 배송 37/50 | 재적재  7 | 정지 0.23 교착최장  86 | no_progress
Ep 159 |  2936스텝 | 배송 40/50 | 재적재  7 | 정지 0.21 교착최장  16 | no_progress
Ep 160 |  2606스텝 | 배송 35/50 | 재적재  5 | 정지 0.18 교착최장  35 | no_progress
Ep 161 |  3461스텝 | 배송 39/50 | 재적재  6 | 정지 0.23 교착최장  11 | no_progress
Ep 162 |  5259스텝 | 배송 45/50 | 재적재  8 | 정지 0.23 교착최장 100 | deadlock
Ep 163 |  3400스텝 | 배송 41/50 | 재적재  7 | 정지 0.24 교착최장  31 | no_progress
Ep 164 |  3274스텝 | 배송 40/50 | 재적재  5 | 정지 0.17 교착최장  14 | no_progress
Ep 165 |  4420스텝 | 배송 39/50 | 재적재  5 | 정지 0.15 교착최장  26 | no_progress
Ep 166 |  3635스텝 | 배송 42/50 | 재적재  7 | 정지 0.16 교착최장  14 | no_progress
Ep 167 |  3366스텝 | 배송 41/50 | 재적재  6 | 정지 0.27 교착최장  16 | no_progress
Ep 168 |  4888스텝 | 배송 43/50 | 재적재  6 | 정지 0.19 교착최장  15 | no_progress
Ep 169 |  3946스텝 | 배송 40/50 | 재적재  6 | 정지 0.25 교착최장  25 | no_progress
Ep 170 |  4018스텝 | 배송 42/50 | 재적재  7 | 정지 0.22 교착최장  49 | no_progress
Ep 171 |  4833스텝 | 배송 42/50 | 재적재  6 | 정지 0.25 교착최장  41 | no_progress
Ep 172 |  2900스텝 | 배송 35/50 | 재적재  6 | 정지 0.19 교착최장  28 | no_progress
Ep 173 |  3443스텝 | 배송 36/50 | 재적재  6 | 정지 0.18 교착최장  17 | no_progress
Ep 174 |  1609스텝 | 배송 25/50 | 재적재  1 | 정지 0.20 교착최장  23 | no_progress
Ep 175 |  3040스텝 | 배송 39/50 | 재적재  6 | 정지 0.16 교착최장  10 | no_progress
Ep 176 |  3391스텝 | 배송 41/50 | 재적재  7 | 정지 0.19 교착최장  17 | no_progress
Ep 177 |  3295스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  10 | no_progress
Ep 178 |  4826스텝 | 배송 42/50 | 재적재  6 | 정지 0.25 교착최장  47 | no_progress
Ep 179 |  4248스텝 | 배송 40/50 | 재적재  7 | 정지 0.31 교착최장  63 | no_progress
Ep 180 |  4141스텝 | 배송 40/50 | 재적재  6 | 정지 0.21 교착최장  16 | no_progress
Ep 181 |  3468스텝 | 배송 40/50 | 재적재  6 | 정지 0.23 교착최장  21 | no_progress
Ep 182 |  1557스텝 | 배송 20/50 | 재적재  0 | 정지 0.15 교착최장  15 | no_progress
Ep 183 |  3955스텝 | 배송 40/50 | 재적재  6 | 정지 0.18 교착최장  10 | no_progress
Ep 184 |  3490스텝 | 배송 38/50 | 재적재  6 | 정지 0.15 교착최장  13 | no_progress
Ep 185 |  3271스텝 | 배송 39/50 | 재적재  6 | 정지 0.22 교착최장  14 | no_progress
Ep 186 |  3543스텝 | 배송 40/50 | 재적재  6 | 정지 0.20 교착최장  18 | no_progress
Ep 187 |  3880스텝 | 배송 40/50 | 재적재  5 | 정지 0.13 교착최장   7 | no_progress
Ep 188 |  4481스텝 | 배송 41/50 | 재적재  6 | 정지 0.27 교착최장  36 | no_progress
Ep 189 |  4082스텝 | 배송 45/50 | 재적재  8 | 정지 0.31 교착최장  73 | no_progress
Ep 190 |  3061스텝 | 배송 39/50 | 재적재  6 | 정지 0.20 교착최장  11 | no_progress
Ep 191 |  4498스텝 | 배송 42/50 | 재적재  7 | 정지 0.18 교착최장  38 | no_progress
Ep 192 |  2983스텝 | 배송 38/50 | 재적재  5 | 정지 0.16 교착최장   7 | no_progress
Ep 193 |  4275스텝 | 배송 39/50 | 재적재  7 | 정지 0.28 교착최장  28 | no_progress
Ep 194 |  7708스텝 | 배송 45/50 | 재적재  8 | 정지 0.26 교착최장  22 | no_progress
Ep 195 |  3305스텝 | 배송 37/50 | 재적재  5 | 정지 0.15 교착최장   9 | no_progress
Ep 196 |  2742스텝 | 배송 37/50 | 재적재  6 | 정지 0.17 교착최장  10 | no_progress
Ep 197 |  5374스텝 | 배송 45/50 | 재적재  7 | 정지 0.26 교착최장  65 | no_progress
Ep 198 |  3852스텝 | 배송 40/50 | 재적재  5 | 정지 0.31 교착최장  27 | no_progress
Ep 199 |  2532스텝 | 배송 33/50 | 재적재  5 | 정지 0.21 교착최장  15 | no_progress
Ep 200 |  4050스텝 | 배송 41/50 | 재적재  7 | 정지 0.30 교착최장  27 | no_progress
  [홀드아웃] 배송 24.3±7.2 재적재 2.2 2홉+ 0.62 | 최고 25.2@ep50 정체 3/15
Ep 201 |  2414스텝 | 배송 37/50 | 재적재  6 | 정지 0.15 교착최장  14 | no_progress
Ep 202 |  2830스텝 | 배송 39/50 | 재적재  6 | 정지 0.20 교착최장  13 | no_progress
Ep 203 |  2684스텝 | 배송 39/50 | 재적재  7 | 정지 0.25 교착최장  18 | no_progress
Ep 204 |  5420스텝 | 배송 40/50 | 재적재  6 | 정지 0.29 교착최장 100 | deadlock
Ep 205 |  4421스텝 | 배송 42/50 | 재적재  6 | 정지 0.20 교착최장  14 | no_progress
Ep 206 |  4129스텝 | 배송 41/50 | 재적재  7 | 정지 0.21 교착최장  12 | no_progress
Ep 207 |  3317스텝 | 배송 37/50 | 재적재  5 | 정지 0.19 교착최장  19 | no_progress
Ep 208 |  4828스텝 | 배송 45/50 | 재적재  8 | 정지 0.33 교착최장  93 | no_progress
Ep 209 |  3530스텝 | 배송 44/50 | 재적재  7 | 정지 0.22 교착최장  41 | no_progress
Ep 210 |  4579스텝 | 배송 41/50 | 재적재  6 | 정지 0.21 교착최장  38 | no_progress
Ep 211 |  5504스텝 | 배송 43/50 | 재적재  8 | 정지 0.29 교착최장  45 | no_progress
Ep 212 |  2472스텝 | 배송 35/50 | 재적재  5 | 정지 0.32 교착최장  34 | no_progress
Ep 213 |  2583스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장  10 | no_progress
Ep 214 |  4135스텝 | 배송 42/50 | 재적재  7 | 정지 0.24 교착최장  93 | no_progress
Ep 215 |  3654스텝 | 배송 42/50 | 재적재  7 | 정지 0.21 교착최장  13 | no_progress
Ep 216 |  3801스텝 | 배송 42/50 | 재적재  7 | 정지 0.21 교착최장  33 | no_progress
