episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
201,1000,220.5936,21,0.42,,0,4,7,1.0897,1,337,0,0.013864,0.82628,-11.961529,201000,1180.0
202,1000,51.535,14,0.28,,0,1,5,1.6583,0,2524,0,0.013827,0.442354,-13.158653,202000,1186.4
203,1000,114.7968,16,0.32,,0,1,5,1.7321,0,998,0,0.014111,0.776767,-10.532694,203000,1192.5
204,1000,134.3109,16,0.32,,0,3,5,1.0,0,0,0,0.014033,0.983122,-14.248105,204000,1198.6
205,1000,221.3559,20,0.4,,0,5,5,0.0,1,266,0,0.013843,0.397657,-11.985801,205000,1204.7
206,1000,138.7804,17,0.34,,0,2,5,1.299,0,227,0,0.013846,0.363264,-12.061501,206000,1210.9
207,1000,158.7427,19,0.38,,0,4,5,0.433,0,477,0,0.013861,0.466792,-11.982982,207000,1217.1
208,1000,177.2946,19,0.38,,0,4,5,0.433,0,150,0,0.013685,0.421762,-12.346476,208000,1223.2
209,1000,195.2373,19,0.38,,0,1,8,2.4875,1,631,0,0.013704,0.469664,-11.441769,209000,1229.4
210,1000,83.0775,11,0.22,,1,0,5,1.9203,0,530,0,0.013845,0.82564,-11.815635,210000,1235.6
211,1000,143.9881,17,0.34,,0,2,5,1.299,0,318,0,0.013822,0.506126,-12.025225,211000,1241.9
212,1000,169.8856,19,0.38,,0,4,5,0.433,0,241,0,0.013821,0.814288,-11.427319,212000,1248.0
213,1000,118.1384,14,0.28,,0,2,5,1.118,0,281,0,0.013834,0.415456,-12.235798,213000,1254.2
214,1000,123.6436,16,0.32,,0,1,5,1.7321,0,1017,0,0.014042,0.708708,-13.205078,214000,1260.3
215,1000,144.1555,17,0.34,,0,2,5,1.299,0,320,0,0.014034,0.644205,-12.291764,215000,1266.4
216,1000,139.2374,17,0.34,,0,2,5,1.299,0,302,0,0.014005,0.496505,-12.041038,216000,1272.7
217,1000,173.5312,20,0.4,,0,5,5,0.0,0,161,0,0.014254,0.920842,-12.05689,217000,1278.8
218,1000,157.9488,18,0.36,,0,3,5,0.866,0,261,0,0.014204,0.807148,-11.99439,218000,1285.0
219,1000,154.1664,17,0.34,,0,3,5,0.8292,0,153,0,0.01421,0.489569,-11.399184,219000,1291.1
220,1000,150.885,17,0.34,,0,2,5,1.299,0,270,0,0.014294,0.355747,-12.584194,220000,1297.2
221,1000,125.2495,17,0.34,,0,3,5,0.8292,0,1127,0,0.014194,0.67316,-11.33824,221000,1303.4
222,1000,97.0788,12,0.24,,0,1,5,1.4142,0,322,0,0.014172,1.255779,-12.634002,222000,1309.6
223,1000,162.8593,18,0.36,,0,3,5,0.866,0,49,0,0.014241,0.806397,-11.834406,223000,1315.8
224,1000,127.2642,16,0.32,,0,2,5,1.2247,0,326,0,0.014223,0.601051,-12.267262,224000,1321.9
225,1000,104.721,14,0.28,,0,1,5,1.6583,0,731,0,0.01437,0.539643,-11.887136,225000,1328.3
226,1000,104.5796,15,0.3,,0,2,5,1.0897,0,1077,0,0.014311,0.529626,-11.180487,226000,1334.6
227,1000,130.8831,16,0.32,,0,1,5,1.7321,0,544,0,0.01432,0.88225,-11.487019,227000,1340.9
228,1000,169.7836,19,0.38,,0,4,5,0.433,0,110,0,0.014186,0.639205,-11.323051,228000,1347.3
229,1000,155.2918,18,0.36,,0,4,5,0.5,0,105,0,0.014148,0.905513,-10.577552,229000,1353.5
230,1000,166.5288,18,0.36,,0,3,5,0.866,0,214,0,0.014336,0.741711,-10.759886,230000,1359.7
231,1000,155.0763,17,0.34,,0,4,5,0.433,0,223,0,0.01401,0.500636,-11.246695,231000,1365.9
232,1000,147.8648,17,0.34,,0,3,5,0.8292,0,240,0,0.013986,0.540527,-9.740857,232000,1372.2
233,1000,153.3125,17,0.34,,0,2,5,1.299,0,61,0,0.013828,0.686876,-10.193184,233000,1378.2
234,1000,202.8124,16,0.32,,0,1,5,1.7321,2,368,0,0.013396,0.493816,-11.023333,234000,1384.0
235,1000,155.215,18,0.36,,0,3,5,0.866,0,300,0,0.012872,0.697757,-10.769854,235000,1389.9
236,1000,146.6891,17,0.34,,0,2,5,1.299,0,372,0,0.012878,0.263168,-9.57467,236000,1396.1
237,1000,134.5964,15,0.3,,0,1,5,1.6394,0,343,0,0.012761,0.753503,-10.042666,237000,1402.1
238,1000,225.4495,21,0.42,,0,1,10,3.1918,1,315,0,0.012839,0.49324,-11.162477,238000,1408.2
239,1000,128.1096,18,0.36,,0,3,5,0.866,0,1016,0,0.012546,0.460922,-10.001538,239000,1414.3
240,1000,116.2125,14,0.28,,1,0,5,2.0616,0,201,0,0.012773,0.30083,-8.923567,240000,1420.4
241,1000,53.2575,12,0.24,,0,1,5,1.5811,0,88,0,0.012886,0.517677,-9.627568,241000,1426.5
