/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda
obs_dim=19, state_dim=66, total_act_dim=8
Ep 80 | Step 1000 | R   128.78 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단    0 | 단절 0
Ep 81 | Step 1000 | R   127.56 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단   14 | 단절 0
Ep 82 | Step 1000 | R   135.43 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  320 | 단절 0
Ep 83 | Step 1000 | R    88.60 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 이동차단  742 | 단절 0
Ep 84 | Step 1000 | R   108.77 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  949 | 단절 0
Ep 85 | Step 1000 | R   272.78 | 배송 23/50 | 미활동드론 0 | 재적재 2 | 이동차단   26 | 단절 0
Ep 86 | Step 1000 | R   147.83 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  267 | 단절 0
Ep 87 | Step 1000 | R   153.67 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  157 | 단절 0
Ep 88 | Step 1000 | R   146.33 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  432 | 단절 0
Ep 89 | Step 1000 | R   149.78 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  805 | 단절 0
Ep 90 | Step 1000 | R   140.89 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  355 | 단절 0
Ep 91 | Step 1000 | R   116.64 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  768 | 단절 0
Ep 92 | Step 1000 | R   120.84 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  348 | 단절 0
Ep 93 | Step 1000 | R    86.42 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단 1830 | 단절 0
Ep 94 | Step 1000 | R    99.50 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1161 | 단절 0
Ep 95 | Step 1000 | R   115.41 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  975 | 단절 0
Ep 96 | Step 1000 | R   168.14 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  279 | 단절 0
Ep 97 | Step 1000 | R   132.96 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  281 | 단절 0
Ep 98 | Step 1000 | R   135.61 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  292 | 단절 0
Ep 99 | Step 1000 | R   135.08 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  636 | 단절 0
Ep 100 | Step 1000 | R   152.09 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  169 | 단절 0
Ep 101 | Step 1000 | R   156.02 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  301 | 단절 0
Ep 102 | Step 1000 | R   123.28 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  787 | 단절 0
Ep 103 | Step 1000 | R   148.29 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  729 | 단절 0
Ep 104 | Step 1000 | R   147.95 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  230 | 단절 0
Ep 105 | Step 1000 | R   155.15 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  409 | 단절 0
Ep 106 | Step 1000 | R   210.40 | 배송 22/50 | 미활동드론 0 | 재적재 1 | 이동차단  245 | 단절 0
Ep 107 | Step 1000 | R   115.01 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  954 | 단절 0
Ep 108 | Step 1000 | R   134.61 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  573 | 단절 0
Ep 109 | Step 1000 | R    85.39 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1137 | 단절 0
Ep 110 | Step 1000 | R   127.47 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  568 | 단절 0
Ep 111 | Step 1000 | R   139.48 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단 1246 | 단절 0
Ep 112 | Step 1000 | R   168.62 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  379 | 단절 0
Ep 113 | Step 1000 | R   169.46 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  189 | 단절 0
Ep 114 | Step 1000 | R   134.42 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  823 | 단절 0
Ep 115 | Step 1000 | R   153.20 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  892 | 단절 0
Ep 116 | Step 1000 | R   114.35 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  816 | 단절 0
Ep 117 | Step 1000 | R   141.90 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단 1129 | 단절 0
Ep 118 | Step 1000 | R   130.16 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  998 | 단절 0
Ep 119 | Step 1000 | R   160.89 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  998 | 단절 0
Ep 120 | Step 1000 | R   113.71 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  384 | 단절 0
Ep 121 | Step 1000 | R   122.49 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  533 | 단절 0
Ep 122 | Step 1000 | R   169.05 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  129 | 단절 0
