/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=800 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 128 |  2961스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장  13 | no_progress
Ep 129 |  3637스텝 | 배송 29/50 | 재적재  4 | 정지 0.12 교착최장   8 | no_progress
Ep 130 |  4195스텝 | 배송 39/50 | 재적재  6 | 정지 0.12 교착최장   8 | no_progress
Ep 131 |  5775스텝 | 배송 47/50 | 재적재  9 | 정지 0.12 교착최장  31 | no_progress
Ep 132 |  5775스텝 | 배송 43/50 | 재적재  7 | 정지 0.21 교착최장  33 | no_progress
Ep 133 |  3485스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  15 | no_progress
Ep 134 |  4075스텝 | 배송 39/50 | 재적재  5 | 정지 0.15 교착최장  10 | no_progress
Ep 135 |  2940스텝 | 배송 39/50 | 재적재  7 | 정지 0.13 교착최장   8 | no_progress
Ep 136 |  6287스텝 | 배송 45/50 | 재적재  8 | 정지 0.16 교착최장  14 | no_progress
Ep 137 |  7000스텝 | 배송 43/50 | 재적재  8 | 정지 0.14 교착최장  19 | no_progress
Ep 138 |  5704스텝 | 배송 42/50 | 재적재  7 | 정지 0.16 교착최장  15 | no_progress
Ep 139 |  4553스텝 | 배송 44/50 | 재적재  8 | 정지 0.18 교착최장  17 | no_progress
Ep 140 |  4546스텝 | 배송 44/50 | 재적재  8 | 정지 0.20 교착최장  16 | no_progress
Ep 141 |  5360스텝 | 배송 40/50 | 재적재  6 | 정지 0.15 교착최장  33 | no_progress
Ep 142 |  3919스텝 | 배송 41/50 | 재적재  8 | 정지 0.13 교착최장   7 | no_progress
Ep 143 |  5018스텝 | 배송 38/50 | 재적재  5 | 정지 0.14 교착최장  26 | no_progress
Ep 144 |  5494스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장  21 | no_progress
Ep 145 |  5797스텝 | 배송 46/50 | 재적재  7 | 정지 0.20 교착최장  18 | no_progress
Ep 146 |  5014스텝 | 배송 38/50 | 재적재  6 | 정지 0.17 교착최장  23 | no_progress
Ep 147 |  4526스텝 | 배송 45/50 | 재적재  6 | 정지 0.22 교착최장  68 | no_progress
Ep 148 |  3936스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장  17 | no_progress
Ep 149 |  6822스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  11 | no_progress
Ep 150 |  3268스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장  14 | no_progress
  [홀드아웃] 배송 25.4±9.9 재적재 2.8 2홉+ 0.50 | 최고 25.4@ep150 정체 0/15  ← 갱신
Ep 151 |  5651스텝 | 배송 43/50 | 재적재  7 | 정지 0.21 교착최장  19 | no_progress
Ep 152 |  2638스텝 | 배송 29/50 | 재적재  5 | 정지 0.20 교착최장  21 | no_progress
Ep 153 |  2600스텝 | 배송 34/50 | 재적재  5 | 정지 0.23 교착최장   9 | no_progress
Ep 154 |  4452스텝 | 배송 42/50 | 재적재  7 | 정지 0.16 교착최장  36 | no_progress
Ep 155 |  3241스텝 | 배송 39/50 | 재적재  6 | 정지 0.15 교착최장  15 | no_progress
Ep 156 |  3236스텝 | 배송 39/50 | 재적재  6 | 정지 0.14 교착최장  15 | no_progress
Ep 157 |  3657스텝 | 배송 39/50 | 재적재  7 | 정지 0.11 교착최장  14 | no_progress
Ep 158 |  5868스텝 | 배송 42/50 | 재적재  6 | 정지 0.14 교착최장  13 | no_progress
Ep 159 |  2835스텝 | 배송 35/50 | 재적재  5 | 정지 0.14 교착최장  24 | no_progress
Ep 160 |  4853스텝 | 배송 42/50 | 재적재  6 | 정지 0.25 교착최장  35 | no_progress
Ep 161 |  4090스텝 | 배송 36/50 | 재적재  6 | 정지 0.16 교착최장  25 | no_progress
Ep 162 |  4579스텝 | 배송 42/50 | 재적재  8 | 정지 0.10 교착최장   9 | no_progress
Ep 163 |  4842스텝 | 배송 42/50 | 재적재  7 | 정지 0.13 교착최장  12 | no_progress
Ep 164 |  3800스텝 | 배송 35/50 | 재적재  5 | 정지 0.18 교착최장  17 | no_progress
Ep 165 |  3333스텝 | 배송 35/50 | 재적재  5 | 정지 0.15 교착최장  20 | no_progress
Ep 166 |  4092스텝 | 배송 41/50 | 재적재  8 | 정지 0.13 교착최장  12 | no_progress
Ep 167 |  3679스텝 | 배송 40/50 | 재적재  6 | 정지 0.18 교착최장 100 | deadlock
Ep 168 |  4637스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장  11 | no_progress
Ep 169 |  4759스텝 | 배송 46/50 | 재적재  8 | 정지 0.18 교착최장  18 | no_progress
Ep 170 |  4638스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장  10 | no_progress
Ep 171 |  5469스텝 | 배송 43/50 | 재적재  7 | 정지 0.32 교착최장  83 | no_progress
Ep 172 |  4429스텝 | 배송 43/50 | 재적재  8 | 정지 0.14 교착최장  13 | no_progress
Ep 173 |  4567스텝 | 배송 46/50 | 재적재  8 | 정지 0.11 교착최장  15 | no_progress
Ep 174 |  4587스텝 | 배송 45/50 | 재적재  7 | 정지 0.13 교착최장   9 | no_progress
Ep 175 |  5180스텝 | 배송 42/50 | 재적재  7 | 정지 0.15 교착최장  18 | no_progress
Ep 176 |  4968스텝 | 배송 41/50 | 재적재  7 | 정지 0.25 교착최장  87 | no_progress
Ep 177 |  4331스텝 | 배송 37/50 | 재적재  5 | 정지 0.14 교착최장  18 | no_progress
Ep 178 |  2637스텝 | 배송 30/50 | 재적재  5 | 정지 0.13 교착최장  11 | no_progress
Ep 179 |  5390스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장  11 | no_progress
Ep 180 |  4729스텝 | 배송 40/50 | 재적재  6 | 정지 0.24 교착최장  36 | no_progress
Ep 181 |  3968스텝 | 배송 37/50 | 재적재  5 | 정지 0.13 교착최장  19 | no_progress
Ep 182 |  2835스텝 | 배송 28/50 | 재적재  4 | 정지 0.13 교착최장  15 | no_progress
Ep 183 |  2943스텝 | 배송 34/50 | 재적재  5 | 정지 0.12 교착최장  13 | no_progress
Ep 184 |  3288스텝 | 배송 31/50 | 재적재  5 | 정지 0.10 교착최장  13 | no_progress
Ep 185 |  5206스텝 | 배송 41/50 | 재적재  7 | 정지 0.16 교착최장   9 | no_progress
Ep 186 |  3818스텝 | 배송 36/50 | 재적재  5 | 정지 0.10 교착최장  14 | no_progress
Ep 187 |  4849스텝 | 배송 41/50 | 재적재  7 | 정지 0.13 교착최장  32 | no_progress
Ep 188 |  4974스텝 | 배송 36/50 | 재적재  6 | 정지 0.14 교착최장  11 | no_progress
Ep 189 |  4456스텝 | 배송 35/50 | 재적재  5 | 정지 0.15 교착최장  17 | no_progress
Ep 190 |  2902스텝 | 배송 30/50 | 재적재  4 | 정지 0.22 교착최장  15 | no_progress
Ep 191 |  4586스텝 | 배송 32/50 | 재적재  4 | 정지 0.21 교착최장  77 | no_progress
Ep 192 |  5916스텝 | 배송 44/50 | 재적재  8 | 정지 0.18 교착최장  25 | no_progress
Ep 193 |  4086스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  19 | no_progress
Ep 194 |  5781스텝 | 배송 46/50 | 재적재  8 | 정지 0.16 교착최장  46 | no_progress
Ep 195 |  6815스텝 | 배송 43/50 | 재적재  8 | 정지 0.19 교착최장  27 | no_progress
Ep 196 |  5985스텝 | 배송 42/50 | 재적재  6 | 정지 0.25 교착최장 100 | deadlock
Ep 197 |  5368스텝 | 배송 43/50 | 재적재  7 | 정지 0.19 교착최장  22 | no_progress
Ep 198 |  3902스텝 | 배송 43/50 | 재적재  8 | 정지 0.19 교착최장  32 | no_progress
Ep 199 |  4692스텝 | 배송 37/50 | 재적재  5 | 정지 0.14 교착최장  22 | no_progress
Ep 200 |  4768스텝 | 배송 42/50 | 재적재  6 | 정지 0.17 교착최장  21 | no_progress
  [홀드아웃] 배송 19.4±5.4 재적재 1.5 2홉+ 0.49 | 최고 25.4@ep150 정체 1/15
Ep 201 |  4308스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장  12 | no_progress
Ep 202 |  4567스텝 | 배송 43/50 | 재적재  7 | 정지 0.19 교착최장  15 | no_progress
Ep 203 |  4693스텝 | 배송 42/50 | 재적재  5 | 정지 0.15 교착최장  11 | no_progress
Ep 204 |  3811스텝 | 배송 41/50 | 재적재  6 | 정지 0.18 교착최장  90 | no_progress
Ep 205 |  3033스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장  10 | no_progress
Ep 206 |  5831스텝 | 배송 43/50 | 재적재  7 | 정지 0.12 교착최장  24 | no_progress
Ep 207 |  4168스텝 | 배송 35/50 | 재적재  4 | 정지 0.18 교착최장 100 | deadlock
