/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
이어받기: weights/v5_26_09_15_23_s3b/latest.pth (ep1500) — 에피소드·최고 기록은 초기화
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=200.0 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:298: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 64 | 드론4 목적지52 | 1000스텝 | 배송 40/52 | 재적재  7 | 중계율 0.04 | alpha 5.957 | step_limit
Ep 65 | 드론6 목적지42 |  447스텝 | 배송 42/42 | 재적재  6 | 중계율 0.02 | alpha 6.005 | complete
Ep 66 | 드론5 목적지41 |  944스텝 | 배송 41/41 | 재적재  6 | 중계율 0.06 | alpha 5.988 | complete
Ep 67 | 드론7 목적지23 |  194스텝 | 배송 23/23 | 재적재  0 | 중계율 0.00 | alpha 6.009 | complete
Ep 68 | 드론6 목적지77 |  853스텝 | 배송 77/77 | 재적재 13 | 중계율 0.02 | alpha 5.974 | complete
Ep 69 | 드론5 목적지48 |  447스텝 | 배송 48/48 | 재적재  8 | 중계율 0.01 | alpha 5.964 | complete
Ep 70 | 드론3 목적지69 | 1000스텝 | 배송 46/69 | 재적재  8 | 중계율 0.05 | alpha 5.926 | step_limit
Ep 71 | 드론6 목적지34 |  431스텝 | 배송 34/34 | 재적재  4 | 중계율 0.01 | alpha 5.942 | complete
Ep 72 | 드론6 목적지61 |  909스텝 | 배송 61/61 | 재적재  9 | 중계율 0.03 | alpha 5.984 | complete
Ep 73 | 드론8 목적지50 |  476스텝 | 배송 50/50 | 재적재  8 | 중계율 0.04 | alpha 6.010 | complete
Ep 74 | 드론4 목적지70 | 1000스텝 | 배송 66/70 | 재적재 11 | 중계율 0.04 | alpha 6.075 | step_limit
Ep 75 | 드론7 목적지21 |  192스텝 | 배송 21/21 | 재적재  1 | 중계율 0.02 | alpha 6.070 | complete
Ep 76 | 드론3 목적지49 | 1000스텝 | 배송 35/49 | 재적재  6 | 중계율 0.07 | alpha 6.127 | step_limit
Ep 77 | 드론4 목적지67 | 1000스텝 | 배송 52/67 | 재적재 10 | 중계율 0.09 | alpha 6.186 | step_limit
Ep 78 | 드론3 목적지34 | 1000스텝 | 배송 28/34 | 재적재  5 | 중계율 0.07 | alpha 6.298 | step_limit
Ep 79 | 드론6 목적지31 |  468스텝 | 배송 31/31 | 재적재  3 | 중계율 0.02 | alpha 6.334 | complete
Ep 80 | 드론4 목적지44 |  752스텝 | 배송 44/44 | 재적재  7 | 중계율 0.05 | alpha 6.403 | complete
Ep 81 | 드론7 목적지71 |  609스텝 | 배송 71/71 | 재적재 13 | 중계율 0.03 | alpha 6.375 | complete
Ep 82 | 드론5 목적지59 |  714스텝 | 배송 59/59 | 재적재 10 | 중계율 0.03 | alpha 6.324 | complete
Ep 83 | 드론7 목적지21 |  190스텝 | 배송 21/21 | 재적재  0 | 중계율 0.00 | alpha 6.340 | complete
Ep 84 | 드론4 목적지41 |  695스텝 | 배송 41/41 | 재적재  7 | 중계율 0.03 | alpha 6.345 | complete
Ep 85 | 드론6 목적지38 |  413스텝 | 배송 38/38 | 재적재  5 | 중계율 0.01 | alpha 6.405 | complete
Ep 86 | 드론6 목적지64 |  718스텝 | 배송 64/64 | 재적재 10 | 중계율 0.04 | alpha 6.454 | complete
Ep 87 | 드론7 목적지24 |  161스텝 | 배송 24/24 | 재적재  0 | 중계율 0.01 | alpha 6.470 | complete
Ep 88 | 드론6 목적지66 |  795스텝 | 배송 66/66 | 재적재 11 | 중계율 0.03 | alpha 6.461 | complete
Ep 89 | 드론8 목적지20 |  191스텝 | 배송 20/20 | 재적재  0 | 중계율 0.01 | alpha 6.472 | complete
Ep 90 | 드론7 목적지37 |  265스텝 | 배송 37/37 | 재적재  5 | 중계율 0.00 | alpha 6.463 | complete
Ep 91 | 드론5 목적지60 | 1000스텝 | 배송 55/60 | 재적재  9 | 중계율 0.06 | alpha 6.497 | step_limit
Ep 92 | 드론3 목적지37 | 1000스텝 | 배송 30/37 | 재적재  5 | 중계율 0.09 | alpha 6.533 | step_limit
Ep 93 | 드론5 목적지27 |  573스텝 | 배송 27/27 | 재적재  2 | 중계율 0.03 | alpha 6.538 | complete
Ep 94 | 드론5 목적지76 | 1000스텝 | 배송 71/76 | 재적재 13 | 중계율 0.04 | alpha 6.661 | step_limit
Ep 95 | 드론6 목적지30 |  408스텝 | 배송 30/30 | 재적재  3 | 중계율 0.02 | alpha 6.661 | complete
Ep 96 | 드론8 목적지34 |  310스텝 | 배송 34/34 | 재적재  3 | 중계율 0.02 | alpha 6.650 | complete
Ep 97 | 드론7 목적지35 |  385스텝 | 배송 35/35 | 재적재  3 | 중계율 0.04 | alpha 6.601 | complete
Ep 98 | 드론6 목적지39 |  492스텝 | 배송 39/39 | 재적재  5 | 중계율 0.02 | alpha 6.577 | complete
Ep 99 | 드론6 목적지69 | 1000스텝 | 배송 56/69 | 재적재  8 | 중계율 0.05 | alpha 6.587 | step_limit
Ep 100 | 드론7 목적지80 |  589스텝 | 배송 80/80 | 재적재 14 | 중계율 0.02 | alpha 6.604 | complete
  [홀드아웃] 배송 43.8±3.0 완주 0.00 스텝 1000 점수 43.8 재적재 7.6 2홉+ 0.64 | 최고 43.8@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지62 | 1000스텝 | 배송 47/62 | 재적재  8 | 중계율 0.06 | alpha 6.606 | step_limit
Ep 102 | 드론5 목적지30 |  378스텝 | 배송 30/30 | 재적재  3 | 중계율 0.02 | alpha 6.612 | complete
Ep 103 | 드론6 목적지75 |  602스텝 | 배송 75/75 | 재적재 11 | 중계율 0.04 | alpha 6.573 | complete
Ep 104 | 드론4 목적지39 |  620스텝 | 배송 39/39 | 재적재  6 | 중계율 0.03 | alpha 6.555 | complete
Ep 105 | 드론6 목적지24 |  295스텝 | 배송 24/24 | 재적재  2 | 중계율 0.02 | alpha 6.558 | complete
Ep 106 | 드론6 목적지73 |  885스텝 | 배송 73/73 | 재적재 12 | 중계율 0.04 | alpha 6.506 | complete
Ep 107 | 드론6 목적지25 |  353스텝 | 배송 25/25 | 재적재  2 | 중계율 0.02 | alpha 6.506 | complete
Ep 108 | 드론3 목적지69 | 1000스텝 | 배송 50/69 | 재적재  9 | 중계율 0.09 | alpha 6.603 | step_limit
Ep 109 | 드론4 목적지25 |  452스텝 | 배송 25/25 | 재적재  3 | 중계율 0.01 | alpha 6.686 | complete
Ep 110 | 드론4 목적지26 |  550스텝 | 배송 26/26 | 재적재  4 | 중계율 0.08 | alpha 6.724 | complete
Ep 111 | 드론4 목적지21 |  427스텝 | 배송 21/21 | 재적재  3 | 중계율 0.04 | alpha 6.759 | complete
Ep 112 | 드론8 목적지31 |  242스텝 | 배송 31/31 | 재적재  2 | 중계율 0.00 | alpha 6.785 | complete
Ep 113 | 드론5 목적지57 | 1000스텝 | 배송 50/57 | 재적재  7 | 중계율 0.04 | alpha 6.717 | step_limit
Ep 114 | 드론7 목적지64 |  658스텝 | 배송 64/64 | 재적재 11 | 중계율 0.04 | alpha 6.735 | complete
Ep 115 | 드론6 목적지57 |  684스텝 | 배송 57/57 | 재적재  9 | 중계율 0.04 | alpha 6.675 | complete
Ep 116 | 드론4 목적지78 | 1000스텝 | 배송 65/78 | 재적재 11 | 중계율 0.06 | alpha 6.593 | step_limit
