/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 138 | 배송 40/50 | 재적재 5 | 도착  44 | 2홉+ 0.66 | 도달  866 | 차단  888
Ep 139 | 배송 42/50 | 재적재 6 | 도착  50 | 2홉+ 0.65 | 도달  877 | 차단  969
Ep 140 | 배송 39/50 | 재적재 6 | 도착  46 | 2홉+ 0.62 | 도달  834 | 차단  912
Ep 141 | 배송 35/50 | 재적재 4 | 도착  40 | 2홉+ 0.59 | 도달  914 | 차단  900
Ep 142 | 배송 42/50 | 재적재 6 | 도착  45 | 2홉+ 0.60 | 도달  898 | 차단  970
Ep 143 | 배송 30/50 | 재적재 3 | 도착  33 | 2홉+ 0.65 | 도달  732 | 차단 1127
Ep 144 | 배송 30/50 | 재적재 3 | 도착  34 | 2홉+ 0.63 | 도달  704 | 차단 1573
Ep 145 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.61 | 도달  814 | 차단 1139
Ep 146 | 배송 41/50 | 재적재 6 | 도착  48 | 2홉+ 0.61 | 도달  896 | 차단 1245
Ep 147 | 배송 35/50 | 재적재 4 | 도착  40 | 2홉+ 0.61 | 도달  870 | 차단  732
Ep 148 | 배송 40/50 | 재적재 6 | 도착  49 | 2홉+ 0.61 | 도달  806 | 차단 1016
Ep 149 | 배송 25/50 | 재적재 4 | 도착  32 | 2홉+ 0.46 | 도달  704 | 차단 1040
Ep 150 | 배송 41/50 | 재적재 6 | 도착  48 | 2홉+ 0.64 | 도달  855 | 차단 1120
  [홀드아웃] 배송 20.7±11.9 재적재 2.0 2홉+ 0.64 | 최고 20.7@ep150 정체 0/15  ← 갱신
Ep 151 | 배송 32/50 | 재적재 5 | 도착  42 | 2홉+ 0.62 | 도달  815 | 차단  756
Ep 152 | 배송 40/50 | 재적재 5 | 도착  47 | 2홉+ 0.64 | 도달 1014 | 차단 1199
Ep 153 | 배송 29/50 | 재적재 3 | 도착  33 | 2홉+ 0.62 | 도달  874 | 차단 1322
Ep 154 | 배송 37/50 | 재적재 6 | 도착  44 | 2홉+ 0.57 | 도달  838 | 차단  855
Ep 155 | 배송 38/50 | 재적재 5 | 도착  39 | 2홉+ 0.62 | 도달  807 | 차단  708
Ep 156 | 배송 43/50 | 재적재 6 | 도착  49 | 2홉+ 0.60 | 도달  875 | 차단  755
Ep 157 | 배송 31/50 | 재적재 4 | 도착  37 | 2홉+ 0.60 | 도달  759 | 차단  739
Ep 158 | 배송 36/50 | 재적재 7 | 도착  41 | 2홉+ 0.62 | 도달  862 | 차단 1104
Ep 159 | 배송 31/50 | 재적재 3 | 도착  34 | 2홉+ 0.65 | 도달  830 | 차단 1288
Ep 160 | 배송 32/50 | 재적재 5 | 도착  37 | 2홉+ 0.53 | 도달  809 | 차단  864
Ep 161 | 배송 37/50 | 재적재 6 | 도착  44 | 2홉+ 0.58 | 도달  837 | 차단  777
Ep 162 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.61 | 도달  877 | 차단  949
Ep 163 | 배송 30/50 | 재적재 4 | 도착  35 | 2홉+ 0.63 | 도달  742 | 차단 1423
Ep 164 | 배송 38/50 | 재적재 5 | 도착  42 | 2홉+ 0.58 | 도달  876 | 차단 1064
Ep 165 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.55 | 도달  934 | 차단 1120
Ep 166 | 배송 33/50 | 재적재 4 | 도착  40 | 2홉+ 0.54 | 도달  815 | 차단  996
Ep 167 | 배송 40/50 | 재적재 6 | 도착  46 | 2홉+ 0.60 | 도달  872 | 차단  804
Ep 168 | 배송 32/50 | 재적재 5 | 도착  41 | 2홉+ 0.62 | 도달  764 | 차단 1066
Ep 169 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.64 | 도달  867 | 차단 1225
Ep 170 | 배송 38/50 | 재적재 5 | 도착  45 | 2홉+ 0.61 | 도달  888 | 차단  985
Ep 171 | 배송 36/50 | 재적재 7 | 도착  41 | 2홉+ 0.57 | 도달  896 | 차단  867
Ep 172 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.59 | 도달  953 | 차단 1260
Ep 173 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.61 | 도달  960 | 차단  795
