episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
137,1000,510.0,10.524,40,,943,0,5,44,938,0.628,893.2,0,137000,1319.9
138,1000,510.0,8.562,40,,969,0,5,44,888,0.6567,865.6,0,138000,1328.8
139,1000,560.0,14.272,42,,983,0,6,50,969,0.6525,876.7,0,139000,1337.5
140,1000,530.0,12.4,39,,987,0,6,46,912,0.616,834.0,0,140000,1346.6
141,1000,430.0,5.969,35,,973,0,4,40,900,0.5905,914.1,0,141000,1357.5
142,1000,560.0,12.016,42,,999,0,6,45,970,0.6048,897.7,0,142000,1366.4
143,1000,350.0,-4.94,30,,991,0,3,33,1127,0.6498,732.0,0,143000,1375.3
144,1000,350.0,-16.966,30,,946,0,3,34,1573,0.6292,703.6,0,144000,1386.7
145,1000,450.0,0.135,34,,873,0,5,40,1139,0.6068,814.1,0,145000,1395.6
146,1000,550.0,5.366,41,,919,0,6,48,1245,0.6052,896.2,0,146000,1405.0
147,1000,430.0,8.49,35,,856,0,4,40,732,0.6055,869.7,0,147000,1413.5
148,1000,540.0,11.81,40,,992,0,6,49,1016,0.6128,806.3,0,148000,1424.1
149,1000,330.0,-6.834,25,,769,0,4,32,1040,0.4635,704.4,0,149000,1433.1
150,1000,550.0,11.4,41,,993,0,6,48,1120,0.6385,855.2,0,150000,1442.0
151,1000,430.0,8.677,32,,953,0,5,42,756,0.6218,815.2,0,151000,1461.5
152,1000,510.0,4.976,40,,899,0,5,47,1199,0.6392,1013.7,0,152000,1470.1
153,1000,340.0,-12.048,29,,976,0,3,33,1322,0.6212,874.2,0,153000,1479.2
154,1000,510.0,10.262,37,,902,0,6,44,855,0.5725,837.6,0,154000,1489.9
155,1000,490.0,14.15,38,,947,0,5,39,708,0.6182,806.8,0,155000,1498.7
156,1000,570.0,17.735,43,,989,0,6,49,755,0.6022,874.7,0,156000,1507.6
157,1000,390.0,6.707,31,,635,0,4,37,739,0.6008,758.6,0,157000,1516.6
