/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 159 |  4636스텝 | 배송 44/50 | 재적재  8 | 정지 0.15 교착최장  28 | no_progress
Ep 160 |  6771스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장 100 | deadlock
Ep 161 |  4219스텝 | 배송 41/50 | 재적재  7 | 정지 0.11 교착최장  13 | no_progress
Ep 162 |  5903스텝 | 배송 47/50 | 재적재  7 | 정지 0.13 교착최장  17 | no_progress
Ep 163 |  5319스텝 | 배송 44/50 | 재적재  7 | 정지 0.20 교착최장  27 | no_progress
Ep 164 |  6516스텝 | 배송 44/50 | 재적재  7 | 정지 0.11 교착최장   8 | no_progress
Ep 165 |  3238스텝 | 배송 33/50 | 재적재  4 | 정지 0.15 교착최장  66 | no_progress
Ep 166 |  3560스텝 | 배송 37/50 | 재적재  5 | 정지 0.13 교착최장  29 | no_progress
Ep 167 |  3340스텝 | 배송 33/50 | 재적재  5 | 정지 0.10 교착최장   6 | no_progress
Ep 168 |  5865스텝 | 배송 38/50 | 재적재  5 | 정지 0.13 교착최장  12 | no_progress
Ep 169 |  5347스텝 | 배송 39/50 | 재적재  6 | 정지 0.18 교착최장  26 | no_progress
Ep 170 |  5720스텝 | 배송 45/50 | 재적재  7 | 정지 0.14 교착최장  13 | no_progress
Ep 171 |  5607스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장  49 | no_progress
Ep 172 |  4320스텝 | 배송 32/50 | 재적재  3 | 정지 0.13 교착최장  11 | no_progress
Ep 173 |  3697스텝 | 배송 34/50 | 재적재  5 | 정지 0.13 교착최장  11 | no_progress
Ep 174 |  4442스텝 | 배송 39/50 | 재적재  6 | 정지 0.14 교착최장  16 | no_progress
Ep 175 |  1263스텝 | 배송  6/50 | 재적재  0 | 정지 0.11 교착최장   0 | no_progress
Ep 176 |  4718스텝 | 배송 38/50 | 재적재  5 | 정지 0.09 교착최장  15 | no_progress
Ep 177 |  4318스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  10 | no_progress
Ep 178 |  3593스텝 | 배송 33/50 | 재적재  5 | 정지 0.31 교착최장  29 | no_progress
Ep 179 |  3574스텝 | 배송 40/50 | 재적재  6 | 정지 0.08 교착최장  10 | no_progress
Ep 180 |  6373스텝 | 배송 43/50 | 재적재  7 | 정지 0.13 교착최장  24 | no_progress
Ep 181 |  3650스텝 | 배송 36/50 | 재적재  4 | 정지 0.11 교착최장  12 | no_progress
Ep 182 |  6948스텝 | 배송 49/50 | 재적재  9 | 정지 0.12 교착최장  41 | no_progress
Ep 183 |  4159스텝 | 배송 39/50 | 재적재  5 | 정지 0.14 교착최장  23 | no_progress
