/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 170 | Step 1000 | R   114.35 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  741 | 차단 1434
Ep 171 | Step 1000 | R   140.21 | 배송 16/50 | 미활동 0 | 2홉+ 0.60 | 도달  799 | 차단  701
Ep 172 | Step 1000 | R   127.94 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  902 | 차단  913
Ep 173 | Step 1000 | R   141.81 | 배송 16/50 | 미활동 0 | 2홉+ 0.64 | 도달  755 | 차단 1078
Ep 174 | Step 1000 | R   129.52 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달  842 | 차단  585
Ep 175 | Step 1000 | R   121.06 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  820 | 차단 1350
Ep 176 | Step 1000 | R   110.81 | 배송 14/50 | 미활동 0 | 2홉+ 0.65 | 도달  746 | 차단 1001
Ep 177 | Step 1000 | R   129.37 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  692 | 차단 1220
Ep 178 | Step 1000 | R   131.42 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달  859 | 차단 1158
Ep 179 | Step 1000 | R    62.51 | 배송 10/50 | 미활동 0 | 2홉+ 0.49 | 도달  607 | 차단 1667
Ep 180 | Step 1000 | R   173.09 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달  855 | 차단  685
Ep 181 | Step 1000 | R   160.88 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  734 | 차단  531
Ep 182 | Step 1000 | R    67.99 | 배송 11/50 | 미활동 1 | 2홉+ 0.71 | 도달  726 | 차단 1979
Ep 183 | Step 1000 | R   111.33 | 배송 14/50 | 미활동 0 | 2홉+ 0.60 | 도달  700 | 차단  888
Ep 184 | Step 1000 | R   115.40 | 배송 14/50 | 미활동 0 | 2홉+ 0.57 | 도달  707 | 차단 1304
Ep 185 | Step 1000 | R   112.91 | 배송 14/50 | 미활동 0 | 2홉+ 0.65 | 도달  684 | 차단 1568
Ep 186 | Step 1000 | R   176.19 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달  650 | 차단  520
Ep 187 | Step 1000 | R   149.67 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  797 | 차단  682
