/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 112 |  3627스텝 | 배송 42/50 | 재적재  7 | 정지 0.20 교착최장  13 | no_progress
Ep 113 |  3559스텝 | 배송 38/50 | 재적재  6 | 정지 0.09 교착최장  13 | no_progress
Ep 114 |  3704스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장   7 | no_progress
Ep 115 |  4323스텝 | 배송 45/50 | 재적재  8 | 정지 0.10 교착최장  14 | no_progress
Ep 116 |  4261스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장  10 | no_progress
Ep 117 |  5039스텝 | 배송 43/50 | 재적재  8 | 정지 0.11 교착최장   7 | no_progress
Ep 118 |  4624스텝 | 배송 43/50 | 재적재  8 | 정지 0.11 교착최장   9 | no_progress
Ep 119 |  2360스텝 | 배송 31/50 | 재적재  5 | 정지 0.17 교착최장  12 | no_progress
Ep 120 |  5371스텝 | 배송 46/50 | 재적재  7 | 정지 0.14 교착최장  10 | no_progress
Ep 121 |  5243스텝 | 배송 42/50 | 재적재  7 | 정지 0.20 교착최장  23 | no_progress
Ep 122 |  3215스텝 | 배송 37/50 | 재적재  5 | 정지 0.18 교착최장  24 | no_progress
Ep 123 |  2713스텝 | 배송 29/50 | 재적재  4 | 정지 0.22 교착최장   8 | no_progress
Ep 124 |  5368스텝 | 배송 46/50 | 재적재  7 | 정지 0.15 교착최장  13 | no_progress
Ep 125 |  4960스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장  27 | no_progress
Ep 126 |  4119스텝 | 배송 42/50 | 재적재  7 | 정지 0.21 교착최장  54 | no_progress
Ep 127 |  3569스텝 | 배송 32/50 | 재적재  5 | 정지 0.10 교착최장   8 | no_progress
Ep 128 |  5461스텝 | 배송 41/50 | 재적재  8 | 정지 0.14 교착최장  12 | no_progress
Ep 129 |  3654스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장   9 | no_progress
Ep 130 |  3405스텝 | 배송 40/50 | 재적재  6 | 정지 0.13 교착최장  33 | no_progress
Ep 131 |  3772스텝 | 배송 35/50 | 재적재  5 | 정지 0.16 교착최장  13 | no_progress
Ep 132 |  3797스텝 | 배송 44/50 | 재적재  6 | 정지 0.21 교착최장  24 | no_progress
Ep 133 |  3405스텝 | 배송 40/50 | 재적재  6 | 정지 0.21 교착최장  18 | no_progress
Ep 134 |  5415스텝 | 배송 46/50 | 재적재  8 | 정지 0.18 교착최장  17 | no_progress
Ep 135 |  5637스텝 | 배송 46/50 | 재적재  9 | 정지 0.14 교착최장  13 | no_progress
Ep 136 |  4915스텝 | 배송 42/50 | 재적재  8 | 정지 0.21 교착최장  39 | no_progress
Ep 137 |  3750스텝 | 배송 34/50 | 재적재  5 | 정지 0.16 교착최장  18 | no_progress
Ep 138 |  4516스텝 | 배송 43/50 | 재적재  6 | 정지 0.21 교착최장  23 | no_progress
Ep 139 |  5453스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장  12 | no_progress
Ep 140 |  4679스텝 | 배송 42/50 | 재적재  7 | 정지 0.25 교착최장  45 | no_progress
Ep 141 |  4020스텝 | 배송 41/50 | 재적재  7 | 정지 0.13 교착최장  10 | no_progress
Ep 142 |  4285스텝 | 배송 42/50 | 재적재  6 | 정지 0.19 교착최장  34 | no_progress
Ep 143 |  3016스텝 | 배송 36/50 | 재적재  6 | 정지 0.14 교착최장  19 | no_progress
Ep 144 |  3082스텝 | 배송 39/50 | 재적재  6 | 정지 0.15 교착최장  17 | no_progress
Ep 145 |  3491스텝 | 배송 41/50 | 재적재  7 | 정지 0.10 교착최장   9 | no_progress
Ep 146 |  4109스텝 | 배송 43/50 | 재적재  6 | 정지 0.27 교착최장  63 | no_progress
Ep 147 |  3998스텝 | 배송 44/50 | 재적재  6 | 정지 0.14 교착최장  10 | no_progress
Ep 148 |  5221스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  31 | no_progress
Ep 149 |  4120스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  19 | no_progress
Ep 150 |  5336스텝 | 배송 46/50 | 재적재  8 | 정지 0.17 교착최장  43 | no_progress
  [홀드아웃] 배송 12.6±11.7 재적재 1.4 2홉+ 0.22 | 최고 19.0@ep50 정체 2/15
Ep 151 |  3978스텝 | 배송 41/50 | 재적재  8 | 정지 0.12 교착최장  13 | no_progress
Ep 152 |  3906스텝 | 배송 37/50 | 재적재  5 | 정지 0.27 교착최장  36 | no_progress
Ep 153 |  3819스텝 | 배송 42/50 | 재적재  6 | 정지 0.10 교착최장  17 | no_progress
Ep 154 |  4060스텝 | 배송 38/50 | 재적재  6 | 정지 0.16 교착최장  17 | no_progress
Ep 155 |  3935스텝 | 배송 35/50 | 재적재  5 | 정지 0.12 교착최장  10 | no_progress
Ep 156 |  3475스텝 | 배송 36/50 | 재적재  6 | 정지 0.13 교착최장  28 | no_progress
Ep 157 |  4098스텝 | 배송 45/50 | 재적재  7 | 정지 0.17 교착최장  12 | no_progress
Ep 158 |  4740스텝 | 배송 42/50 | 재적재  6 | 정지 0.21 교착최장  23 | no_progress
Ep 159 |  5327스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  12 | no_progress
Ep 160 |  3451스텝 | 배송 40/50 | 재적재  6 | 정지 0.09 교착최장  18 | no_progress
Ep 161 |  4725스텝 | 배송 44/50 | 재적재  8 | 정지 0.15 교착최장  23 | no_progress
Ep 162 |  4807스텝 | 배송 39/50 | 재적재  6 | 정지 0.17 교착최장  37 | no_progress
Ep 163 |  4521스텝 | 배송 44/50 | 재적재  7 | 정지 0.24 교착최장  60 | no_progress
Ep 164 |  3578스텝 | 배송 39/50 | 재적재  6 | 정지 0.17 교착최장  16 | no_progress
Ep 165 |  5579스텝 | 배송 48/50 | 재적재  8 | 정지 0.12 교착최장   8 | no_progress
Ep 166 |  3966스텝 | 배송 37/50 | 재적재  6 | 정지 0.16 교착최장  15 | no_progress
Ep 167 |  3331스텝 | 배송 34/50 | 재적재  5 | 정지 0.12 교착최장  14 | no_progress
Ep 168 |  7564스텝 | 배송 45/50 | 재적재  8 | 정지 0.22 교착최장 100 | deadlock
Ep 169 |  3597스텝 | 배송 38/50 | 재적재  6 | 정지 0.13 교착최장   9 | no_progress
Ep 170 |  3820스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장  18 | no_progress
Ep 171 |  2553스텝 | 배송 35/50 | 재적재  5 | 정지 0.14 교착최장  11 | no_progress
Ep 172 |  4428스텝 | 배송 40/50 | 재적재  7 | 정지 0.09 교착최장  19 | no_progress
Ep 173 |  4196스텝 | 배송 41/50 | 재적재  7 | 정지 0.16 교착최장  10 | no_progress
Ep 174 |  3111스텝 | 배송 31/50 | 재적재  4 | 정지 0.10 교착최장   5 | no_progress
Ep 175 |  3000스텝 | 배송 38/50 | 재적재  6 | 정지 0.19 교착최장  17 | no_progress
Ep 176 |  5134스텝 | 배송 40/50 | 재적재  7 | 정지 0.24 교착최장  16 | no_progress
Ep 177 |  3274스텝 | 배송 43/50 | 재적재  8 | 정지 0.15 교착최장  33 | no_progress
Ep 178 |  5347스텝 | 배송 36/50 | 재적재  6 | 정지 0.12 교착최장  13 | no_progress
Ep 179 |  2589스텝 | 배송 34/50 | 재적재  6 | 정지 0.12 교착최장  11 | no_progress
Ep 180 |  1792스텝 | 배송 23/50 | 재적재  2 | 정지 0.42 교착최장  66 | no_progress
