/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
Ep 139 | 배송 12/50 | 재적재 0 | 도착  60 | 2홉+ 0.20 | 도달  557 | 차단  494
Ep 140 | 배송 15/50 | 재적재 0 | 도착  68 | 2홉+ 0.25 | 도달  555 | 차단  175
Ep 141 | 배송 21/50 | 재적재 2 | 도착   9 | 2홉+ 0.23 | 도달  621 | 차단   76
Ep 142 | 배송 11/50 | 재적재 0 | 도착  78 | 2홉+ 0.12 | 도달  519 | 차단    1
Ep 143 | 배송 11/50 | 재적재 0 | 도착  77 | 2홉+ 0.21 | 도달  585 | 차단   72
Ep 144 | 배송 13/50 | 재적재 0 | 도착 103 | 2홉+ 0.14 | 도달  536 | 차단   26
Ep 145 | 배송 14/50 | 재적재 1 | 도착  37 | 2홉+ 0.15 | 도달  524 | 차단    7
Ep 146 | 배송 10/50 | 재적재 0 | 도착  59 | 2홉+ 0.09 | 도달  485 | 차단   21
Ep 147 | 배송 13/50 | 재적재 1 | 도착  66 | 2홉+ 0.14 | 도달  547 | 차단  265
Ep 148 | 배송 12/50 | 재적재 0 | 도착 263 | 2홉+ 0.15 | 도달  511 | 차단   94
Ep 149 | 배송 11/50 | 재적재 1 | 도착  83 | 2홉+ 0.09 | 도달  556 | 차단   17
Ep 150 | 배송 15/50 | 재적재 0 | 도착  52 | 2홉+ 0.22 | 도달  562 | 차단   34
  [홀드아웃] 배송 4.2±2.8 재적재 0.0 2홉+ 0.15 | 최고 26.8@ep50 정체 2/15
Ep 151 | 배송 13/50 | 재적재 0 | 도착  63 | 2홉+ 0.17 | 도달  531 | 차단   65
Ep 152 | 배송 14/50 | 재적재 0 | 도착  68 | 2홉+ 0.19 | 도달  598 | 차단  120
Ep 153 | 배송 11/50 | 재적재 0 | 도착  46 | 2홉+ 0.15 | 도달  477 | 차단   18
Ep 154 | 배송 17/50 | 재적재 1 | 도착  50 | 2홉+ 0.24 | 도달  547 | 차단   79
Ep 155 | 배송 10/50 | 재적재 0 | 도착  49 | 2홉+ 0.21 | 도달  490 | 차단  325
Ep 156 | 배송  8/50 | 재적재 0 | 도착 101 | 2홉+ 0.06 | 도달  520 | 차단    0
Ep 157 | 배송 16/50 | 재적재 1 | 도착  96 | 2홉+ 0.21 | 도달  566 | 차단  143
Ep 158 | 배송  7/50 | 재적재 0 | 도착  76 | 2홉+ 0.06 | 도달  417 | 차단  115
Ep 159 | 배송 10/50 | 재적재 0 | 도착  47 | 2홉+ 0.12 | 도달  490 | 차단  121
Ep 160 | 배송  6/50 | 재적재 0 | 도착 119 | 2홉+ 0.04 | 도달  450 | 차단   18
Ep 161 | 배송  5/50 | 재적재 0 | 도착  69 | 2홉+ 0.06 | 도달  448 | 차단   25
Ep 162 | 배송  9/50 | 재적재 0 | 도착  45 | 2홉+ 0.12 | 도달  475 | 차단  177
Ep 163 | 배송  9/50 | 재적재 0 | 도착  59 | 2홉+ 0.08 | 도달  461 | 차단   69
Ep 164 | 배송 10/50 | 재적재 0 | 도착  81 | 2홉+ 0.13 | 도달  550 | 차단  286
Ep 165 | 배송  7/50 | 재적재 0 | 도착 108 | 2홉+ 0.17 | 도달  551 | 차단   46
Ep 166 | 배송  9/50 | 재적재 0 | 도착  35 | 2홉+ 0.13 | 도달  494 | 차단  329
Ep 167 | 배송 10/50 | 재적재 0 | 도착  72 | 2홉+ 0.15 | 도달  526 | 차단  329
Ep 168 | 배송  8/50 | 재적재 0 | 도착  66 | 2홉+ 0.13 | 도달  503 | 차단  207
Ep 169 | 배송  9/50 | 재적재 0 | 도착  14 | 2홉+ 0.28 | 도달  590 | 차단  455
Ep 170 | 배송  9/50 | 재적재 0 | 도착  19 | 2홉+ 0.10 | 도달  556 | 차단   48
Ep 171 | 배송  8/50 | 재적재 0 | 도착  58 | 2홉+ 0.11 | 도달  519 | 차단  150
Ep 172 | 배송  8/50 | 재적재 0 | 도착  85 | 2홉+ 0.06 | 도달  475 | 차단   60
Ep 173 | 배송  7/50 | 재적재 0 | 도착  67 | 2홉+ 0.03 | 도달  417 | 차단  106
Ep 174 | 배송 12/50 | 재적재 0 | 도착  33 | 2홉+ 0.19 | 도달  529 | 차단  483
Ep 175 | 배송  8/50 | 재적재 0 | 도착  26 | 2홉+ 0.03 | 도달  367 | 차단   13
Ep 176 | 배송  8/50 | 재적재 0 | 도착  23 | 2홉+ 0.07 | 도달  483 | 차단   65
Ep 177 | 배송  8/50 | 재적재 0 | 도착  81 | 2홉+ 0.09 | 도달  423 | 차단   63
Ep 178 | 배송 12/50 | 재적재 0 | 도착  69 | 2홉+ 0.18 | 도달  599 | 차단   70
Ep 179 | 배송 10/50 | 재적재 0 | 도착  30 | 2홉+ 0.13 | 도달  532 | 차단   70
Ep 180 | 배송  7/50 | 재적재 0 | 도착 124 | 2홉+ 0.05 | 도달  439 | 차단   47
Ep 181 | 배송  9/50 | 재적재 0 | 도착  15 | 2홉+ 0.11 | 도달  490 | 차단  214
Ep 182 | 배송  7/50 | 재적재 0 | 도착  66 | 2홉+ 0.01 | 도달  313 | 차단   33
Ep 183 | 배송  9/50 | 재적재 0 | 도착  79 | 2홉+ 0.05 | 도달  471 | 차단    0
Ep 184 | 배송  7/50 | 재적재 0 | 도착  50 | 2홉+ 0.07 | 도달  523 | 차단  145
Ep 185 | 배송 13/50 | 재적재 0 | 도착  48 | 2홉+ 0.13 | 도달  535 | 차단  234
Ep 186 | 배송  8/50 | 재적재 0 | 도착  84 | 2홉+ 0.04 | 도달  498 | 차단   63
Ep 187 | 배송  7/50 | 재적재 0 | 도착  29 | 2홉+ 0.08 | 도달  427 | 차단  236
Ep 188 | 배송 12/50 | 재적재 1 | 도착  51 | 2홉+ 0.12 | 도달  531 | 차단  235
Ep 189 | 배송  8/50 | 재적재 0 | 도착 120 | 2홉+ 0.09 | 도달  475 | 차단  230
Ep 190 | 배송  7/50 | 재적재 0 | 도착  61 | 2홉+ 0.12 | 도달  476 | 차단  287
Ep 191 | 배송  7/50 | 재적재 0 | 도착  39 | 2홉+ 0.07 | 도달  615 | 차단    1
Ep 192 | 배송  6/50 | 재적재 0 | 도착  38 | 2홉+ 0.03 | 도달  501 | 차단   15
Ep 193 | 배송  6/50 | 재적재 0 | 도착 102 | 2홉+ 0.09 | 도달  470 | 차단  348
Ep 194 | 배송  6/50 | 재적재 0 | 도착  85 | 2홉+ 0.02 | 도달  382 | 차단    0
Ep 195 | 배송  5/50 | 재적재 0 | 도착  31 | 2홉+ 0.02 | 도달  409 | 차단    6
Ep 196 | 배송 13/50 | 재적재 0 | 도착  45 | 2홉+ 0.12 | 도달  524 | 차단   83
Ep 197 | 배송  8/50 | 재적재 0 | 도착  85 | 2홉+ 0.05 | 도달  507 | 차단    4
Ep 198 | 배송 12/50 | 재적재 1 | 도착  27 | 2홉+ 0.21 | 도달  566 | 차단  214
Ep 199 | 배송  7/50 | 재적재 0 | 도착  31 | 2홉+ 0.09 | 도달  441 | 차단   16
Ep 200 | 배송 11/50 | 재적재 0 | 도착  34 | 2홉+ 0.09 | 도달  559 | 차단   67
  [홀드아웃] 배송 8.2±2.9 재적재 0.2 2홉+ 0.35 | 최고 26.8@ep50 정체 3/15
Ep 201 | 배송 10/50 | 재적재 0 | 도착  72 | 2홉+ 0.09 | 도달  526 | 차단  229
Ep 202 | 배송  9/50 | 재적재 0 | 도착  14 | 2홉+ 0.09 | 도달  533 | 차단   23
Ep 203 | 배송  5/50 | 재적재 0 | 도착  24 | 2홉+ 0.12 | 도달  470 | 차단   10
Ep 204 | 배송  6/50 | 재적재 0 | 도착  32 | 2홉+ 0.07 | 도달  440 | 차단   26
Ep 205 | 배송  6/50 | 재적재 0 | 도착  70 | 2홉+ 0.07 | 도달  478 | 차단    0
Ep 206 | 배송  5/50 | 재적재 0 | 도착  46 | 2홉+ 0.08 | 도달  447 | 차단   28
Ep 207 | 배송  5/50 | 재적재 0 | 도착  17 | 2홉+ 0.03 | 도달  432 | 차단    0
Ep 208 | 배송  6/50 | 재적재 0 | 도착  47 | 2홉+ 0.04 | 도달  402 | 차단    2
Ep 209 | 배송  9/50 | 재적재 0 | 도착 129 | 2홉+ 0.06 | 도달  425 | 차단   76
Ep 210 | 배송  5/50 | 재적재 0 | 도착  43 | 2홉+ 0.03 | 도달  428 | 차단   14
Ep 211 | 배송  9/50 | 재적재 0 | 도착  49 | 2홉+ 0.04 | 도달  420 | 차단    3
Ep 212 | 배송 11/50 | 재적재 1 | 도착  37 | 2홉+ 0.11 | 도달  566 | 차단   63
Ep 213 | 배송  6/50 | 재적재 0 | 도착  24 | 2홉+ 0.07 | 도달  512 | 차단   27
Ep 214 | 배송 11/50 | 재적재 1 | 도착  39 | 2홉+ 0.10 | 도달  558 | 차단   36
Ep 215 | 배송  6/50 | 재적재 0 | 도착  15 | 2홉+ 0.04 | 도달  401 | 차단   10
Ep 216 | 배송  5/50 | 재적재 0 | 도착  56 | 2홉+ 0.02 | 도달  402 | 차단    0
Ep 217 | 배송 12/50 | 재적재 1 | 도착  47 | 2홉+ 0.22 | 도달  707 | 차단  146
Ep 218 | 배송  9/50 | 재적재 0 | 도착 116 | 2홉+ 0.12 | 도달  390 | 차단  329
Ep 219 | 배송  8/50 | 재적재 0 | 도착  51 | 2홉+ 0.17 | 도달  667 | 차단  450
