episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
135,1000,260.0,5.443,21,,892,0,3,54,655,0.418,860.8,0,135000,1795.3
136,1000,120.0,21.962,13,,992,0,1,79,130,0.1698,519.5,0,136000,1809.0
137,1000,90.0,12.676,13,,985,0,0,53,208,0.2308,545.4,0,137000,1822.3
138,1000,110.0,16.568,12,,746,0,1,46,133,0.1898,637.7,0,138000,1835.4
139,1000,80.0,3.133,12,,840,0,0,60,494,0.1968,556.6,0,139000,1848.7
140,1000,110.0,14.942,15,,720,0,0,68,175,0.2505,555.1,0,140000,1862.0
141,1000,230.0,7.663,21,,989,0,2,9,76,0.2347,621.1,0,141000,1875.5
142,1000,70.0,35.439,11,,993,0,0,78,1,0.121,519.0,0,142000,1889.3
143,1000,70.0,24.885,11,,717,0,0,77,72,0.2115,584.9,0,143000,1903.0
144,1000,90.0,31.029,13,,621,0,0,103,26,0.14,535.6,0,144000,1916.7
145,1000,130.0,15.763,14,,977,0,1,37,7,0.1472,523.9,0,145000,1930.2
146,1000,60.0,25.999,10,,727,0,0,59,21,0.092,484.9,0,146000,1943.4
147,1000,120.0,21.552,13,,800,0,1,66,265,0.1368,547.3,0,147000,1957.1
148,1000,80.0,71.597,12,,835,0,0,263,94,0.1492,510.9,0,148000,1970.6
149,1000,100.0,24.257,11,,803,0,1,83,17,0.0925,556.2,0,149000,1983.9
150,1000,110.0,19.519,15,,900,0,0,52,34,0.223,561.7,0,150000,1997.4
151,1000,90.0,15.665,13,,944,0,0,63,65,0.1688,531.3,0,151000,2029.6
152,1000,100.0,17.926,14,,993,0,0,68,120,0.1883,598.2,0,152000,2043.2
153,1000,70.0,17.529,11,,828,0,0,46,18,0.1472,476.8,0,153000,2056.6
154,1000,160.0,17.632,17,,587,0,1,50,79,0.2372,547.1,0,154000,2069.8
155,1000,60.0,3.87,10,,828,0,0,49,325,0.2115,489.9,0,155000,2083.4
156,1000,40.0,31.166,8,,881,0,0,101,0,0.0648,520.1,0,156000,2096.8
157,1000,150.0,25.47,16,,827,0,1,96,143,0.2057,566.3,0,157000,2110.2
158,1000,30.0,19.348,7,,181,0,0,76,115,0.055,416.7,0,158000,2123.6
159,1000,60.0,14.726,10,,728,0,0,47,121,0.115,490.3,0,159000,2137.1
160,1000,20.0,33.777,6,,605,0,0,119,18,0.0425,450.5,0,160000,2150.3
161,1000,10.0,23.254,5,,34,0,0,69,25,0.0583,447.6,0,161000,2163.9
