/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=10
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 143 | 배송 25/50 | 재적재 2 | 도착   7 | 2홉+ 0.61 | 도달  633 | 차단  339
Ep 144 | 배송 14/50 | 재적재 0 | 도착   3 | 2홉+ 0.71 | 도달  952 | 차단 2086
Ep 145 | 배송 29/50 | 재적재 3 | 도착  17 | 2홉+ 0.60 | 도달  903 | 차단  477
Ep 146 | 배송 31/50 | 재적재 5 | 도착  17 | 2홉+ 0.61 | 도달  853 | 차단  438
Ep 147 | 배송 28/50 | 재적재 3 | 도착  11 | 2홉+ 0.63 | 도달 1015 | 차단  791
Ep 148 | 배송 21/50 | 재적재 3 | 도착   9 | 2홉+ 0.62 | 도달  983 | 차단  794
Ep 149 | 배송 28/50 | 재적재 2 | 도착   7 | 2홉+ 0.65 | 도달  835 | 차단  424
Ep 150 | 배송 25/50 | 재적재 4 | 도착  11 | 2홉+ 0.63 | 도달  787 | 차단  632
  [홀드아웃] 배송 18.4±8.1 재적재 1.7 2홉+ 0.66 | 최고 24.0@ep100 정체 1/15
Ep 151 | 배송 23/50 | 재적재 2 | 도착   8 | 2홉+ 0.66 | 도달  758 | 차단  792
Ep 152 | 배송 27/50 | 재적재 2 | 도착   5 | 2홉+ 0.62 | 도달  961 | 차단  787
Ep 153 | 배송 28/50 | 재적재 4 | 도착   6 | 2홉+ 0.60 | 도달  800 | 차단  337
Ep 154 | 배송 29/50 | 재적재 3 | 도착  14 | 2홉+ 0.56 | 도달  986 | 차단  523
Ep 155 | 배송 27/50 | 재적재 3 | 도착  13 | 2홉+ 0.59 | 도달  879 | 차단  291
Ep 156 | 배송 34/50 | 재적재 4 | 도착  15 | 2홉+ 0.62 | 도달  824 | 차단  536
Ep 157 | 배송 32/50 | 재적재 4 | 도착  11 | 2홉+ 0.65 | 도달  923 | 차단  690
Ep 158 | 배송 28/50 | 재적재 4 | 도착  12 | 2홉+ 0.64 | 도달  846 | 차단  490
Ep 159 | 배송 25/50 | 재적재 4 | 도착   9 | 2홉+ 0.58 | 도달  815 | 차단  352
