/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300v_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=vector
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 101 | Step 1000 | R   241.70 | 배송 21/50 | 미활동 0 | 2홉+ 0.56 | 도달  820 | 차단 1548
Ep 102 | Step 1000 | R   127.31 | 배송 14/50 | 미활동 0 | 2홉+ 0.49 | 도달  731 | 차단 1679
Ep 103 | Step 1000 | R   116.68 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달  959 | 차단 1764
Ep 104 | Step 1000 | R    70.70 | 배송 13/50 | 미활동 1 | 2홉+ 0.62 | 도달  721 | 차단 2567
Ep 105 | Step 1000 | R   226.30 | 배송 21/50 | 미활동 0 | 2홉+ 0.60 | 도달  812 | 차단 1073
Ep 106 | Step 1000 | R   -12.90 | 배송  8/50 | 미활동 0 | 2홉+ 0.71 | 도달  747 | 차단 3410
Ep 107 | Step 1000 | R   277.47 | 배송 21/50 | 미활동 0 | 2홉+ 0.56 | 도달  806 | 차단 1749
Ep 108 | Step 1000 | R   234.64 | 배송 22/50 | 미활동 0 | 2홉+ 0.57 | 도달  863 | 차단 2165
Ep 109 | Step 1000 | R    19.02 | 배송  9/50 | 미활동 1 | 2홉+ 0.72 | 도달  687 | 차단 2722
Ep 110 | Step 1000 | R    86.82 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  872 | 차단 3185
Ep 111 | Step 1000 | R   239.96 | 배송 21/50 | 미활동 0 | 2홉+ 0.63 | 도달  689 | 차단 1554
Ep 112 | Step 1000 | R   130.93 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  716 | 차단 1983
Ep 113 | Step 1000 | R    59.39 | 배송 12/50 | 미활동 1 | 2홉+ 0.31 | 도달  628 | 차단 2411
Ep 114 | Step 1000 | R   239.97 | 배송 20/50 | 미활동 0 | 2홉+ 0.54 | 도달  884 | 차단 1132
Ep 115 | Step 1000 | R   263.20 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달  824 | 차단 1519
Ep 116 | Step 1000 | R    79.88 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  682 | 차단 2781
Ep 117 | Step 1000 | R   176.54 | 배송 17/50 | 미활동 0 | 2홉+ 0.61 | 도달  785 | 차단 1482
Ep 118 | Step 1000 | R   153.46 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  785 | 차단 1698
Ep 119 | Step 1000 | R   253.08 | 배송 21/50 | 미활동 0 | 2홉+ 0.57 | 도달  715 | 차단  962
Ep 120 | Step 1000 | R    41.63 | 배송 10/50 | 미활동 1 | 2홉+ 0.54 | 도달  682 | 차단 2308
Ep 121 | Step 1000 | R   208.99 | 배송 19/50 | 미활동 0 | 2홉+ 0.65 | 도달  742 | 차단 2001
Ep 122 | Step 1000 | R   260.77 | 배송 20/50 | 미활동 0 | 2홉+ 0.48 | 도달  810 | 차단 1414
Ep 123 | Step 1000 | R   -12.61 | 배송  8/50 | 미활동 1 | 2홉+ 0.73 | 도달  648 | 차단 3361
Ep 124 | Step 1000 | R    63.16 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달  691 | 차단 2611
Ep 125 | Step 1000 | R   231.36 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  672 | 차단 1527
Ep 126 | Step 1000 | R   205.36 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달  770 | 차단 1597
Ep 127 | Step 1000 | R   281.78 | 배송 24/50 | 미활동 0 | 2홉+ 0.58 | 도달  846 | 차단 1248
Ep 128 | Step 1000 | R   147.05 | 배송 19/50 | 미활동 0 | 2홉+ 0.70 | 도달  951 | 차단 1503
Ep 129 | Step 1000 | R   136.94 | 배송 17/50 | 미활동 0 | 2홉+ 0.55 | 도달  653 | 차단 1385
Ep 130 | Step 1000 | R    35.77 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  903 | 차단 2908
Ep 131 | Step 1000 | R   108.56 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  948 | 차단 2314
Ep 132 | Step 1000 | R    40.22 | 배송 11/50 | 미활동 1 | 2홉+ 0.71 | 도달  796 | 차단 2827
Ep 133 | Step 1000 | R   185.86 | 배송 18/50 | 미활동 0 | 2홉+ 0.61 | 도달  688 | 차단 1216
Ep 134 | Step 1000 | R   163.60 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  967 | 차단 2065
Ep 135 | Step 1000 | R   173.34 | 배송 19/50 | 미활동 0 | 2홉+ 0.59 | 도달  801 | 차단 1846
Ep 136 | Step 1000 | R   107.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달  989 | 차단 1950
Ep 137 | Step 1000 | R   -38.41 | 배송  6/50 | 미활동 2 | 2홉+ 0.71 | 도달  629 | 차단 3609
Ep 138 | Step 1000 | R   228.57 | 배송 20/50 | 미활동 0 | 2홉+ 0.65 | 도달  929 | 차단 1729
Ep 139 | Step 1000 | R   225.64 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달 1012 | 차단 1392
Ep 140 | Step 1000 | R   148.65 | 배송 14/50 | 미활동 0 | 2홉+ 0.53 | 도달  857 | 차단  806
Ep 141 | Step 1000 | R   134.82 | 배송 16/50 | 미활동 0 | 2홉+ 0.59 | 도달  642 | 차단 2222
Ep 142 | Step 1000 | R   204.90 | 배송 20/50 | 미활동 0 | 2홉+ 0.59 | 도달  842 | 차단 1285
Ep 143 | Step 1000 | R    46.87 | 배송 11/50 | 미활동 0 | 2홉+ 0.70 | 도달  715 | 차단 2106
Ep 144 | Step 1000 | R   102.63 | 배송 12/50 | 미활동 1 | 2홉+ 0.43 | 도달  597 | 차단 1617
Ep 145 | Step 1000 | R   176.57 | 배송 18/50 | 미활동 0 | 2홉+ 0.53 | 도달  661 | 차단 1313
Ep 146 | Step 1000 | R   137.27 | 배송 18/50 | 미활동 0 | 2홉+ 0.65 | 도달  943 | 차단 1811
Ep 147 | Step 1000 | R    86.75 | 배송 13/50 | 미활동 1 | 2홉+ 0.56 | 도달  712 | 차단 1619
Ep 148 | Step 1000 | R   202.85 | 배송 20/50 | 미활동 0 | 2홉+ 0.59 | 도달  823 | 차단 1118
Ep 149 | Step 1000 | R   223.78 | 배송 20/50 | 미활동 0 | 2홉+ 0.54 | 도달  741 | 차단 1953
Ep 150 | Step 1000 | R   224.22 | 배송 22/50 | 미활동 0 | 2홉+ 0.55 | 도달  766 | 차단 2537
  [홀드아웃] 배송 4.5±3.7 미활동 2.00 2홉+ 0.46 도달 531 | 최고 9.8@ep50 | 정체 2/15
Ep 151 | Step 1000 | R   305.84 | 배송 21/50 | 미활동 0 | 2홉+ 0.56 | 도달  839 | 차단 1467
Ep 152 | Step 1000 | R    21.64 | 배송 10/50 | 미활동 1 | 2홉+ 0.73 | 도달 1034 | 차단 2832
Ep 153 | Step 1000 | R   292.33 | 배송 22/50 | 미활동 0 | 2홉+ 0.56 | 도달  688 | 차단 1362
Ep 154 | Step 1000 | R   110.92 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  961 | 차단 1991
