/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 84 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.12 | step_limit
Ep 85 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  5 | 중계율 0.15 | step_limit
Ep 86 | 드론4 목적지50 | 1000스텝 | 배송 34/50 | 재적재  5 | 중계율 0.14 | step_limit
Ep 87 | 드론4 목적지50 | 1000스텝 | 배송 16/50 | 재적재  1 | 중계율 0.11 | step_limit
Ep 88 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.16 | step_limit
Ep 89 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  7 | 중계율 0.08 | step_limit
Ep 90 | 드론4 목적지50 | 1000스텝 | 배송 21/50 | 재적재  1 | 중계율 0.12 | step_limit
Ep 91 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.09 | step_limit
Ep 92 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  6 | 중계율 0.10 | step_limit
Ep 93 | 드론4 목적지50 | 1000스텝 | 배송 33/50 | 재적재  5 | 중계율 0.15 | step_limit
Ep 94 | 드론4 목적지50 | 1000스텝 | 배송 23/50 | 재적재  3 | 중계율 0.14 | step_limit
Ep 95 | 드론4 목적지50 | 1000스텝 | 배송 32/50 | 재적재  4 | 중계율 0.15 | step_limit
Ep 96 | 드론4 목적지50 | 1000스텝 | 배송 24/50 | 재적재  4 | 중계율 0.12 | step_limit
Ep 97 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.15 | step_limit
Ep 98 | 드론4 목적지50 | 1000스텝 | 배송 27/50 | 재적재  4 | 중계율 0.12 | step_limit
Ep 99 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.15 | step_limit
Ep 100 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.11 | step_limit
  [홀드아웃] 배송 30.1±8.7 완주 0.00 재적재 3.9 2홉+ 0.64 | 최고 37.8@ep50 정체 1/15
Ep 101 | 드론4 목적지50 | 1000스텝 | 배송 20/50 | 재적재  2 | 중계율 0.10 | step_limit
Ep 102 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  6 | 중계율 0.09 | step_limit
Ep 103 | 드론4 목적지50 | 1000스텝 | 배송 30/50 | 재적재  5 | 중계율 0.13 | step_limit
Ep 104 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  5 | 중계율 0.16 | step_limit
Ep 105 | 드론4 목적지50 |  982스텝 | 배송 22/50 | 재적재  2 | 중계율 0.19 | no_progress
Ep 106 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.12 | step_limit
Ep 107 | 드론4 목적지50 | 1000스텝 | 배송 34/50 | 재적재  5 | 중계율 0.14 | step_limit
Ep 108 | 드론4 목적지50 | 1000스텝 | 배송 25/50 | 재적재  2 | 중계율 0.12 | step_limit
Ep 109 | 드론4 목적지50 | 1000스텝 | 배송 37/50 | 재적재  6 | 중계율 0.16 | step_limit
Ep 110 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  3 | 중계율 0.10 | step_limit
Ep 111 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  5 | 중계율 0.15 | step_limit
