/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=150 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 138 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.79 교착최장 347 | step_limit
Ep 139 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.70 교착최장 213 | step_limit
Ep 140 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.70 교착최장 273 | step_limit
Ep 141 |   671스텝 | 배송 14/50 | 재적재  0 | 정지 0.89 교착최장 283 | no_progress
Ep 142 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.74 교착최장 156 | step_limit
Ep 143 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.72 교착최장 170 | step_limit
Ep 144 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.71 교착최장 242 | step_limit
Ep 145 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.68 교착최장 144 | step_limit
Ep 146 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.62 교착최장  80 | step_limit
Ep 147 |  1000스텝 | 배송 26/50 | 재적재  2 | 정지 0.76 교착최장 115 | step_limit
Ep 148 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.73 교착최장 253 | step_limit
Ep 149 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.74 교착최장 397 | step_limit
Ep 150 |  1000스텝 | 배송 22/50 | 재적재  1 | 정지 0.78 교착최장 207 | step_limit
  [홀드아웃] 배송 28.6±6.6 재적재 3.5 2홉+ 0.67 | 최고 28.7@ep100 정체 1/15
Ep 151 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.74 교착최장 137 | step_limit
Ep 152 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.71 교착최장 152 | step_limit
Ep 153 |  1000스텝 | 배송 27/50 | 재적재  5 | 정지 0.71 교착최장 185 | step_limit
Ep 154 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.71 교착최장 134 | step_limit
Ep 155 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.75 교착최장 156 | step_limit
Ep 156 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.72 교착최장 157 | step_limit
Ep 157 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.63 교착최장 159 | step_limit
Ep 158 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.66 교착최장 254 | step_limit
Ep 159 |  1000스텝 | 배송 29/50 | 재적재  5 | 정지 0.70 교착최장  95 | step_limit
Ep 160 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.71 교착최장 167 | step_limit
Ep 161 |  1000스텝 | 배송 26/50 | 재적재  2 | 정지 0.75 교착최장 135 | step_limit
Ep 162 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.53 교착최장 178 | step_limit
Ep 163 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.70 교착최장 118 | step_limit
Ep 164 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.80 교착최장 204 | step_limit
Ep 165 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.74 교착최장 185 | step_limit
Ep 166 |   970스텝 | 배송 23/50 | 재적재  2 | 정지 0.75 교착최장 222 | no_progress
Ep 167 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.72 교착최장 122 | step_limit
Ep 168 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.62 교착최장 129 | step_limit
Ep 169 |  1000스텝 | 배송 17/50 | 재적재  1 | 정지 0.86 교착최장 438 | step_limit
Ep 170 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.70 교착최장 149 | step_limit
Ep 171 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.74 교착최장 211 | step_limit
Ep 172 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.66 교착최장 150 | step_limit
Ep 173 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.71 교착최장 124 | step_limit
Ep 174 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.69 교착최장 118 | step_limit
Ep 175 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.75 교착최장 370 | step_limit
Ep 176 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.72 교착최장 142 | step_limit
Ep 177 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.63 교착최장 108 | step_limit
Ep 178 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.78 교착최장 166 | step_limit
Ep 179 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.69 교착최장 121 | step_limit
Ep 180 |  1000스텝 | 배송 18/50 | 재적재  2 | 정지 0.80 교착최장 161 | step_limit
Ep 181 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.81 교착최장 181 | step_limit
Ep 182 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.66 교착최장 138 | step_limit
Ep 183 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.65 교착최장 147 | step_limit
Ep 184 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.76 교착최장 158 | step_limit
Ep 185 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.64 교착최장 119 | step_limit
Ep 186 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.69 교착최장 130 | step_limit
Ep 187 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.75 교착최장 129 | step_limit
Ep 188 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.78 교착최장 157 | step_limit
Ep 189 |  1000스텝 | 배송 19/50 | 재적재  2 | 정지 0.81 교착최장 295 | step_limit
Ep 190 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.77 교착최장 122 | step_limit
Ep 191 |  1000스텝 | 배송 44/50 | 재적재  6 | 정지 0.56 교착최장 126 | step_limit
Ep 192 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.66 교착최장 107 | step_limit
