/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300v_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 65 | Step 1000 | R    14.41 | 배송  9/50 | 미활동 1 | 2홉+ 0.73 | 도달  785 | 차단 3112
Ep 66 | Step 1000 | R    77.89 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  808 | 차단 2610
Ep 67 | Step 1000 | R    18.08 | 배송 11/50 | 미활동 1 | 2홉+ 0.73 | 도달  834 | 차단 3481
Ep 68 | Step 1000 | R    64.86 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  827 | 차단 2980
Ep 69 | Step 1000 | R   103.19 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달  930 | 차단 2633
Ep 70 | Step 1000 | R    49.35 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1060 | 차단 3048
Ep 71 | Step 1000 | R   -10.70 | 배송  8/50 | 미활동 1 | 2홉+ 0.73 | 도달  598 | 차단 3630
Ep 72 | Step 1000 | R   -13.93 | 배송  7/50 | 미활동 1 | 2홉+ 0.73 | 도달  656 | 차단 3220
Ep 73 | Step 1000 | R    -3.93 | 배송  6/50 | 미활동 1 | 2홉+ 0.73 | 도달  596 | 차단 2294
Ep 74 | Step 1000 | R    45.41 | 배송 11/50 | 미활동 1 | 2홉+ 0.73 | 도달  882 | 차단 2409
Ep 75 | Step 1000 | R     6.47 | 배송  9/50 | 미활동 1 | 2홉+ 0.73 | 도달  830 | 차단 3367
Ep 76 | Step 1000 | R    50.34 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달  781 | 차단 3093
Ep 77 | Step 1000 | R    48.49 | 배송 12/50 | 미활동 1 | 2홉+ 0.72 | 도달  841 | 차단 2802
Ep 78 | Step 1000 | R    70.47 | 배송 13/50 | 미활동 1 | 2홉+ 0.73 | 도달  824 | 차단 2577
Ep 79 | Step 1000 | R    75.37 | 배송 13/50 | 미활동 1 | 2홉+ 0.73 | 도달  905 | 차단 2220
Ep 80 | Step 1000 | R   -26.54 | 배송  5/50 | 미활동 2 | 2홉+ 0.73 | 도달  603 | 차단 3130
Ep 81 | Step 1000 | R    67.67 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1074 | 차단 2463
Ep 82 | Step 1000 | R    14.80 | 배송 10/50 | 미활동 0 | 2홉+ 0.73 | 도달  779 | 차단 3318
Ep 83 | Step 1000 | R    16.48 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달  809 | 차단 3429
Ep 84 | Step 1000 | R   142.00 | 배송 19/50 | 미활동 0 | 2홉+ 0.73 | 도달 1042 | 차단 1840
Ep 85 | Step 1000 | R    49.96 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1015 | 차단 3081
Ep 86 | Step 1000 | R   146.55 | 배송 20/50 | 미활동 0 | 2홉+ 0.70 | 도달  981 | 차단 2105
Ep 87 | Step 1000 | R     0.31 | 배송  8/50 | 미활동 0 | 2홉+ 0.73 | 도달  849 | 차단 2923
Ep 88 | Step 1000 | R    83.38 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달 1053 | 차단 2730
Ep 89 | Step 1000 | R    87.18 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달 1064 | 차단 2456
Ep 90 | Step 1000 | R    99.04 | 배송 16/50 | 미활동 0 | 2홉+ 0.73 | 도달 1051 | 차단 2421
Ep 91 | Step 1000 | R    73.34 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달 1051 | 차단 2748
Ep 92 | Step 1000 | R    78.44 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달 1008 | 차단 2319
Ep 93 | Step 1000 | R    41.75 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달  989 | 차단 2570
Ep 94 | Step 1000 | R    40.46 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  911 | 차단 2547
Ep 95 | Step 1000 | R   143.85 | 배송 19/50 | 미활동 0 | 2홉+ 0.73 | 도달  986 | 차단 1913
Ep 96 | Step 1000 | R   141.61 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  938 | 차단 1783
Ep 97 | Step 1000 | R    65.74 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  994 | 차단 2937
Ep 98 | Step 1000 | R   200.82 | 배송 20/50 | 미활동 0 | 2홉+ 0.64 | 도달  912 | 차단 1425
Ep 99 | Step 1000 | R    95.84 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달  998 | 차단 1220
Ep 100 | Step 1000 | R   154.89 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  889 | 차단 1652
  [홀드아웃] 배송 7.3±3.6 미활동 0.83 2홉+ 0.65 도달 652 | 최고 8.7@ep50 | 정체 1/15
Ep 101 | Step 1000 | R    12.97 | 배송  8/50 | 미활동 1 | 2홉+ 0.72 | 도달 1074 | 차단 2350
Ep 102 | Step 1000 | R   153.12 | 배송 20/50 | 미활동 0 | 2홉+ 0.66 | 도달  932 | 차단 1617
Ep 103 | Step 1000 | R    74.62 | 배송 14/50 | 미활동 1 | 2홉+ 0.72 | 도달  962 | 차단 2737
Ep 104 | Step 1000 | R   121.42 | 배송 18/50 | 미활동 0 | 2홉+ 0.73 | 도달  952 | 차단 2387
Ep 105 | Step 1000 | R   144.77 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달  818 | 차단 1976
Ep 106 | Step 1000 | R   156.19 | 배송 20/50 | 미활동 0 | 2홉+ 0.68 | 도달  903 | 차단 1834
Ep 107 | Step 1000 | R    67.79 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  854 | 차단 3026
Ep 108 | Step 1000 | R    45.45 | 배송 10/50 | 미활동 0 | 2홉+ 0.55 | 도달  531 | 차단 2016
Ep 109 | Step 1000 | R    26.88 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  969 | 차단 2709
Ep 110 | Step 1000 | R   149.58 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달 1043 | 차단 1515
Ep 111 | Step 1000 | R   174.42 | 배송 20/50 | 미활동 0 | 2홉+ 0.72 | 도달  856 | 차단  981
Ep 112 | Step 1000 | R    62.98 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1014 | 차단 2421
Ep 113 | Step 1000 | R    82.78 | 배송 14/50 | 미활동 1 | 2홉+ 0.73 | 도달 1074 | 차단 2092
Ep 114 | Step 1000 | R   170.93 | 배송 20/50 | 미활동 0 | 2홉+ 0.64 | 도달  897 | 차단 1098
Ep 115 | Step 1000 | R    88.71 | 배송 15/50 | 미활동 0 | 2홉+ 0.63 | 도달  865 | 차단 2600
Ep 116 | Step 1000 | R    -9.60 | 배송  6/50 | 미활동 1 | 2홉+ 0.73 | 도달  805 | 차단 2570
Ep 117 | Step 1000 | R    49.17 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 2106
Ep 118 | Step 1000 | R    58.44 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달 1045 | 차단 1946
Ep 119 | Step 1000 | R    36.09 | 배송 11/50 | 미활동 1 | 2홉+ 0.72 | 도달  971 | 차단 2927
Ep 120 | Step 1000 | R   113.89 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  881 | 차단 2374
Ep 121 | Step 1000 | R    99.61 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  979 | 차단 2073
Ep 122 | Step 1000 | R    41.17 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달  932 | 차단 3250
Ep 123 | Step 1000 | R    80.94 | 배송 14/50 | 미활동 1 | 2홉+ 0.71 | 도달  927 | 차단 2310
Ep 124 | Step 1000 | R    92.83 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  915 | 차단 2869
Ep 125 | Step 1000 | R   201.29 | 배송 20/50 | 미활동 0 | 2홉+ 0.69 | 도달  904 | 차단 1173
Ep 126 | Step 1000 | R    80.80 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  983 | 차단 1740
Ep 127 | Step 1000 | R    74.02 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달 1013 | 차단 2106
Ep 128 | Step 1000 | R    22.79 | 배송  9/50 | 미활동 1 | 2홉+ 0.72 | 도달  942 | 차단 2424
Ep 129 | Step 1000 | R    39.47 | 배송 10/50 | 미활동 0 | 2홉+ 0.66 | 도달  965 | 차단 2143
Ep 130 | Step 1000 | R   -12.81 | 배송  5/50 | 미활동 2 | 2홉+ 0.45 | 도달  599 | 차단 2087
Ep 131 | Step 1000 | R     8.29 | 배송  7/50 | 미활동 0 | 2홉+ 0.54 | 도달  595 | 차단 2425
Ep 132 | Step 1000 | R    55.26 | 배송 12/50 | 미활동 1 | 2홉+ 0.60 | 도달  953 | 차단 2437
Ep 133 | Step 1000 | R    60.12 | 배송 12/50 | 미활동 0 | 2홉+ 0.62 | 도달  704 | 차단 2286
Ep 134 | Step 1000 | R   104.90 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  953 | 차단 1976
Ep 135 | Step 1000 | R    54.28 | 배송 12/50 | 미활동 1 | 2홉+ 0.51 | 도달  610 | 차단 2859
Ep 136 | Step 1000 | R    65.44 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  950 | 차단 2094
Ep 137 | Step 1000 | R    92.39 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  855 | 차단 1808
Ep 138 | Step 1000 | R    97.45 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  881 | 차단 2012
Ep 139 | Step 1000 | R    52.69 | 배송 12/50 | 미활동 0 | 2홉+ 0.73 | 도달  897 | 차단 2766
Ep 140 | Step 1000 | R    84.28 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  889 | 차단 2296
